Nome: MARILANDIA
Codigo Estacao: A632
Latitude: -19.40722222
Longitude: -40.53972221
Altitude: 95
Situacao: Operante
Data Inicial: 2017-03-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-03-31;null;
2017-04-30;1.510417;
2017-05-31;1.193806;
2017-06-30;1.179948;
2017-07-31;1.29664;
2017-08-31;1.307348;
2017-09-30;1.367151;
2017-10-31;1.704216;
2017-11-30;1.800898;
2017-12-31;1.382169;
2018-01-31;1.40121;
2018-02-28;1.288095;
2018-03-31;1.22968;
2018-04-30;1.133219;
2018-05-31;1.112659;
2018-06-30;.983113;
2018-07-31;.961022;
2018-08-31;1.349696;
2018-09-30;1.478098;
2018-10-31;1.71707;
2018-11-30;1.426824;
2018-12-31;1.271505;
2019-01-31;1.300403;
2019-02-28;1.290625;
2019-03-31;1.39955;
2019-04-30;1.154167;
2019-05-31;1.075538;
2019-06-30;1.079028;
2019-07-31;1.28293;
2019-08-31;1.726879;
2019-09-30;1.769028;
2019-10-31;1.519624;
2019-11-30;1.388899;
2019-12-31;1.405645;
2020-01-31;1.268011;
2020-02-29;1.143172;
2020-03-31;1.167941;
2020-04-30;1.231528;
2020-05-31;1.023143;
2020-06-30;.983056;
2020-07-31;1.007872;
2020-08-31;1.255511;
2020-09-30;1.312222;
2020-10-31;1.599462;
2020-11-30;1.239167;
2020-12-31;1.195027;
2021-01-31;1.148118;
2021-02-28;1.037351;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;1.236276;
2021-12-31;1.113042;
2022-01-31;1.175098;
2022-02-28;.988211;
2022-03-31;.935098;
2022-04-30;.996528;
2022-05-31;.973779;
2022-06-30;.966944;
2022-07-31;.871609;
2022-08-31;1.318531;
2022-09-30;1.445972;
2022-10-31;1.279562;
2022-11-30;1.299147;
2022-12-31;1.076241;

