Nome: VILA VELHA
Codigo Estacao: A634
Latitude: -20.46694443
Longitude: -40.40388888
Altitude: 25
Situacao: Operante
Data Inicial: 2017-02-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-02-28;null;
2017-03-31;3.378495;
2017-04-30;2.74375;
2017-05-31;2.483357;
2017-06-30;2.661917;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;4.320595;
2017-11-30;3.632462;
2017-12-31;3.29323;
2018-01-31;3.829862;
2018-02-28;2.954464;
2018-03-31;2.437133;
2018-04-30;2.093182;
2018-05-31;2.301534;
2018-06-30;2.646278;
2018-07-31;2.647226;
2018-08-31;2.547043;
2018-09-30;3.33599;
2018-10-31;3.527016;
2018-11-30;3.026323;
2018-12-31;3.381586;
2019-01-31;4.167613;
2019-02-28;3.170122;
2019-03-31;2.795064;
2019-04-30;2.488472;
2019-05-31;2.167742;
2019-06-30;2.397029;
2019-07-31;null;
2019-08-31;2.907392;
2019-09-30;3.690556;
2019-10-31;3.675;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;2.87956;
2020-03-31;2.309238;
2020-04-30;2.456944;
2020-05-31;2.54328;
2020-06-30;2.349722;
2020-07-31;2.439113;
2020-08-31;3.326075;
2020-09-30;3.888056;
2020-10-31;3.167608;
2020-11-30;2.817591;
2020-12-31;3.94001;
2021-01-31;3.818673;
2021-02-28;3.102381;
2021-03-31;2.503559;
2021-04-30;2.185139;
2021-05-31;2.466398;
2021-06-30;2.185417;
2021-07-31;2.619489;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;3.065258;
2022-01-31;3.316129;
2022-02-28;2.772535;
2022-03-31;3.121909;
2022-04-30;2.492639;
2022-05-31;2.623656;
2022-06-30;2.626111;
2022-07-31;2.575328;
2022-08-31;3.601613;
2022-09-30;3.358056;
2022-10-31;3.504405;
2022-11-30;3.261179;
2022-12-31;2.936467;

