Nome: ITATIAIA - AGULHAS NEGRAS
Codigo Estacao: A635
Latitude: -22.37388888
Longitude: -44.70305555
Altitude: 2450
Situacao: Desativada
Data Inicial: 2017-08-31
Data Final: 2022-11-07
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;null;
2017-09-30;2.521034;
2017-10-31;3.290854;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;2.721264;
2018-08-31;2.965054;
2018-09-30;3.08375;
2018-10-31;2.945278;
2018-11-30;2.963622;
2018-12-31;2.371746;
2019-01-31;null;
2019-02-28;null;
2019-03-31;2.411022;
2019-04-30;2.366945;
2019-05-31;2.702075;
2019-06-30;3.27375;
2019-07-31;3.144758;
2019-08-31;2.796439;
2019-09-30;2.718889;
2019-10-31;2.44328;
2019-11-30;2.904167;
2019-12-31;2.914247;
2020-01-31;2.537768;
2020-02-29;2.970238;
2020-03-31;null;
2020-04-30;2.994583;
2020-05-31;3.445296;
2020-06-30;2.747361;
2020-07-31;3.375403;
2020-08-31;2.852419;
2020-09-30;2.571945;
2020-10-31;2.740188;
2020-11-30;2.753597;
2020-12-31;2.599994;
2021-01-31;2.398329;
2021-02-28;2.53119;
2021-03-31;2.552823;
2021-04-30;2.426667;
2021-05-31;3.038306;
2021-06-30;2.876111;
2021-07-31;3.140323;
2021-08-31;2.618414;
2021-09-30;2.786389;
2021-10-31;3.030187;
2021-11-30;2.691268;
2021-12-31;2.862959;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;2.4925;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;

