Nome: RIO DE JANEIRO - JACAREPAGUA
Codigo Estacao: A636
Latitude: -22.93999999
Longitude: -43.40277777
Altitude: 20
Situacao: Operante
Data Inicial: 2017-08-09
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;null;
2017-09-30;1.001528;
2017-10-31;1.041532;
2017-11-30;.990417;
2017-12-31;.920161;
2018-01-31;.845833;
2018-02-28;.734226;
2018-03-31;.763844;
2018-04-30;.732639;
2018-05-31;.707124;
2018-06-30;.574444;
2018-07-31;.696237;
2018-08-31;.735753;
2018-09-30;.951111;
2018-10-31;.860349;
2018-11-30;.944722;
2018-12-31;.943414;
2019-01-31;1.037634;
2019-02-28;.885863;
2019-03-31;.732527;
2019-04-30;.729722;
2019-05-31;.622043;
2019-06-30;.583333;
2019-07-31;.730914;
2019-08-31;.822581;
2019-09-30;.876389;
2019-10-31;.889785;
2019-11-30;.832083;
2019-12-31;.891532;
2020-01-31;.808333;
2020-02-29;.741092;
2020-03-31;.719355;
2020-04-30;.660556;
2020-05-31;null;
2020-06-30;null;
2020-07-31;.722177;
2020-08-31;.829704;
2020-09-30;.913194;
2020-10-31;.846371;
2020-11-30;.785555;
2020-12-31;.755645;
2021-01-31;.863038;
2021-02-28;.765179;
2021-03-31;.779436;
2021-04-30;.7875;
2021-05-31;.596102;
2021-06-30;.615278;
2021-07-31;.634677;
2021-08-31;.793168;
2021-09-30;.891479;
2021-10-31;.841155;
2021-11-30;.813889;
2021-12-31;.878629;
2022-01-31;.819086;
2022-02-28;.777232;
2022-03-31;.861425;
2022-04-30;.667917;
2022-05-31;.657574;
2022-06-30;.609028;
2022-07-31;.722849;
2022-08-31;.875941;
2022-09-30;.818601;
2022-10-31;.833737;
2022-11-30;.76125;
2022-12-31;.83078;

