Nome: AFONSO CLAUDIO
Codigo Estacao: A657
Latitude: -20.10416666
Longitude: -41.10694444
Altitude: 507.48
Situacao: Operante
Data Inicial: 2011-09-23
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-09-30;null;
2011-10-31;2.262243;
2011-11-30;2.001806;
2011-12-31;1.882661;
2012-01-31;2.035484;
2012-02-29;1.973707;
2012-03-31;1.903711;
2012-04-30;1.726063;
2012-05-31;1.909677;
2012-06-30;1.580664;
2012-07-31;1.813441;
2012-08-31;1.946544;
2012-09-30;2.650972;
2012-10-31;2.490726;
2012-11-30;1.966944;
2012-12-31;2.084677;
2013-01-31;2.111425;
2013-02-28;1.85372;
2013-03-31;1.705306;
2013-04-30;1.734683;
2013-05-31;1.480242;
2013-06-30;1.435177;
2013-07-31;1.85578;
2013-08-31;1.976479;
2013-09-30;2.197361;
2013-10-31;2.162366;
2013-11-30;2.174861;
2013-12-31;1.975362;
2014-01-31;1.951344;
2014-02-28;2.017857;
2014-03-31;2.0875;
2014-04-30;1.967778;
2014-05-31;1.74328;
2014-06-30;1.593055;
2014-07-31;1.833871;
2014-08-31;2.008602;
2014-09-30;2.495429;
2014-10-31;2.440995;
2014-11-30;2.546033;
2014-12-31;2.186694;
2015-01-31;2.485823;
2015-02-28;2.234821;
2015-03-31;1.937231;
2015-04-30;1.847917;
2015-05-31;1.692339;
2015-06-30;1.798304;
2015-07-31;1.640323;
2015-08-31;1.843931;
2015-09-30;2.314383;
2015-10-31;2.723766;
2015-11-30;2.529006;
2015-12-31;2.556452;
2016-01-31;2.272043;
2016-02-29;1.906322;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;1.710525;
2016-07-31;1.686355;
2016-08-31;2.156094;
2016-09-30;2.315653;
2016-10-31;2.483966;
2016-11-30;2.219572;
2016-12-31;null;
2017-01-31;2.38587;
2017-02-28;1.747406;
2017-03-31;2.001075;
2017-04-30;1.912978;
2017-05-31;1.608566;
2017-06-30;1.884066;
2017-07-31;2.020453;
2017-08-31;2.077712;
2017-09-30;2.384614;
2017-10-31;2.546237;
2017-11-30;2.444583;
2017-12-31;2.105877;
2018-01-31;2.112553;
2018-02-28;1.763548;
2018-03-31;null;
2018-04-30;null;
2018-05-31;1.545968;
2018-06-30;1.48125;
2018-07-31;1.394893;
2018-08-31;1.804167;
2018-09-30;1.995139;
2018-10-31;2.162231;
2018-11-30;2.086111;
2018-12-31;1.925403;
2019-01-31;2.001075;
2019-02-28;1.771875;
2019-03-31;1.991801;
2019-04-30;1.403889;
2019-05-31;1.459274;
2019-06-30;1.599444;
2019-07-31;1.810914;
2019-08-31;2.224059;
2019-09-30;2.238617;
2019-10-31;2.23078;
2019-11-30;1.937361;
2019-12-31;2.060618;
2020-01-31;2.042608;
2020-02-29;1.866092;
2020-03-31;1.776032;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;1.802869;
2021-03-31;1.637355;
2021-04-30;1.742256;
2021-05-31;1.614621;
2021-06-30;1.575159;
2021-07-31;1.805742;
2021-08-31;2.07369;
2021-09-30;2.078872;
2021-10-31;2.012448;
2021-11-30;2.036944;
2021-12-31;1.988978;
2022-01-31;2.031048;
2022-02-28;null;
2022-03-31;null;
2022-04-30;1.799167;
2022-05-31;1.563575;
2022-06-30;1.724861;
2022-07-31;1.570699;
2022-08-31;2.217607;
2022-09-30;2.189861;
2022-10-31;2.17836;
2022-11-30;2.28;
2022-12-31;1.849597;

