Nome: SILVA JARDIM
Codigo Estacao: A659
Latitude: -22.64583333
Longitude: -42.41555555
Altitude: 19
Situacao: Operante
Data Inicial: 2015-08-27
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;
2015-09-30;1.28114;
2015-10-31;1.590077;
2015-11-30;1.363593;
2015-12-31;1.499194;
2016-01-31;1.33172;
2016-02-29;1.261063;
2016-03-31;1.098253;
2016-04-30;1.120694;
2016-05-31;1.065323;
2016-06-30;1.123333;
2016-07-31;1.17621;
2016-08-31;1.5;
2016-09-30;1.487083;
2016-10-31;1.803898;
2016-11-30;1.764444;
2016-12-31;1.399597;
2017-01-31;1.439113;
2017-02-28;1.69747;
2017-03-31;null;
2017-04-30;null;
2017-05-31;1.267204;
2017-06-30;.924028;
2017-07-31;1.29664;
2017-08-31;1.309005;
2017-09-30;1.973998;
2017-10-31;1.713844;
2017-11-30;1.606528;
2017-12-31;1.402151;
2018-01-31;1.260618;
2018-02-28;null;
2018-03-31;null;
2018-04-30;1.029837;
2018-05-31;.986694;
2018-06-30;.909722;
2018-07-31;.939382;
2018-08-31;1.147581;
2018-09-30;1.325694;
2018-10-31;1.548521;
2018-11-30;1.581389;
2018-12-31;1.25793;
2019-01-31;1.435081;
2019-02-28;1.125893;
2019-03-31;1.13293;
2019-04-30;1.040278;
2019-05-31;.985081;
2019-06-30;.948611;
2019-07-31;1.22285;
2019-08-31;1.226882;
2019-09-30;1.502361;
2019-10-31;1.515457;
2019-11-30;1.62;
2019-12-31;1.510887;
2020-01-31;1.148925;
2020-02-29;1.202442;
2020-03-31;1.152016;
2020-04-30;1.087083;
2020-05-31;1.00336;
2020-06-30;.982083;
2020-07-31;1.015726;
2020-08-31;1.298253;
2020-09-30;1.287778;
2020-10-31;1.670161;
2020-11-30;1.392222;
2020-12-31;1.040726;
2021-01-31;1.699059;
2021-02-28;1.204315;
2021-03-31;1.230376;
2021-04-30;1.331806;
2021-05-31;.903763;
2021-06-30;1.091111;
2021-07-31;1.098656;
2021-08-31;1.307796;
2021-09-30;1.498889;
2021-10-31;1.572715;
2021-11-30;1.441026;
2021-12-31;1.270161;
2022-01-31;1.304032;
2022-02-28;1.114137;
2022-03-31;1.270699;
2022-04-30;1.162083;
2022-05-31;1.108641;
2022-06-30;.925217;
2022-07-31;1.029032;
2022-08-31;1.315171;
2022-09-30;1.496944;
2022-10-31;1.417339;
2022-11-30;1.507348;
2022-12-31;1.6525;

