Nome: SAQUAREMA - SAMPAIO CORREIA
Codigo Estacao: A667
Latitude: -22.8711111
Longitude: -42.60888888
Altitude: 26
Situacao: Operante
Data Inicial: 2015-09-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-09-30;1.873148;
2015-10-31;2.244898;
2015-11-30;1.664511;
2015-12-31;1.945164;
2016-01-31;1.752513;
2016-02-29;1.651624;
2016-03-31;1.562836;
2016-04-30;1.671875;
2016-05-31;1.347115;
2016-06-30;1.474946;
2016-07-31;1.646909;
2016-08-31;2.208602;
2016-09-30;1.925;
2016-10-31;2.294606;
2016-11-30;2.308056;
2016-12-31;1.856989;
2017-01-31;1.907125;
2017-02-28;2.559226;
2017-03-31;1.750701;
2017-04-30;1.670929;
2017-05-31;1.783737;
2017-06-30;1.375417;
2017-07-31;2.053226;
2017-08-31;2.125;
2017-09-30;3.006667;
2017-10-31;2.426478;
2017-11-30;null;
2017-12-31;null;
2018-01-31;1.641801;
2018-02-28;1.522173;
2018-03-31;1.677554;
2018-04-30;1.490256;
2018-05-31;1.464785;
2018-06-30;1.450833;
2018-07-31;1.399597;
2018-08-31;1.691801;
2018-09-30;1.805483;
2018-10-31;2.020565;
2018-11-30;2.203333;
2018-12-31;1.666801;
2019-01-31;1.943683;
2019-02-28;1.498363;
2019-03-31;1.549597;
2019-04-30;1.540972;
2019-05-31;1.452957;
2019-06-30;1.469445;
2019-07-31;1.8125;
2019-08-31;1.903898;
2019-09-30;1.919583;
2019-10-31;2.131317;
2019-11-30;2.074167;
2019-12-31;1.948119;
2020-01-31;1.599282;
2020-02-29;1.723167;
2020-03-31;1.520027;
2020-04-30;1.505278;
2020-05-31;1.444122;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;2.703623;
2021-02-28;1.637798;
2021-03-31;1.676496;
2021-04-30;1.778176;
2021-05-31;1.166667;
2021-06-30;1.584622;
2021-07-31;1.661934;
2021-08-31;1.968151;
2021-09-30;2.001298;
2021-10-31;1.937021;
2021-11-30;1.799288;
2021-12-31;1.677928;
2022-01-31;1.943531;
2022-02-28;1.393219;
2022-03-31;1.81129;
2022-04-30;1.499988;
2022-05-31;1.575953;
2022-06-30;1.336806;
2022-07-31;1.594893;
2022-08-31;1.956989;
2022-09-30;1.859167;
2022-10-31;1.96309;
2022-11-30;1.945833;
2022-12-31;2.160449;

