Nome: CAMPO GRANDE
Codigo Estacao: A702
Latitude: -20.447195
Longitude: -54.722615
Altitude: 528.47
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;3.406221;
2004-02-29;3.363461;
2004-03-31;3.179748;
2004-04-30;3.235398;
2004-05-31;3.350538;
2004-06-30;3.88039;
2004-07-31;4.320822;
2004-08-31;4.345948;
2004-09-30;3.759004;
2004-10-31;4.392204;
2004-11-30;3.484657;
2004-12-31;3.196057;
2005-01-31;2.863691;
2005-02-28;3.097363;
2005-03-31;2.932059;
2005-04-30;null;
2005-05-31;3.818548;
2005-06-30;null;
2005-07-31;4.616076;
2005-08-31;4.38501;
2005-09-30;4.862374;
2005-10-31;3.499175;
2005-11-30;null;
2005-12-31;3.665291;
2006-01-31;2.808333;
2006-02-28;2.597289;
2006-03-31;2.520512;
2006-04-30;3.058598;
2006-05-31;null;
2006-06-30;4.119191;
2006-07-31;4.226835;
2006-08-31;4.410311;
2006-09-30;4.177726;
2006-10-31;3.329435;
2006-11-30;3.319961;
2006-12-31;2.923393;
2007-01-31;2.855242;
2007-02-28;2.71567;
2007-03-31;2.865469;
2007-04-30;3.372778;
2007-05-31;3.375309;
2007-06-30;null;
2007-07-31;null;
2007-08-31;4.510455;
2007-09-30;4.678573;
2007-10-31;3.701075;
2007-11-30;3.865948;
2007-12-31;2.815457;
2008-01-31;2.69664;
2008-02-29;2.799282;
2008-03-31;2.799462;
2008-04-30;3.048194;
2008-05-31;3.331405;
2008-06-30;3.44096;
2008-07-31;4.10672;
2008-08-31;4.348521;
2008-09-30;4.636944;
2008-10-31;3.79543;
2008-11-30;3.423992;
2008-12-31;3.055914;
2009-01-31;2.982001;
2009-02-28;2.627597;
2009-03-31;2.463306;
2009-04-30;3.024306;
2009-05-31;3.384946;
2009-06-30;3.554861;
2009-07-31;3.70793;
2009-08-31;4.371237;
2009-09-30;4.169281;
2009-10-31;3.773;
2009-11-30;3.340417;
2009-12-31;2.836022;
2010-01-31;2.988148;
2010-02-28;2.810714;
2010-03-31;2.782124;
2010-04-30;3.502917;
2010-05-31;3.389516;
2010-06-30;3.888333;
2010-07-31;4.059812;
2010-08-31;4.508037;
2010-09-30;4.660833;
2010-10-31;4.122715;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;3.5025;
2011-07-31;3.470296;
2011-08-31;3.871371;
2011-09-30;4.129583;
2011-10-31;3.376344;
2011-11-30;3.356111;
2011-12-31;2.515054;
2012-01-31;2.510887;
2012-02-29;2.235919;
2012-03-31;2.526747;
2012-04-30;2.909674;
2012-05-31;3.327688;
2012-06-30;3.309028;
2012-07-31;3.253091;
2012-08-31;4.24255;
2012-09-30;4.296806;
2012-10-31;3.33078;
2012-11-30;2.726389;
2012-12-31;2.694758;
2013-01-31;3.064785;
2013-02-28;2.649405;
2013-03-31;2.813472;
2013-04-30;2.948056;
2013-05-31;2.99543;
2013-06-30;2.689419;
2013-07-31;3.810688;
2013-08-31;3.736962;
2013-09-30;4.025139;
2013-10-31;3.300538;
2013-11-30;3.085417;
2013-12-31;2.300269;
2014-01-31;2.440323;
2014-02-28;2.66622;
2014-03-31;2.594892;
2014-04-30;3.019722;
2014-05-31;3.145565;
2014-06-30;3.353611;
2014-07-31;3.688979;
2014-08-31;3.620027;
2014-09-30;3.638611;
2014-10-31;3.636694;
2014-11-30;2.857083;
2014-12-31;2.683064;
2015-01-31;2.478424;
2015-02-28;2.313839;
2015-03-31;2.404032;
2015-04-30;2.728889;
2015-05-31;3.20914;
2015-06-30;3.765139;
2015-07-31;3.440054;
2015-08-31;3.767607;
2015-09-30;3.381806;
2015-10-31;3.27043;
2015-11-30;2.705139;
2015-12-31;2.821774;
2016-01-31;2.709274;
2016-02-29;2.346121;
2016-03-31;2.517473;
2016-04-30;2.662361;
2016-05-31;2.996236;
2016-06-30;3.365036;
2016-07-31;3.52935;
2016-08-31;3.563294;
2016-09-30;3.523611;
2016-10-31;3.557124;
2016-11-30;3.063333;
2016-12-31;2.854839;
2017-01-31;2.365591;
2017-02-28;2.283385;
2017-03-31;2.653763;
2017-04-30;3.072361;
2017-05-31;2.678898;
2017-06-30;3.410127;
2017-07-31;4.121839;
2017-08-31;3.828495;
2017-09-30;3.858333;
2017-10-31;3.453763;
2017-11-30;2.977083;
2017-12-31;2.270968;
2018-01-31;2.565726;
2018-02-28;2.561458;
2018-03-31;2.108468;
2018-04-30;2.793056;
2018-05-31;2.985618;
2018-06-30;2.920972;
2018-07-31;2.902688;
2018-08-31;3.656586;
2018-09-30;3.180509;
2018-10-31;2.906979;
2018-11-30;3.149028;
2018-12-31;2.485618;
2019-01-31;2.407796;
2019-02-28;2.116518;
2019-03-31;2.443683;
2019-04-30;2.294444;
2019-05-31;2.66922;
2019-06-30;3.121944;
2019-07-31;3.245557;
2019-08-31;4.07283;
2019-09-30;3.710139;
2019-10-31;3.029032;
2019-11-30;2.54375;
2019-12-31;2.306586;
2020-01-31;2.185484;
2020-02-29;2.004741;
2020-03-31;2.725;
2020-04-30;2.78125;
2020-05-31;2.810086;
2020-06-30;2.96125;
2020-07-31;3.278495;
2020-08-31;4.073663;
2020-09-30;3.207917;
2020-10-31;3.05672;
2020-11-30;2.810278;
2020-12-31;2.19086;
2021-01-31;.798656;
2021-02-28;.601637;
2021-03-31;.516801;
2021-04-30;.899861;
2021-05-31;.636962;
2021-06-30;.685887;
2021-07-31;1.025352;
2021-08-31;1.246505;
2021-09-30;.885972;
2021-10-31;1.525134;
2021-11-30;1.248056;
2021-12-31;.895564;
2022-01-31;.669489;
2022-02-28;.65506;
2022-03-31;.698656;
2022-04-30;1.077083;
2022-05-31;1.096433;
2022-06-30;1.435039;
2022-07-31;null;
2022-08-31;null;
2022-09-30;3.711389;
2022-10-31;3.057258;
2022-11-30;3.39625;
2022-12-31;2.621272;

