Nome: TRES LAGOAS
Codigo Estacao: A704
Latitude: -20.79499999
Longitude: -51.71333333
Altitude: 328.94
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;1.694086;
2005-01-31;1.63172;
2005-02-28;1.546875;
2005-03-31;1.647446;
2005-04-30;1.353194;
2005-05-31;1.322972;
2005-06-30;1.183333;
2005-07-31;1.501479;
2005-08-31;1.611559;
2005-09-30;1.980301;
2005-10-31;1.684227;
2005-11-30;null;
2005-12-31;1.749425;
2006-01-31;1.57836;
2006-02-28;1.458018;
2006-03-31;1.47754;
2006-04-30;1.217252;
2006-05-31;null;
2006-06-30;1.210057;
2006-07-31;1.234216;
2006-08-31;1.597158;
2006-09-30;1.82846;
2006-10-31;1.632112;
2006-11-30;1.715003;
2006-12-31;1.752519;
2007-01-31;1.529301;
2007-02-28;1.367708;
2007-03-31;1.276632;
2007-04-30;1.345972;
2007-05-31;1.302335;
2007-06-30;1.050145;
2007-07-31;1.384946;
2007-08-31;1.565615;
2007-09-30;1.789565;
2007-10-31;1.61461;
2007-11-30;1.824199;
2007-12-31;1.649328;
2008-01-31;1.624731;
2008-02-29;1.549138;
2008-03-31;1.2875;
2008-04-30;1.234306;
2008-05-31;1.008731;
2008-06-30;1.164499;
2008-07-31;1.014246;
2008-08-31;null;
2008-09-30;null;
2008-10-31;1.652554;
2008-11-30;1.598333;
2008-12-31;1.655511;
2009-01-31;1.614049;
2009-02-28;1.43412;
2009-03-31;1.174597;
2009-04-30;1.093611;
2009-05-31;1.099328;
2009-06-30;1.039861;
2009-07-31;1.147701;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;1.285281;
2010-06-30;1.119524;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;1.752639;
2010-12-31;1.672043;
2011-01-31;1.523387;
2011-02-28;1.495685;
2011-03-31;1.49835;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;1.856528;
2011-10-31;2.063038;
2011-11-30;1.697917;
2011-12-31;1.668817;
2012-01-31;1.843548;
2012-02-29;1.586207;
2012-03-31;1.490726;
2012-04-30;1.470139;
2012-05-31;1.236156;
2012-06-30;1.145;
2012-07-31;1.098925;
2012-08-31;1.655705;
2012-09-30;1.57625;
2012-10-31;1.678898;
2012-11-30;1.673889;
2012-12-31;1.816936;
2013-01-31;1.490398;
2013-02-28;1.112202;
2013-03-31;1.021;
2013-04-30;.747222;
2013-05-31;.716801;
2013-06-30;.614697;
2013-07-31;.98172;
2013-08-31;1.325538;
2013-09-30;1.515278;
2013-10-31;1.329435;
2013-11-30;1.432083;
2013-12-31;1.197715;
2014-01-31;1.139643;
2014-02-28;1.382441;
2014-03-31;1.080511;
2014-04-30;.93369;
2014-05-31;.792607;
2014-06-30;.912639;
2014-07-31;.978629;
2014-08-31;.997715;
2014-09-30;1.516806;
2014-10-31;1.293548;
2014-11-30;1.249583;
2014-12-31;1.530914;
2015-01-31;1.335215;
2015-02-28;1.309821;
2015-03-31;.815457;
2015-04-30;.671404;
2015-05-31;.760753;
2015-06-30;.756528;
2015-07-31;.822715;
2015-08-31;.955376;
2015-09-30;.984306;
2015-10-31;.941532;
2015-11-30;.876389;
2015-12-31;.41922;
2016-01-31;.899462;
2016-02-29;.95704;
2016-03-31;.699194;
2016-04-30;.219583;
2016-05-31;.741708;
2016-06-30;.557917;
2016-07-31;.793145;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;1.6325;
2016-12-31;1.769086;
2017-01-31;1.392876;
2017-02-28;1.44628;
2017-03-31;1.311156;
2017-04-30;1.295278;
2017-05-31;1.021102;
2017-06-30;1.172917;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;1.63319;
2017-11-30;1.459306;
2017-12-31;1.315591;
2018-01-31;1.108602;
2018-02-28;1.052976;
2018-03-31;.879301;
2018-04-30;.864167;
2018-05-31;.889247;
2018-06-30;.881528;
2018-07-31;.8125;
2018-08-31;1.154436;
2018-09-30;1.306111;
2018-10-31;1.447312;
2018-11-30;1.580278;
2018-12-31;1.407258;
2019-01-31;1.441129;
2019-02-28;1.42619;
2019-03-31;1.262903;
2019-04-30;.943472;
2019-05-31;.924988;
2019-06-30;.876111;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;1.598726;
2022-12-31;1.397312;

