Nome: PRESIDENTE PRUDENTE
Codigo Estacao: A707
Latitude: -22.11999999
Longitude: -51.40861111
Altitude: 431.92
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;2.193992;
2005-01-31;2.133351;
2005-02-28;2.106289;
2005-03-31;2.190019;
2005-04-30;1.974046;
2005-05-31;2.27846;
2005-06-30;2.208333;
2005-07-31;2.443209;
2005-08-31;2.473521;
2005-09-30;2.659416;
2005-10-31;2.059183;
2005-11-30;null;
2005-12-31;2.605645;
2006-01-31;1.816129;
2006-02-28;1.651126;
2006-03-31;1.861754;
2006-04-30;1.724289;
2006-05-31;null;
2006-06-30;2.216092;
2006-07-31;1.930645;
2006-08-31;2.307969;
2006-09-30;2.569508;
2006-10-31;2.35121;
2006-11-30;2.296548;
2006-12-31;2.032357;
2007-01-31;1.724059;
2007-02-28;1.871853;
2007-03-31;1.690527;
2007-04-30;1.967331;
2007-05-31;1.969687;
2007-06-30;1.676993;
2007-07-31;2.074457;
2007-08-31;2.326657;
2007-09-30;2.72465;
2007-10-31;2.334894;
2007-11-30;2.309614;
2007-12-31;1.794022;
2008-01-31;1.974521;
2008-02-29;1.619771;
2008-03-31;1.695267;
2008-04-30;1.504728;
2008-05-31;1.487652;
2008-06-30;1.649306;
2008-07-31;1.682834;
2008-08-31;2.044045;
2008-09-30;2.459015;
2008-10-31;2.257311;
2008-11-30;1.967119;
2008-12-31;1.803226;
2009-01-31;1.803728;
2009-02-28;1.369231;
2009-03-31;1.293917;
2009-04-30;1.4025;
2009-05-31;1.440591;
2009-06-30;1.382917;
2009-07-31;1.458953;
2009-08-31;1.871961;
2009-09-30;1.787639;
2009-10-31;1.985432;
2009-11-30;1.719408;
2009-12-31;1.511109;
2010-01-31;1.430823;
2010-02-28;1.442708;
2010-03-31;1.455055;
2010-04-30;1.730417;
2010-05-31;1.528033;
2010-06-30;1.772484;
2010-07-31;1.913663;
2010-08-31;null;
2010-09-30;2.427192;
2010-10-31;1.991147;
2010-11-30;1.67904;
2010-12-31;1.669273;
2011-01-31;1.357019;
2011-02-28;1.231845;
2011-03-31;1.820353;
2011-04-30;1.52093;
2011-05-31;1.57836;
2011-06-30;1.481908;
2011-07-31;1.607661;
2011-08-31;2.060618;
2011-09-30;2.329861;
2011-10-31;2.241801;
2011-11-30;1.988194;
2011-12-31;1.680125;
2012-01-31;1.772984;
2012-02-29;1.359533;
2012-03-31;1.414873;
2012-04-30;1.554432;
2012-05-31;1.789617;
2012-06-30;1.405254;
2012-07-31;1.425403;
2012-08-31;1.852899;
2012-09-30;1.981944;
2012-10-31;1.95672;
2012-11-30;1.819306;
2012-12-31;1.381452;
2013-01-31;1.726876;
2013-02-28;1.45;
2013-03-31;1.428056;
2013-04-30;1.385278;
2013-05-31;1.320565;
2013-06-30;1.328977;
2013-07-31;1.553646;
2013-08-31;1.993548;
2013-09-30;2.118889;
2013-10-31;2.032796;
2013-11-30;2.109861;
2013-12-31;1.669758;
2014-01-31;1.222984;
2014-02-28;1.529613;
2014-03-31;1.409543;
2014-04-30;1.473333;
2014-05-31;1.398253;
2014-06-30;1.568333;
2014-07-31;1.68414;
2014-08-31;1.683602;
2014-09-30;2.146667;
2014-10-31;2.094489;
2014-11-30;1.613611;
2014-12-31;1.65336;
2015-01-31;1.483871;
2015-02-28;1.332441;
2015-03-31;1.191398;
2015-04-30;1.474306;
2015-05-31;1.454436;
2015-06-30;1.380139;
2015-07-31;1.183468;
2015-08-31;1.172446;
2015-09-30;1.107222;
2015-10-31;1.401479;
2015-11-30;1.040278;
2015-12-31;.841764;
2016-01-31;null;
2016-02-29;.763643;
2016-03-31;.875889;
2016-04-30;.904861;
2016-05-31;null;
2016-06-30;null;
2016-07-31;1.257562;
2016-08-31;1.719489;
2016-09-30;1.685972;
2016-10-31;2.021774;
2016-11-30;1.878611;
2016-12-31;1.609409;
2017-01-31;1.253226;
2017-02-28;1.385565;
2017-03-31;1.556048;
2017-04-30;1.641944;
2017-05-31;1.355108;
2017-06-30;1.430972;
2017-07-31;1.659543;
2017-08-31;1.490457;
2017-09-30;0;
2017-10-31;1.812769;
2017-11-30;1.780139;
2017-12-31;1.273387;
2018-01-31;1.316357;
2018-02-28;1.498214;
2018-03-31;1.176882;
2018-04-30;1.356528;
2018-05-31;1.429704;
2018-06-30;1.344167;
2018-07-31;1.320027;
2018-08-31;1.712231;
2018-09-30;1.751039;
2018-10-31;1.754973;
2018-11-30;1.914167;
2018-12-31;1.224866;
2019-01-31;1.176344;
2019-02-28;1.261458;
2019-03-31;1.292742;
2019-04-30;1.096528;
2019-05-31;1.247592;
2019-06-30;1.185278;
2019-07-31;1.297177;
2019-08-31;1.733333;
2019-09-30;1.896667;
2019-10-31;1.65914;
2019-11-30;1.710695;
2019-12-31;1.331048;
2020-01-31;1.360349;
2020-02-29;1.293822;
2020-03-31;1.390924;
2020-04-30;1.215695;
2020-05-31;1.126075;
2020-06-30;1.174306;
2020-07-31;1.312874;
2020-08-31;1.488441;
2020-09-30;1.563333;
2020-10-31;1.948387;
2020-11-30;1.688611;
2020-12-31;1.459543;
2021-01-31;1.235349;
2021-02-28;1.16131;
2021-03-31;1.024328;
2021-04-30;1.441401;
2021-05-31;1.076613;
2021-06-30;1.123992;
2021-07-31;1.05457;
2021-08-31;1.158689;
2021-09-30;1.153458;
2021-10-31;1.289756;
2021-11-30;1.289263;
2021-12-31;1.040673;
2022-01-31;.702901;
