Nome: FRANCA
Codigo Estacao: A708
Latitude: -20.58444444
Longitude: -47.38249999
Altitude: 1002.74
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;2.422312;
2004-02-29;2.403464;
2004-03-31;2.132546;
2004-04-30;1.90968;
2004-05-31;1.799193;
2004-06-30;2.049111;
2004-07-31;2.440767;
2004-08-31;2.208336;
2004-09-30;2.704873;
2004-10-31;2.616468;
2004-11-30;2.431964;
2004-12-31;2.218093;
2005-01-31;2.416263;
2005-02-28;2.066492;
2005-03-31;2.04186;
2005-04-30;1.8734;
2005-05-31;2.1875;
2005-06-30;2.128194;
2005-07-31;2.266889;
2005-08-31;2.350269;
2005-09-30;2.460304;
2005-10-31;2.33775;
2005-11-30;2.371474;
2005-12-31;2.537097;
2006-01-31;2.075672;
2006-02-28;2.029557;
2006-03-31;1.986111;
2006-04-30;1.746509;
2006-05-31;null;
2006-06-30;2.219109;
2006-07-31;2.084812;
2006-08-31;2.471121;
2006-09-30;2.597904;
2006-10-31;2.383246;
2006-11-30;2.347629;
2006-12-31;2.414576;
2007-01-31;2.45336;
2007-02-28;2.117786;
2007-03-31;1.986987;
2007-04-30;1.984312;
2007-05-31;1.971794;
2007-06-30;1.9791;
2007-07-31;2.406415;
2007-08-31;2.590737;
2007-09-30;2.702554;
2007-10-31;2.273352;
2007-11-30;2.387787;
2007-12-31;2.225538;
2008-01-31;2.132124;
2008-02-29;1.795546;
2008-03-31;1.820489;
2008-04-30;1.707361;
2008-05-31;1.449316;
2008-06-30;1.801039;
2008-07-31;1.818011;
2008-08-31;2.359005;
2008-09-30;2.308889;
2008-10-31;2.131867;
2008-11-30;2.124305;
2008-12-31;1.789931;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;2.292639;
2009-12-31;2.186156;
2010-01-31;1.963306;
2010-02-28;2.135119;
2010-03-31;2.064516;
2010-04-30;1.981111;
2010-05-31;1.767339;
2010-06-30;1.99;
2010-07-31;2.576882;
2010-08-31;2.35901;
2010-09-30;2.572917;
2010-10-31;2.157661;
2010-11-30;2.216944;
2010-12-31;1.884946;
2011-01-31;2.105376;
2011-02-28;1.556399;
2011-03-31;1.647259;
2011-04-30;1.696667;
