Nome: PARANAIBA
Codigo Estacao: A710
Latitude: -19.69555555
Longitude: -51.18166666
Altitude: 408.06
Situacao: Operante
Data Inicial: 2006-11-09
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;null;
2006-12-31;null;
2007-01-31;2.257661;
2007-02-28;2.056399;
2007-03-31;1.783801;
2007-04-30;1.911726;
2007-05-31;2.136208;
2007-06-30;1.477109;
2007-07-31;2.185642;
2007-08-31;2.336957;
2007-09-30;2.711806;
2007-10-31;2.421739;
2007-11-30;2.61523;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;1.673297;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;2.360694;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;1.834884;
2011-06-30;1.832844;
2011-07-31;1.956129;
2011-08-31;2.405511;
2011-09-30;2.65753;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;2.235291;
2012-10-31;null;
2012-11-30;null;
2012-12-31;2.295027;
2013-01-31;2.268548;
2013-02-28;1.964732;
2013-03-31;2.038626;
2013-04-30;1.780278;
2013-05-31;1.727957;
2013-06-30;1.671035;
2013-07-31;1.968566;
2013-08-31;2.316398;
2013-09-30;2.589583;
2013-10-31;2.373118;
2013-11-30;2.335833;
2013-12-31;2.162366;
2014-01-31;1.927957;
2014-02-28;2.084673;
2014-03-31;2.016398;
2014-04-30;1.9775;
2014-05-31;1.251075;
2014-06-30;1.432917;
2014-07-31;1.6424;
2014-08-31;1.561022;
2014-09-30;2.131651;
2014-10-31;null;
2014-11-30;1.863016;
2014-12-31;2.153495;
2015-01-31;1.863581;
2015-02-28;1.960268;
2015-03-31;1.683871;
2015-04-30;1.607222;
2015-05-31;1.630108;
2015-06-30;1.595556;
2015-07-31;1.710484;
2015-08-31;1.849194;
2015-09-30;2.084583;
2015-10-31;2.226075;
2015-11-30;1.929861;
2015-12-31;2.044376;
2016-01-31;null;
2016-02-29;1.825822;
2016-03-31;null;
2016-04-30;1.612261;
2016-05-31;1.537793;
2016-06-30;null;
2016-07-31;1.468145;
2016-08-31;1.78871;
2016-09-30;2.139583;
2016-10-31;2.319916;
2016-11-30;2.347083;
2016-12-31;2.070211;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;1.852083;
2017-05-31;1.65578;
2017-06-30;1.568472;
2017-07-31;1.777285;
2017-08-31;1.687634;
2017-09-30;2.106806;
2017-10-31;2.329032;
2017-11-30;2.050694;
2017-12-31;1.808925;
2018-01-31;1.764578;
2018-02-28;1.897828;
2018-03-31;1.607908;
2018-04-30;1.609472;
2018-05-31;1.591935;
2018-06-30;1.797361;
2018-07-31;1.616532;
2018-08-31;2.349328;
2018-09-30;2.243333;
2018-10-31;1.923925;
2018-11-30;1.843322;
2018-12-31;.68293;
2019-01-31;1.024444;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;1.441389;
2019-07-31;1.714382;
2019-08-31;2.130914;
2019-09-30;2.294722;
2019-10-31;2.282661;
2019-11-30;2.189028;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;.918036;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;.506872;
2022-06-30;.524837;
2022-07-31;.199778;
2022-08-31;.568718;
2022-09-30;.284233;
2022-10-31;.258643;
2022-11-30;.224924;
2022-12-31;.067251;

