Nome: OURINHOS
Codigo Estacao: A716
Latitude: -22.94888888
Longitude: -49.89444444
Altitude: 443.49
Situacao: Temporariamente Fechada
Data Inicial: 2006-08-28
Data Final: 2020-08-19
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;null;
2006-09-30;4.187033;
2006-10-31;3.97043;
2006-11-30;4.257397;
2006-12-31;3.710937;
2007-01-31;2.816489;
2007-02-28;3.196504;
2007-03-31;2.347265;
2007-04-30;2.967331;
2007-05-31;null;
2007-06-30;null;
2007-07-31;2.695892;
2007-08-31;2.909555;
2007-09-30;3.181389;
2007-10-31;3.059759;
2007-11-30;2.796481;
2007-12-31;2.170477;
2008-01-31;2.255108;
2008-02-29;1.740891;
2008-03-31;1.784461;
2008-04-30;1.484583;
2008-05-31;1.483789;
2008-06-30;1.304958;
2008-07-31;1.439785;
2008-08-31;1.756183;
2008-09-30;2.135833;
2008-10-31;2.098662;
2008-11-30;2.054583;
2008-12-31;1.979436;
2009-01-31;1.531609;
2009-02-28;1.216099;
2009-03-31;1.245296;
2009-04-30;1.388195;
2009-05-31;1.201747;
2009-06-30;1.109306;
2009-07-31;1.125672;
2009-08-31;1.318011;
2009-09-30;1.300972;
2009-10-31;1.505106;
2009-11-30;1.104722;
2009-12-31;1.260753;
2010-01-31;.920161;
2010-02-28;null;
2010-03-31;null;
2010-04-30;1.046161;
2010-05-31;.957274;
2010-06-30;1.11495;
2010-07-31;1.210215;
2010-08-31;null;
2010-09-30;1.655467;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;.910112;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;1.744792;
2011-10-31;1.429839;
2011-11-30;1.453472;
2011-12-31;1.280376;
2012-01-31;1.065726;
2012-02-29;.876437;
2012-03-31;1.056586;
2012-04-30;.850417;
2012-05-31;.930376;
2012-06-30;.722778;
2012-07-31;.799059;
2012-08-31;.948944;
2012-09-30;1.280556;
2012-10-31;1.141129;
2012-11-30;1.343889;
2012-12-31;.947043;
2013-01-31;1.193011;
2013-02-28;.792411;
2013-03-31;.901361;
2013-04-30;.770278;
2013-05-31;.620565;
2013-06-30;.568018;
2013-07-31;.72119;
2013-08-31;1.004167;
2013-09-30;1.070694;
2013-10-31;1.271774;
2013-11-30;1.429028;
2013-12-31;1.258468;
2014-01-31;.85336;
2014-02-28;.990625;
2014-03-31;.93164;
2014-04-30;.893333;
2014-05-31;.701747;
2014-06-30;.758472;
2014-07-31;.878091;
2014-08-31;1.075;
2014-09-30;1.235278;
2014-10-31;1.415591;
2014-11-30;1.283056;
2014-12-31;1.008468;
2015-01-31;.842286;
2015-02-28;.761012;
2015-03-31;.707124;
2015-04-30;.802778;
2015-05-31;.718678;
2015-06-30;.719861;
2015-07-31;.587714;
2015-08-31;.784812;
2015-09-30;.839722;
2015-10-31;null;
2015-11-30;null;
2015-12-31;.692742;
2016-01-31;1.058468;
2016-02-29;.608477;
2016-03-31;.820161;
2016-04-30;.60375;
2016-05-31;.601532;
2016-06-30;.580972;
2016-07-31;.655914;
2016-08-31;.96922;
2016-09-30;1.193333;
2016-10-31;1.338073;
2016-11-30;1.418472;
2016-12-31;1.062634;
2017-01-31;.798925;
2017-02-28;.717708;
2017-03-31;.9455;
2017-04-30;.966389;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;1.040957;
2017-11-30;null;
2017-12-31;null;
2018-01-31;.819804;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;.470278;
2018-07-31;.512903;
2018-08-31;.870296;
2018-09-30;1.143611;
2018-10-31;1.00914;
2018-11-30;1.240417;
2018-12-31;.880376;
2019-01-31;.758871;
2019-02-28;.817857;
2019-03-31;.810215;
2019-04-30;.481528;
2019-05-31;.627554;
2019-06-30;.453333;
2019-07-31;.583468;
2019-08-31;1.174328;
2019-09-30;1.162361;
2019-10-31;1.319758;
2019-11-30;1.342917;
2019-12-31;.861962;
2020-01-31;.868952;
2020-02-29;.769684;
2020-03-31;1.056989;
2020-04-30;.85125;
2020-05-31;.670968;
2020-06-30;.601111;
2020-07-31;.79086;
2020-08-31;null;

