Nome: NHUMIRIM
Codigo Estacao: A717
Latitude: -18.9886111
Longitude: -56.62277777
Altitude: 102.26
Situacao: Operante
Data Inicial: 2006-08-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;null;
2006-09-30;2.679565;
2006-10-31;2.201613;
2006-11-30;2.323725;
2006-12-31;2.220722;
2007-01-31;2.40651;
2007-02-28;1.945318;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;2.509949;
2007-08-31;3.00969;
2007-09-30;2.431806;
2007-10-31;2.225602;
2007-11-30;2.4125;
2007-12-31;2.133333;
2008-01-31;2.111559;
2008-02-29;2.016236;
2008-03-31;1.464919;
2008-04-30;1.820278;
2008-05-31;1.83293;
2008-06-30;1.821389;
2008-07-31;1.69664;
2008-08-31;2.129032;
2008-09-30;1.328889;
2008-10-31;1.373253;
2008-11-30;1.567494;
2008-12-31;1.708871;
2009-01-31;1.812447;
2009-02-28;1.819183;
2009-03-31;1.163172;
2009-04-30;1.008056;
2009-05-31;1.854704;
2009-06-30;1.73629;
2009-07-31;1.889722;
2009-08-31;2.240323;
2009-09-30;3.121111;
2009-10-31;2.452299;
2009-11-30;2.86375;
2009-12-31;2.402151;
2010-01-31;2.171409;
2010-02-28;2.182887;
2010-03-31;1.706586;
2010-04-30;2.001944;
2010-05-31;1.90121;
2010-06-30;1.920417;
2010-07-31;2.485076;
2010-08-31;2.301606;
2010-09-30;2.700556;
2010-10-31;2.340188;
2010-11-30;2.221667;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;2.148611;
2011-12-31;1.919086;
2012-01-31;1.837634;
2012-02-29;1.383046;
2012-03-31;1.352662;
2012-04-30;1.362083;
2012-05-31;1.171774;
2012-06-30;1.6175;
2012-07-31;.871371;
2012-08-31;1.863518;
2012-09-30;2.0475;
2012-10-31;1.875135;
2012-11-30;1.337083;
2012-12-31;1.577688;
2013-01-31;.739651;
2013-02-28;1.025298;
2013-03-31;.733306;
2013-04-30;.398889;
2013-05-31;.683725;
2013-06-30;null;
2013-07-31;null;
2013-08-31;1.615323;
2013-09-30;1.106781;
2013-10-31;.790457;
2013-11-30;1.024753;
2013-12-31;2.262366;
2014-01-31;2.318952;
2014-02-28;2.09003;
2014-03-31;1.799851;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;2.379973;
2015-01-31;1.891374;
2015-02-28;2.060268;
2015-03-31;1.540591;
2015-04-30;1.274444;
2015-05-31;1.847043;
2015-06-30;1.895417;
2015-07-31;2.116263;
2015-08-31;null;
2015-09-30;null;
2015-10-31;2.66413;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;2.149479;
2016-03-31;1.587231;
2016-04-30;1.769445;
2016-05-31;1.48414;
2016-06-30;1.544306;
2016-07-31;1.797312;
2016-08-31;1.992473;
2016-09-30;1.991667;
2016-10-31;2.350058;
2016-11-30;1.679861;
2016-12-31;2.256317;
2017-01-31;1.728763;
2017-02-28;1.18378;
2017-03-31;.652419;
2017-04-30;.435694;
2017-05-31;.758737;
2017-06-30;.73625;
2017-07-31;.285618;
2017-08-31;.59328;
2017-09-30;.686389;
2017-10-31;1.280511;
2017-11-30;.828611;
2017-12-31;.63172;
2018-01-31;.791936;
2018-02-28;.410119;
2018-03-31;.466304;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;2.054861;
2018-08-31;2.271505;
2018-09-30;2.167639;
2018-10-31;2.27957;
2018-11-30;2.086798;
2018-12-31;2.181989;
2019-01-31;2.368817;
2019-02-28;2.193441;
2019-03-31;2.028848;
2019-04-30;1.687973;
2019-05-31;1.856183;
2019-06-30;1.884039;
2019-07-31;2.111031;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;.935055;
2020-01-31;.059669;
2020-02-29;.034951;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;2.882361;
2022-10-31;2.537634;
2022-11-30;2.643472;
2022-12-31;2.311828;

