Nome: COXIM
Codigo Estacao: A720
Latitude: -18.51222222
Longitude: -54.7361111
Altitude: 251.48
Situacao: Operante
Data Inicial: 2006-11-05
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;1.361512;
2006-12-31;1.273346;
2007-01-31;1.331989;
2007-02-28;1.223059;
2007-03-31;.919238;
2007-04-30;.999988;
2007-05-31;1.187119;
2007-06-30;.980393;
2007-07-31;1.453708;
2007-08-31;1.410217;
2007-09-30;1.414028;
2007-10-31;1.453641;
2007-11-30;1.500575;
2007-12-31;1.311156;
2008-01-31;1.395833;
2008-02-29;1.26092;
2008-03-31;1.053091;
2008-04-30;1.087222;
2008-05-31;1.064633;
2008-06-30;1.072397;
2008-07-31;.971505;
2008-08-31;1.385081;
2008-09-30;1.725694;
2008-10-31;1.565188;
2008-11-30;1.290882;
2008-12-31;1.355914;
2009-01-31;1.308871;
2009-02-28;1.154546;
2009-03-31;1.034409;
2009-04-30;.912083;
2009-05-31;1.028091;
2009-06-30;1.133472;
2009-07-31;1.148917;
2009-08-31;1.489247;
2009-09-30;1.682676;
2009-10-31;1.418103;
2009-11-30;1.318222;
2009-12-31;1.399536;
2010-01-31;1.208822;
2010-02-28;.926935;
2010-03-31;.635484;
2010-04-30;.535417;
2010-05-31;.672677;
2010-06-30;.357766;
2010-07-31;.79423;
2010-08-31;.405447;
2010-09-30;.754331;
2010-10-31;.759728;
2010-11-30;.585556;
2010-12-31;.712097;
2011-01-31;.635753;
2011-02-28;.526786;
2011-03-31;.488066;
2011-04-30;.201389;
2011-05-31;.190322;
2011-06-30;.359028;
2011-07-31;.354301;
2011-08-31;.548387;
2011-09-30;.445278;
2011-10-31;.563307;
2011-11-30;.399028;
2011-12-31;.285484;
2012-01-31;.265054;
2012-02-29;.399138;
2012-03-31;.205283;
2012-04-30;.07625;
2012-05-31;.0375;
2012-06-30;.215278;
2012-07-31;.089382;
2012-08-31;.262673;
2012-09-30;.594112;
2012-10-31;.778495;
2012-11-30;.377361;
2012-12-31;.651747;
2013-01-31;.668414;
2013-02-28;.675446;
2013-03-31;.558778;
2013-04-30;.168889;
2013-05-31;.339651;
2013-06-30;.286111;
2013-07-31;.342561;
2013-08-31;.812366;
2013-09-30;.943611;
2013-10-31;.790995;
2013-11-30;.891389;
2013-12-31;1.05578;
2014-01-31;.742742;
2014-02-28;.64747;
2014-03-31;.568817;
2014-04-30;.497778;
2014-05-31;.459812;
2014-06-30;.3625;
2014-07-31;.383199;
2014-08-31;.447984;
2014-09-30;.789028;
2014-10-31;.534946;
2014-11-30;.145694;
2014-12-31;.436022;
2015-01-31;.628722;
2015-02-28;.832143;
2015-03-31;.802823;
2015-04-30;.4225;
2015-05-31;null;
2015-06-30;.402917;
2015-07-31;.62164;
2015-08-31;.536828;
2015-09-30;.853056;
2015-10-31;.855108;
2015-11-30;.971528;
2015-12-31;1.072043;
2016-01-31;.964516;
2016-02-29;.853305;
2016-03-31;null;
2016-04-30;null;
2016-05-31;.74207;
2016-06-30;.667639;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;.925417;
2016-12-31;.953898;
2017-01-31;.81828;
2017-02-28;.720387;
2017-03-31;.59569;
2017-04-30;null;
2017-05-31;.897574;
2017-06-30;1.005139;
2017-07-31;1.048656;
2017-08-31;1.209543;
2017-09-30;1.1925;
2017-10-31;1.307392;
2017-11-30;1.139583;
2017-12-31;1.25457;
2018-01-31;1.224866;
2018-02-28;1.048512;
2018-03-31;1.127285;
2018-04-30;.809306;
2018-05-31;.814516;
2018-06-30;1.055972;
2018-07-31;1.01586;
2018-08-31;1.457224;
2018-09-30;1.352906;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;.773318;
2019-04-30;.653472;
2019-05-31;.768683;
2019-06-30;.715972;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;.857441;
2020-01-31;1.042292;
2020-02-29;.865849;
2020-03-31;.734167;
2020-04-30;.717778;
2020-05-31;.565726;
2020-06-30;.780694;
2020-07-31;.803763;
2020-08-31;1.004167;
2020-09-30;1.074668;
2020-10-31;1.106298;
2020-11-30;1.081603;
2020-12-31;1.111322;
2021-01-31;.940566;
2021-02-28;.780794;
2021-03-31;.883684;
2021-04-30;.76375;
2021-05-31;.801613;
2021-06-30;.813611;
2021-07-31;.669489;
2021-08-31;1.082258;
2021-09-30;1.144954;
2021-10-31;1.15183;
2021-11-30;1.16441;
2021-12-31;.907044;
2022-01-31;1.001676;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;1.743469;
2022-10-31;1.578873;
2022-11-30;1.633921;
2022-12-31;1.468711;

