Nome: PORTO MURTINHO
Codigo Estacao: A723
Latitude: -21.70583333
Longitude: -57.88666666
Altitude: 78.56
Situacao: Operante
Data Inicial: 2006-10-23
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;null;
2006-11-30;2.287554;
2006-12-31;1.943034;
2007-01-31;2.025538;
2007-02-28;1.693355;
2007-03-31;1.711742;
2007-04-30;1.744565;
2007-05-31;2.131944;
2007-06-30;2.486751;
2007-07-31;2.414282;
2007-08-31;2.827068;
2007-09-30;2.216944;
2007-10-31;2.139639;
2007-11-30;2.326724;
2007-12-31;1.799731;
2008-01-31;1.706855;
2008-02-29;1.75431;
2008-03-31;1.345833;
2008-04-30;1.972361;
2008-05-31;2.092368;
2008-06-30;1.846759;
2008-07-31;1.956855;
2008-08-31;2.245027;
2008-09-30;2.422639;
2008-10-31;2.305376;
2008-11-30;1.956812;
2008-12-31;1.892608;
2009-01-31;2.101928;
2009-02-28;1.656521;
2009-03-31;1.074059;
2009-04-30;1.383333;
2009-05-31;1.833199;
2009-06-30;1.7375;
2009-07-31;1.979167;
2009-08-31;1.395968;
2009-09-30;2.378367;
2009-10-31;1.919253;
2009-11-30;2.236528;
2009-12-31;1.637634;
2010-01-31;1.280437;
2010-02-28;1.781845;
2010-03-31;1.046505;
2010-04-30;1.406667;
2010-05-31;1.282527;
2010-06-30;1.334861;
2010-07-31;1.609776;
2010-08-31;1.07381;
2010-09-30;1.807873;
2010-10-31;1.943973;
2010-11-30;1.356969;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;1.7621;
2011-04-30;1.612361;
2011-05-31;1.519086;
2011-06-30;2.048889;
2011-07-31;2.30336;
2011-08-31;2.707796;
2011-09-30;2.277222;
2011-10-31;2.358065;
2011-11-30;2.141805;
2011-12-31;2.130376;
2012-01-31;1.875941;
2012-02-29;1.856178;
2012-03-31;1.597849;
2012-04-30;1.695555;
2012-05-31;1.418823;
2012-06-30;1.722756;
2012-07-31;1.816041;
2012-08-31;2.201491;
2012-09-30;2.370099;
2012-10-31;2.544294;
2012-11-30;2.077083;
2012-12-31;2.375806;
2013-01-31;1.962903;
2013-02-28;1.819494;
2013-03-31;1.949889;
2013-04-30;null;
2013-05-31;1.934718;
2013-06-30;null;
2013-07-31;1.594105;
2013-08-31;2.350055;
2013-09-30;2.575672;
2013-10-31;1.947292;
2013-11-30;1.95812;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;1.65;
2014-04-30;1.710972;
2014-05-31;.672446;
2014-06-30;.872639;
2014-07-31;1.060215;
2014-08-31;.96371;
2014-09-30;.373195;
2014-10-31;.492742;
2014-11-30;.560972;
2014-12-31;.27621;
2015-01-31;.206458;
2015-02-28;.031101;
2015-03-31;.052688;
2015-04-30;.042361;
2015-05-31;.077419;
2015-06-30;null;
2015-07-31;null;
2015-08-31;.664382;
2015-09-30;.854306;
2015-10-31;.870027;
2015-11-30;.624444;
2015-12-31;null;
2016-01-31;null;
2016-02-29;1.876254;
2016-03-31;1.486694;
2016-04-30;1.926389;
2016-05-31;1.47379;
2016-06-30;1.466382;
2016-07-31;1.772446;
2016-08-31;1.810811;
2016-09-30;1.926057;
2016-10-31;2.388172;
2016-11-30;2.127639;
2016-12-31;2.074731;
2017-01-31;1.962903;
2017-02-28;1.763691;
2017-03-31;1.614785;
2017-04-30;1.625;
2017-05-31;1.678898;
2017-06-30;1.634444;
2017-07-31;1.612351;
2017-08-31;2.191129;
2017-09-30;2.084167;
2017-10-31;2.517339;
2017-11-30;1.935695;
2017-12-31;1.434946;
2018-01-31;1.745161;
2018-02-28;1.427678;
2018-03-31;1.407124;
2018-04-30;1.069306;
2018-05-31;1.447177;
2018-06-30;1.935827;
2018-07-31;1.905466;
2018-08-31;1.747844;
2018-09-30;1.757917;
2018-10-31;1.640089;
2018-11-30;1.550694;
2018-12-31;1.919086;
2019-01-31;2.010753;
2019-02-28;1.777604;
2019-03-31;1.414025;
2019-04-30;1.028133;
2019-05-31;1.375763;
2019-06-30;1.368472;
2019-07-31;1.252057;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;1.013389;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

