Nome: CORUMBA
Codigo Estacao: A724
Latitude: -18.99666666
Longitude: -57.63749999
Altitude: 111.73
Situacao: Operante
Data Inicial: 2006-10-25
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;null;
2006-11-30;2.169698;
2006-12-31;1.617011;
2007-01-31;1.558468;
2007-02-28;1.578571;
2007-03-31;1.535618;
2007-04-30;1.893611;
2007-05-31;2.133257;
2007-06-30;2.379348;
2007-07-31;2.396214;
2007-08-31;3.043922;
2007-09-30;2.425622;
2007-10-31;2.025672;
2007-11-30;1.921695;
2007-12-31;1.635887;
2008-01-31;.27957;
2008-02-29;0;
2008-03-31;0;
2008-04-30;0;
2008-05-31;1.308948;
2008-06-30;1.814694;
2008-07-31;2.197984;
2008-08-31;2.179704;
2008-09-30;2.838306;
2008-10-31;2.435652;
2008-11-30;1.816987;
2008-12-31;1.792164;
2009-01-31;1.808103;
2009-02-28;1.486607;
2009-03-31;1.275134;
2009-04-30;1.390278;
2009-05-31;1.964368;
2009-06-30;2.258507;
2009-07-31;1.970688;
2009-08-31;2.28426;
2009-09-30;2.592083;
2009-10-31;2.33592;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;2.542113;
2010-11-30;2.046806;
2010-12-31;2.018145;
2011-01-31;1.684543;
2011-02-28;1.643601;
2011-03-31;1.761105;
2011-04-30;1.928611;
2011-05-31;2.133602;
2011-06-30;2.281178;
2011-07-31;2.200287;
2011-08-31;2.5005;
2011-09-30;2.580316;
2011-10-31;2.344624;
2011-11-30;2.373611;
2011-12-31;1.90457;
2012-01-31;1.755376;
2012-02-29;1.778161;
2012-03-31;1.633064;
2012-04-30;1.787361;
2012-05-31;2.15121;
2012-06-30;2.164722;
2012-07-31;2.398656;
2012-08-31;2.993798;
2012-09-30;2.855417;
2012-10-31;2.780376;
2012-11-30;1.989306;
2012-12-31;2.097312;
2013-01-31;1.78078;
2013-02-28;1.791369;
2013-03-31;1.823278;
2013-04-30;1.701111;
2013-05-31;2.124597;
2013-06-30;1.95024;
2013-07-31;2.248866;
2013-08-31;2.709005;
2013-09-30;2.431482;
2013-10-31;2.201613;
2013-11-30;2.21;
2013-12-31;1.732661;
2014-01-31;1.765323;
2014-02-28;1.714137;
2014-03-31;1.561828;
2014-04-30;1.705417;
2014-05-31;1.960081;
2014-06-30;2.236389;
2014-07-31;2.239247;
2014-08-31;1.890995;
2014-09-30;2.11;
2014-10-31;2.018548;
2014-11-30;1.9875;
2014-12-31;1.78293;
2015-01-31;1.656183;
2015-02-28;1.574405;
2015-03-31;1.564382;
2015-04-30;1.466111;
2015-05-31;1.953737;
2015-06-30;2.012227;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;2.137054;
2015-11-30;1.8475;
2015-12-31;1.731989;
2016-01-31;1.596237;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;1.741398;
2016-06-30;2.0075;
2016-07-31;1.910887;
2016-08-31;2.226344;
2016-09-30;2.195417;
2016-10-31;2.02365;
2016-11-30;1.738056;
2016-12-31;2.172043;
2017-01-31;1.664113;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;2.033611;
2017-07-31;2.376075;
2017-08-31;2.474731;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;1.249521;
2019-04-30;.501945;
2019-05-31;.173118;
2019-06-30;.175556;
2019-07-31;.361425;
2019-08-31;.955755;
2019-09-30;.939028;
2019-10-31;.819279;
2019-11-30;.395761;
2019-12-31;.275339;
2020-01-31;.350327;
2020-02-29;.248838;
2020-03-31;.178995;
2020-04-30;.328611;
2020-05-31;.412903;
2020-06-30;.930278;
2020-07-31;.95578;
2020-08-31;1.149597;
2020-09-30;1.47125;
2020-10-31;1.026642;
2020-11-30;.847434;
2020-12-31;.574898;
2021-01-31;.272052;
2021-02-28;.337384;
2021-03-31;.274627;
2021-04-30;.279438;
2021-05-31;.640387;
2021-06-30;.678889;
2021-07-31;.543952;
2021-08-31;.922487;
2021-09-30;.960839;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;2.488502;
2022-10-31;1.804553;
2022-11-30;2.326197;
2022-12-31;1.629884;

