Nome: AVARE
Codigo Estacao: A725
Latitude: -23.10166666
Longitude: -48.9411111
Altitude: 776.36
Situacao: Operante
Data Inicial: 2006-09-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;null;
2006-10-31;3.597715;
2006-11-30;3.913333;
2006-12-31;3.60301;
2007-01-31;3.266834;
2007-02-28;3.185668;
2007-03-31;2.416801;
2007-04-30;3.259722;
2007-05-31;2.961009;
2007-06-30;1.995686;
2007-07-31;2.800806;
2007-08-31;3.210606;
2007-09-30;3.698195;
2007-10-31;3.642064;
2007-11-30;3.8176;
2007-12-31;2.912366;
2008-01-31;3.486694;
2008-02-29;2.488736;
2008-03-31;3.160618;
2008-04-30;2.536528;
2008-05-31;2.397444;
2008-06-30;2.445474;
2008-07-31;2.283737;
2008-08-31;2.939247;
2008-09-30;3.699444;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;2.39903;
2010-02-28;2.159152;
2010-03-31;2.536821;
2010-04-30;null;
2010-05-31;null;
2010-06-30;2.499063;
2010-07-31;2.747731;
2010-08-31;2.807484;
2010-09-30;3.101338;
2010-10-31;3.012114;
2010-11-30;2.611389;
2010-12-31;2.834812;
2011-01-31;2.268414;
2011-02-28;1.988393;
2011-03-31;3.139511;
2011-04-30;2.229028;
2011-05-31;2.353695;
2011-06-30;2.075014;
2011-07-31;2.142299;
2011-08-31;2.875778;
2011-09-30;3.194765;
2011-10-31;null;
2011-11-30;2.989076;
2011-12-31;2.7375;
2012-01-31;2.740457;
2012-02-29;1.452011;
2012-03-31;1.49007;
2012-04-30;2.031356;
2012-05-31;2.368046;
2012-06-30;1.947784;
2012-07-31;2.053289;
2012-08-31;2.439533;
2012-09-30;2.753703;
2012-10-31;2.620282;
2012-11-30;3.076886;
2012-12-31;2.230914;
2013-01-31;3.015188;
2013-02-28;2.212946;
2013-03-31;2.587167;
2013-04-30;null;
2013-05-31;null;
2013-06-30;1.846932;
2013-07-31;2.212607;
2013-08-31;2.4973;
2013-09-30;2.75529;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;2.907639;
2014-10-31;2.904973;
2014-11-30;2.883333;
2014-12-31;2.9625;
2015-01-31;2.332527;
2015-02-28;2.109524;
2015-03-31;2.023387;
2015-04-30;2.425417;
2015-05-31;2.337634;
2015-06-30;2.060833;
2015-07-31;1.914113;
2015-08-31;1.864651;
2015-09-30;2.147083;
2015-10-31;2.662769;
2015-11-30;2.022917;
2015-12-31;1.961156;
2016-01-31;2.816667;
2016-02-29;1.799282;
2016-03-31;1.895565;
2016-04-30;1.589167;
2016-05-31;1.956317;
2016-06-30;1.558995;
2016-07-31;1.8238;
2016-08-31;2.227016;
2016-09-30;2.548056;
2016-10-31;2.610349;
2016-11-30;2.607639;
2016-12-31;2.048387;
2017-01-31;1.804167;
2017-02-28;1.672024;
2017-03-31;2.319086;
2017-04-30;2.355;
2017-05-31;1.116532;
2017-06-30;.90663;
2017-07-31;1.633967;
2017-08-31;1.627151;
2017-09-30;1.275278;
2017-10-31;1.294489;
2017-11-30;.900556;
2017-12-31;.506586;
2018-01-31;.44422;
2018-02-28;.83948;
2018-03-31;.230833;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;2.792876;
2018-11-30;3.130972;
2018-12-31;2.239919;
2019-01-31;2.027285;
2019-02-28;2.257887;
2019-03-31;2.351344;
2019-04-30;1.910139;
2019-05-31;1.833468;
2019-06-30;1.809583;
2019-07-31;1.998253;
2019-08-31;2.873925;
2019-09-30;2.847766;
2019-10-31;2.766129;
2019-11-30;2.927139;
2019-12-31;2.529316;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;1.787075;
2022-07-31;1.869829;
2022-08-31;2.537003;
2022-09-30;3.055006;
2022-10-31;2.598171;
2022-11-30;3.26183;
2022-12-31;2.603793;

