Nome: PIRACICABA
Codigo Estacao: A726
Latitude: -22.70305555
Longitude: -47.62333332
Altitude: 566.46
Situacao: Operante
Data Inicial: 2006-09-25
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;null;
2006-10-31;2.294086;
2006-11-30;2.397881;
2006-12-31;2.044367;
2007-01-31;1.455537;
2007-02-28;1.913404;
2007-03-31;1.716129;
2007-04-30;2.057983;
2007-05-31;2.205497;
2007-06-30;2.072736;
2007-07-31;2.233737;
2007-08-31;2.343573;
2007-09-30;2.6675;
2007-10-31;2.531487;
2007-11-30;2.726756;
2007-12-31;2.204167;
2008-01-31;2.459543;
2008-02-29;1.98431;
2008-03-31;2.249731;
2008-04-30;1.858333;
2008-05-31;2.089265;
2008-06-30;1.932778;
2008-07-31;1.97836;
2008-08-31;2.357124;
2008-09-30;2.688611;
2008-10-31;2.545296;
2008-11-30;2.700695;
2008-12-31;2.394758;
2009-01-31;2.402869;
2009-02-28;1.840871;
2009-03-31;1.963306;
2009-04-30;2.081667;
2009-05-31;1.965591;
2009-06-30;1.806806;
2009-07-31;1.841398;
2009-08-31;2.20457;
2009-09-30;2.269167;
2009-10-31;2.536351;
2009-11-30;2.345556;
2009-12-31;2.169489;
2010-01-31;1.837903;
2010-02-28;1.976637;
2010-03-31;2.148925;
2010-04-30;2.119861;
2010-05-31;1.930108;
2010-06-30;1.919028;
2010-07-31;1.915591;
2010-08-31;2.044086;
2010-09-30;2.407222;
2010-10-31;2.584543;
2010-11-30;2.419733;
2010-12-31;2.357;
2011-01-31;1.804885;
2011-02-28;1.683068;
2011-03-31;null;
2011-04-30;1.503833;
2011-05-31;1.313941;
2011-06-30;1.76376;
2011-07-31;1.619016;
2011-08-31;null;
2011-09-30;2.22325;
2011-10-31;2.468128;
2011-11-30;2.499028;
2011-12-31;2.050941;
2012-01-31;1.965457;
2012-02-29;1.481859;
2012-03-31;1.674427;
2012-04-30;1.748611;
2012-05-31;1.558199;
2012-06-30;1.158871;
2012-07-31;1.466263;
2012-08-31;1.612484;
2012-09-30;2.043194;
2012-10-31;1.910484;
2012-11-30;2.295833;
2012-12-31;1.606855;
2013-01-31;2.062231;
2013-02-28;1.488988;
2013-03-31;1.809833;
2013-04-30;1.474167;
2013-05-31;1.302285;
2013-06-30;.947816;
2013-07-31;1.420629;
2013-08-31;1.949328;
2013-09-30;1.936389;
2013-10-31;2.223118;
2013-11-30;2.332518;
2013-12-31;2.252244;
2014-01-31;1.738008;
2014-02-28;1.912222;
2014-03-31;1.757632;
2014-04-30;1.922778;
2014-05-31;1.491895;
2014-06-30;1.720948;
2014-07-31;1.786815;
2014-08-31;null;
2014-09-30;null;
2014-10-31;2.536828;
2014-11-30;2.250453;
2014-12-31;1.961185;
2015-01-31;1.836162;
2015-02-28;1.619792;
2015-03-31;1.513306;
2015-04-30;2.030833;
2015-05-31;1.705113;
2015-06-30;1.959293;
2015-07-31;1.313038;
2015-08-31;1.81129;
2015-09-30;null;
2015-10-31;2.378629;
2015-11-30;1.75;
2015-12-31;1.718548;
2016-01-31;2.324866;
2016-02-29;1.747845;
2016-03-31;1.68172;
2016-04-30;1.737917;
2016-05-31;1.713278;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;2.391;
2016-10-31;2.407708;
2016-11-30;2.290417;
2016-12-31;2.011021;
2017-01-31;1.382258;
2017-02-28;1.816369;
2017-03-31;1.937366;
2017-04-30;1.958605;
2017-05-31;1.401111;
2017-06-30;null;
2017-07-31;2.026882;
2017-08-31;2.058185;
2017-09-30;null;
2017-10-31;2.085972;
2017-11-30;2.314861;
2017-12-31;1.906855;
2018-01-31;1.550538;
2018-02-28;1.956399;
2018-03-31;.871774;
2018-04-30;1.001944;
2018-05-31;1.152688;
2018-06-30;1.220972;
2018-07-31;1.52379;
2018-08-31;1.636623;
2018-09-30;1.431528;
2018-10-31;1.984876;
2018-11-30;2.218056;
2018-12-31;1.931586;
2019-01-31;1.271339;
2019-02-28;1.281101;
2019-03-31;1.296505;
2019-04-30;1.305205;
2019-05-31;.986022;
2019-06-30;1.2475;
2019-07-31;1.154032;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;2.282222;
2019-12-31;1.591263;
2020-01-31;1.637634;
2020-02-29;1.138362;
2020-03-31;1.604704;
2020-04-30;1.098611;
2020-05-31;1.109537;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;2.090242;
2022-05-31;2.098656;
2022-06-30;1.769306;
2022-07-31;1.943011;
2022-08-31;2.678091;
2022-09-30;2.67625;
2022-10-31;2.288038;
2022-11-30;2.904861;
2022-12-31;2.184677;

