Nome: CHAPADAO DO SUL
Codigo Estacao: A730
Latitude: -18.80222222
Longitude: -52.6025
Altitude: 820.82
Situacao: Operante
Data Inicial: 2006-12-19
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;null;
2007-01-31;2.464247;
2007-02-28;1.90229;
2007-03-31;2.218011;
2007-04-30;2.276908;
2007-05-31;2.413664;
2007-06-30;1.979444;
2007-07-31;2.530205;
2007-08-31;3.232515;
2007-09-30;3.172361;
2007-10-31;2.532544;
2007-11-30;3.139583;
2007-12-31;2.461156;
2008-01-31;2.436425;
2008-02-29;2.141954;
2008-03-31;2.145833;
2008-04-30;2.215417;
2008-05-31;2.117123;
2008-06-30;2.311594;
2008-07-31;2.616667;
2008-08-31;2.679167;
2008-09-30;2.818611;
2008-10-31;2.12387;
2008-11-30;null;
2008-12-31;null;
2009-01-31;1.59876;
2009-02-28;null;
2009-03-31;1.153237;
2009-04-30;1.404583;
2009-05-31;1.410349;
2009-06-30;1.641655;
2009-07-31;1.958673;
2009-08-31;2.760887;
2009-09-30;2.584191;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;2.115773;
2010-04-30;2.280487;
2010-05-31;1.93293;
2010-06-30;2.275556;
2010-07-31;2.499328;
2010-08-31;2.795254;
2010-09-30;3.196667;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;2.26131;
2011-05-31;2.264785;
2011-06-30;2.305556;
2011-07-31;2.529973;
2011-08-31;2.895564;
2011-09-30;3.023056;
2011-10-31;2.947312;
2011-11-30;2.499861;
2011-12-31;2.07957;
2012-01-31;2.202957;
2012-02-29;1.560489;
2012-03-31;1.45672;
2012-04-30;1.775;
2012-05-31;2.08389;
2012-06-30;2.429028;
2012-07-31;2.052822;
2012-08-31;3.051959;
2012-09-30;3.018472;
2012-10-31;2.50457;
2012-11-30;2.170417;
2012-12-31;2.327957;
2013-01-31;2.222446;
2013-02-28;2.210417;
2013-03-31;2.361;
2013-04-30;2.31625;
2013-05-31;2.078764;
2013-06-30;2.054849;
2013-07-31;2.655108;
2013-08-31;2.536559;
2013-09-30;2.70375;
2013-10-31;2.115457;
2013-11-30;1.626528;
2013-12-31;1.268548;
2014-01-31;1.242742;
2014-02-28;1.226042;
2014-03-31;.844355;
2014-04-30;.662361;
2014-05-31;.943011;
2014-06-30;1.19375;
2014-07-31;1.531452;
2014-08-31;1.118279;
2014-09-30;1.062778;
2014-10-31;1.22836;
2014-11-30;.569028;
2014-12-31;.785081;
2015-01-31;.356183;
2015-02-28;.754911;
2015-03-31;.441936;
2015-04-30;.509342;
2015-05-31;2.149194;
2015-06-30;2.434861;
2015-07-31;2.326613;
2015-08-31;2.578763;
2015-09-30;2.6225;
2015-10-31;2.574059;
2015-11-30;2.476389;
2015-12-31;2.336559;
2016-01-31;2.571237;
2016-02-29;1.886494;
2016-03-31;2.288038;
2016-04-30;1.959306;
2016-05-31;2.389651;
2016-06-30;2.160897;
2016-07-31;null;
2016-08-31;null;
2016-09-30;2.610417;
2016-10-31;2.418537;
2016-11-30;2.35;
2016-12-31;2.624328;
2017-01-31;null;
2017-02-28;2.27247;
2017-03-31;2.018397;
2017-04-30;2.231528;
2017-05-31;2.191129;
2017-06-30;2.381406;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;2.770833;
2017-11-30;2.476944;
2017-12-31;2.239919;
2018-01-31;1.900806;
2018-02-28;1.876339;
2018-03-31;1.448521;
2018-04-30;1.990556;
2018-05-31;1.447312;
2018-06-30;1.407639;
2018-07-31;1.698563;
2018-08-31;null;
2018-09-30;null;
2018-10-31;2.029519;
2018-11-30;2.149167;
2018-12-31;1.605242;
2019-01-31;1.655108;
2019-02-28;2.144167;
2019-03-31;2.209274;
2019-04-30;1.777917;
2019-05-31;1.87164;
2019-06-30;2.203056;
2019-07-31;2.288172;
2019-08-31;2.875403;
2019-09-30;2.761944;
2019-10-31;2.40793;
2019-11-30;2.302083;
2019-12-31;2.100941;
2020-01-31;1.977823;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;2.625333;
2022-10-31;2.623617;
2022-11-30;2.400172;
2022-12-31;2.109194;

