Nome: JALES
Codigo Estacao: A733
Latitude: -20.165
Longitude: -50.59499999
Altitude: 460.44
Situacao: Operante
Data Inicial: 2007-08-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-08-31;null;
2007-09-30;3.580695;
2007-10-31;2.904558;
2007-11-30;3.011754;
2007-12-31;2.620296;
2008-01-31;2.556989;
2008-02-29;2.189626;
2008-03-31;2.144413;
2008-04-30;2.263333;
2008-05-31;2.447551;
2008-06-30;2.613188;
2008-07-31;2.988038;
2008-08-31;3.250941;
2008-09-30;3.395694;
2008-10-31;3.041398;
2008-11-30;2.655556;
2008-12-31;2.550941;
2009-01-31;2.875806;
2009-02-28;2.284673;
2009-03-31;1.944893;
2009-04-30;2.246111;
2009-05-31;2.258064;
2009-06-30;2.330833;
2009-07-31;2.613441;
2009-08-31;3.138038;
2009-09-30;2.643194;
2009-10-31;2.379023;
2009-11-30;2.35625;
2009-12-31;1.673118;
2010-01-31;2.20505;
2010-02-28;2.025446;
2010-03-31;1.954728;
2010-04-30;2.217178;
2010-05-31;2.389436;
2010-06-30;2.673934;
2010-07-31;2.918842;
2010-08-31;2.982374;
2010-09-30;3.431844;
2010-10-31;2.497174;
2010-11-30;1.700089;
2010-12-31;1.390463;
2011-01-31;1.449735;
2011-02-28;.839197;
2011-03-31;1.196505;
2011-04-30;1.76075;
2011-05-31;2.162826;
2011-06-30;2.377858;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;2.64207;
2011-11-30;1.9425;
2011-12-31;1.483333;
2012-01-31;1.160618;
2012-02-29;1.084402;
2012-03-31;.737329;
2012-04-30;1.049444;
2012-05-31;1.508064;
2012-06-30;.612083;
2012-07-31;1.225117;
2012-08-31;1.873982;
2012-09-30;1.340278;
2012-10-31;1.434543;
2012-11-30;1.381528;
2012-12-31;2.541667;
2013-01-31;2.643145;
2013-02-28;2.300996;
2013-03-31;2.436028;
2013-04-30;2.387639;
2013-05-31;2.770968;
2013-06-30;2.630833;
2013-07-31;2.896909;
2013-08-31;3.315188;
2013-09-30;3.365972;
2013-10-31;2.952285;
2013-11-30;2.710833;
2013-12-31;2.560618;
2014-01-31;2.291935;
2014-02-28;2.43125;
2014-03-31;2.502116;
2014-04-30;2.481401;
2014-05-31;2.503629;
2014-06-30;2.677379;
2014-07-31;2.788435;
2014-08-31;2.691176;
2014-09-30;2.975616;
2014-10-31;2.632527;
2014-11-30;2.101987;
2014-12-31;2.155102;
2015-01-31;1.38827;
2015-02-28;2.042411;
2015-03-31;1.766532;
2015-04-30;1.542083;
2015-05-31;1.992742;
2015-06-30;2.24625;
2015-07-31;2.483345;
2015-08-31;2.890007;
2015-09-30;2.369583;
2015-10-31;2.356317;
2015-11-30;1.996389;
2015-12-31;2.118414;
2016-01-31;2.246875;
2016-02-29;1.822631;
2016-03-31;1.582392;
2016-04-30;1.424562;
2016-05-31;null;
2016-06-30;null;
2016-07-31;2.443183;
2016-08-31;2.650134;
2016-09-30;2.401944;
2016-10-31;2.425941;
2016-11-30;2.388611;
2016-12-31;2.07957;
2017-01-31;1.526344;
2017-02-28;1.851042;
2017-03-31;1.785753;
2017-04-30;2.120972;
2017-05-31;1.429435;
2017-06-30;2.043194;
2017-07-31;2.923925;
2017-08-31;2.720027;
2017-09-30;3.07195;
2017-10-31;3.175806;
2017-11-30;2.688333;
2017-12-31;2.181586;
2018-01-31;2.362903;
2018-02-28;2.396131;
2018-03-31;2.004032;
2018-04-30;2.309444;
2018-05-31;null;
2018-06-30;null;
2018-07-31;2.747581;
2018-08-31;3.052016;
2018-09-30;2.897083;
2018-10-31;2.726882;
2018-11-30;2.803333;
2018-12-31;2.340865;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;1.991111;
2019-05-31;2.277688;
2019-06-30;2.637222;
2019-07-31;2.834543;
2019-08-31;3.043414;
2019-09-30;3.131944;
2019-10-31;2.865726;
2019-11-30;2.624861;
2019-12-31;2.316801;
2020-01-31;2.12836;
2020-02-29;2.254167;
2020-03-31;2.312827;
2020-04-30;2.376528;
2020-05-31;2.380242;
2020-06-30;2.817917;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;2.976882;
2022-11-30;3.328194;
2022-12-31;2.567339;

