Nome: JOSE BONIFACIO
Codigo Estacao: A735
Latitude: -21.08555555
Longitude: -49.92027777
Altitude: 408.35
Situacao: Operante
Data Inicial: 2007-09-02
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-09-30;null;
2007-10-31;2.864516;
2007-11-30;2.823307;
2007-12-31;2.245296;
2008-01-31;2.200538;
2008-02-29;1.845172;
2008-03-31;1.993057;
2008-04-30;1.832917;
2008-05-31;1.705616;
2008-06-30;1.777983;
2008-07-31;2.057796;
2008-08-31;2.642742;
2008-09-30;3.051111;
2008-10-31;2.711559;
2008-11-30;2.805972;
2008-12-31;2.505242;
2009-01-31;2.519098;
2009-02-28;1.860687;
2009-03-31;1.624731;
2009-04-30;1.750833;
2009-05-31;1.679839;
2009-06-30;1.485972;
2009-07-31;1.786962;
2009-08-31;2.410484;
2009-09-30;2.147917;
2009-10-31;2.315086;
2009-11-30;1.663333;
2009-12-31;1.691129;
2010-01-31;1.55841;
2010-02-28;1.456696;
2010-03-31;1.493145;
2010-04-30;1.911806;
2010-05-31;1.483871;
2010-06-30;1.715972;
2010-07-31;2.326075;
2010-08-31;2.631814;
2010-09-30;null;
2010-10-31;null;
2010-11-30;2.146806;
2010-12-31;1.921505;
2011-01-31;1.598521;
2011-02-28;1.391369;
2011-03-31;1.900027;
2011-04-30;1.554306;
2011-05-31;1.680423;
2011-06-30;1.666389;
2011-07-31;2.029167;
2011-08-31;2.504704;
2011-09-30;3.146528;
2011-10-31;3.021795;
2011-11-30;2.674167;
2011-12-31;2.201613;
2012-01-31;2.191667;
2012-02-29;1.703305;
2012-03-31;1.861425;
2012-04-30;1.95;
2012-05-31;2.182661;
2012-06-30;1.748055;
2012-07-31;1.948522;
2012-08-31;2.641955;
2012-09-30;2.77625;
2012-10-31;2.650538;
2012-11-30;2.480767;
2012-12-31;1.974194;
2013-01-31;2.363441;
2013-02-28;1.788095;
2013-03-31;1.895167;
2013-04-30;1.658056;
2013-05-31;1.770296;
2013-06-30;1.715897;
2013-07-31;2.309543;
2013-08-31;2.368414;
2013-09-30;2.660833;
2013-10-31;2.68871;
2013-11-30;2.680833;
2013-12-31;2.056586;
2014-01-31;1.674731;
2014-02-28;1.856548;
2014-03-31;1.711962;
2014-04-30;1.984028;
2014-05-31;1.621774;
2014-06-30;1.953056;
2014-07-31;2.242742;
2014-08-31;2.448656;
2014-09-30;2.926494;
2014-10-31;2.95672;
2014-11-30;2.482639;
2014-12-31;2.648925;
2015-01-31;1.990638;
2015-02-28;2.065008;
2015-03-31;null;
2015-04-30;null;
2015-05-31;1.990457;
2015-06-30;2.201945;
2015-07-31;2.151478;
2015-08-31;2.293379;
2015-09-30;2.478472;
2015-10-31;2.785887;
2015-11-30;2.272361;
2015-12-31;2.231989;
2016-01-31;2.726479;
2016-02-29;1.87342;
2016-03-31;2.046237;
2016-04-30;1.858889;
2016-05-31;2.10457;
2016-06-30;1.911944;
2016-07-31;2.096909;
2016-08-31;2.520833;
2016-09-30;2.504583;
2016-10-31;2.917929;
2016-11-30;2.747917;
2016-12-31;2.383333;
2017-01-31;2.033199;
2017-02-28;null;
2017-03-31;null;
2017-04-30;2.312361;
2017-05-31;2.083871;
2017-06-30;2.183889;
2017-07-31;2.522043;
2017-08-31;2.763575;
2017-09-30;2.821389;
2017-10-31;3.012634;
2017-11-30;2.693194;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;1.847581;
2018-04-30;2.070139;
2018-05-31;1.940591;
2018-06-30;2.002917;
2018-07-31;2.011559;
2018-08-31;2.696102;
2018-09-30;2.642639;
2018-10-31;2.565995;
2018-11-30;2.746528;
2018-12-31;2.091667;
2019-01-31;1.918683;
2019-02-28;2.079167;
2019-03-31;2.016667;
2019-04-30;1.817083;
2019-05-31;null;
2019-06-30;null;
2019-07-31;2.271909;
2019-08-31;null;
2019-09-30;null;
2019-10-31;2.516262;
2019-11-30;2.52526;
2019-12-31;2.035609;
2020-01-31;1.95255;
2020-02-29;null;
2020-03-31;2.060061;
2020-04-30;1.745922;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;2.573851;
2021-12-31;null;
2022-01-31;2.258631;
2022-02-28;1.842559;
2022-03-31;1.983333;
2022-04-30;2.019722;
2022-05-31;1.870296;
2022-06-30;1.83365;
2022-07-31;2.060981;
2022-08-31;2.747003;
2022-09-30;3.107927;
2022-10-31;2.417654;
2022-11-30;2.798878;
2022-12-31;2.268364;

