Nome: IBITINGA
Codigo Estacao: A737
Latitude: -21.85555555
Longitude: -48.79972221
Altitude: 496.75
Situacao: Operante
Data Inicial: 2007-11-08
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;
2007-12-31;2.082796;
2008-01-31;2.355645;
2008-02-29;1.725144;
2008-03-31;2.167234;
2008-04-30;1.864028;
2008-05-31;1.779926;
2008-06-30;1.838472;
2008-07-31;1.744489;
2008-08-31;2.382392;
2008-09-30;2.917639;
2008-10-31;2.688844;
2008-11-30;2.581528;
2008-12-31;2.502554;
2009-01-31;2.558736;
2009-02-28;1.928801;
2009-03-31;1.878079;
2009-04-30;1.856131;
2009-05-31;1.839785;
2009-06-30;1.822222;
2009-07-31;2.143683;
2009-08-31;2.354167;
2009-09-30;2.261285;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;2.330833;
2010-05-31;1.959946;
2010-06-30;2.035556;
2010-07-31;2.268683;
2010-08-31;2.51129;
2010-09-30;2.845;
2010-10-31;2.823925;
2010-11-30;2.345278;
2010-12-31;2.340591;
2011-01-31;1.912903;
2011-02-28;1.81875;
2011-03-31;2.377199;
2011-04-30;1.816806;
2011-05-31;1.823118;
2011-06-30;1.677639;
2011-07-31;1.963575;
2011-08-31;2.283333;
2011-09-30;2.711944;
2011-10-31;2.599731;
2011-11-30;2.529583;
2011-12-31;2.213172;
2012-01-31;1.975134;
2012-02-29;1.463937;
2012-03-31;1.800806;
2012-04-30;1.830556;
2012-05-31;1.439651;
2012-06-30;1.127361;
2012-07-31;.934005;
2012-08-31;.652796;
2012-09-30;2.123194;
2012-10-31;1.726478;
2012-11-30;1.883472;
2012-12-31;1.014113;
2013-01-31;1.518683;
2013-02-28;.84881;
2013-03-31;1.10672;
2013-04-30;1.096111;
2013-05-31;.87836;
2013-06-30;1.010967;
2013-07-31;1.966667;
2013-08-31;2.061694;
2013-09-30;2.336528;
2013-10-31;2.25873;
2013-11-30;null;
2013-12-31;2.181183;
2014-01-31;1.731452;
2014-02-28;1.995685;
2014-03-31;1.934543;
2014-04-30;2.041111;
2014-05-31;1.775;
2014-06-30;1.758195;
2014-07-31;1.940188;
2014-08-31;1.789259;
2014-09-30;2.258308;
2014-10-31;2.322715;
2014-11-30;1.817222;
2014-12-31;1.655108;
2015-01-31;1.671926;
2015-02-28;1.286607;
2015-03-31;1.195161;
2015-04-30;1.552778;
2015-05-31;1.074328;
2015-06-30;1.448194;
2015-07-31;1.245564;
2015-08-31;1.562769;
2015-09-30;1.666528;
2015-10-31;2.205779;
2015-11-30;1.458333;
2015-12-31;1.273387;
2016-01-31;1.775403;
2016-02-29;1.095402;
2016-03-31;.744086;
2016-04-30;.844831;
2016-05-31;1.86586;
2016-06-30;1.507639;
2016-07-31;1.57836;
2016-08-31;2.108871;
2016-09-30;2.539861;
2016-10-31;2.703781;
2016-11-30;2.475417;
2016-12-31;2.011962;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;1.783472;
2017-05-31;1.624866;
2017-06-30;1.509028;
2017-07-31;1.706048;
2017-08-31;1.955511;
2017-09-30;1.716528;
2017-10-31;2.165054;
2017-11-30;2.010972;
2017-12-31;1.60336;
2018-01-31;1.809409;
2018-02-28;2.112798;
2018-03-31;1.487097;
2018-04-30;1.574306;
2018-05-31;.820564;
2018-06-30;1.378472;
2018-07-31;1.274866;
2018-08-31;2.189651;
2018-09-30;2.07;
2018-10-31;2.201344;
2018-11-30;2.272083;
2018-12-31;1.607392;
2019-01-31;1.075538;
2019-02-28;null;
2019-03-31;null;
2019-04-30;1.087639;
2019-05-31;1.117742;
2019-06-30;1.090694;
2019-07-31;1.360887;
2019-08-31;2.125269;
2019-09-30;2.200555;
2019-10-31;2.146774;
2019-11-30;2.127778;
2019-12-31;.892473;
2020-01-31;1.23172;
2020-02-29;.737356;
2020-03-31;1.436828;
2020-04-30;1.177639;
2020-05-31;1.145564;
2020-06-30;.985972;
2020-07-31;.959274;
2020-08-31;1.558199;
2020-09-30;1.549167;
2020-10-31;2.262366;
2020-11-30;1.734861;
2020-12-31;1.000672;
2021-01-31;.638575;
2021-02-28;.817113;
2021-03-31;.480108;
2021-04-30;.838889;
2021-05-31;.450403;
2021-06-30;.441389;
2021-07-31;.243011;
2021-08-31;1.090381;
2021-09-30;1.543648;
2021-10-31;1.70329;
2021-11-30;1.832844;
2021-12-31;1.402101;
2022-01-31;.791166;
2022-02-28;.416567;
2022-03-31;.770784;
2022-04-30;1.023693;
2022-05-31;1.447984;
2022-06-30;1.400278;
2022-07-31;1.421909;
2022-08-31;2.118548;
2022-09-30;2.342083;
2022-10-31;1.977823;
2022-11-30;2.313611;
2022-12-31;1.929704;

