Nome: CASA BRANCA
Codigo Estacao: A738
Latitude: -21.78055554
Longitude: -47.07527777
Altitude: 734.15
Situacao: Operante
Data Inicial: 2007-06-24
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;null;
2007-07-31;1.935973;
2007-08-31;2.02223;
2007-09-30;2.191944;
2007-10-31;1.883906;
2007-11-30;1.970457;
2007-12-31;1.793414;
2008-01-31;1.747177;
2008-02-29;1.572012;
2008-03-31;1.461992;
2008-04-30;1.229583;
2008-05-31;1.169115;
2008-06-30;1.343834;
2008-07-31;1.335081;
2008-08-31;1.810349;
2008-09-30;1.729583;
2008-10-31;1.781586;
2008-11-30;1.828194;
2008-12-31;1.544758;
2009-01-31;1.773387;
2009-02-28;1.557531;
2009-03-31;1.230645;
2009-04-30;1.174028;
2009-05-31;1.329973;
2009-06-30;1.116389;
2009-07-31;1.584192;
2009-08-31;1.829167;
2009-09-30;1.732083;
2009-10-31;1.635201;
2009-11-30;1.829444;
2009-12-31;1.612366;
2010-01-31;1.288806;
2010-02-28;1.376339;
2010-03-31;1.420699;
2010-04-30;1.365833;
2010-05-31;1.034005;
2010-06-30;1.197778;
2010-07-31;1.558333;
2010-08-31;1.400403;
2010-09-30;1.844861;
2010-10-31;1.389651;
2010-11-30;1.391582;
2010-12-31;1.301747;
2011-01-31;1.491263;
2011-02-28;.997826;
2011-03-31;.841068;
2011-04-30;.919861;
2011-05-31;.949866;
2011-06-30;1.002639;
2011-07-31;1.173118;
2011-08-31;1.621774;
2011-09-30;1.614722;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;1.11666;
2012-05-31;.810689;
2012-06-30;1.022542;
2012-07-31;1.008933;
2012-08-31;1.74349;
2012-09-30;1.386929;
2012-10-31;1.640054;
2012-11-30;1.268056;
2012-12-31;1.094489;
2013-01-31;1.26907;
2013-02-28;1.300155;
2013-03-31;1.362225;
2013-04-30;.998171;
2013-05-31;1.077547;
2013-06-30;1.135728;
2013-07-31;1.176964;
2013-08-31;1.595699;
2013-09-30;1.793337;
2013-10-31;1.743011;
2013-11-30;1.5825;
2013-12-31;1.292876;
2014-01-31;1.493683;
2014-02-28;null;
2014-03-31;null;
2014-04-30;1.2075;
2014-05-31;1.29207;
2014-06-30;1.419028;
2014-07-31;1.466935;
2014-08-31;1.544086;
2014-09-30;2.061944;
2014-10-31;1.925;
2014-11-30;1.320972;
2014-12-31;1.713038;
2015-01-31;1.50859;
2015-02-28;1.564583;
2015-03-31;1.2;
2015-04-30;1.221667;
2015-05-31;1.196848;
2015-06-30;1.156528;
2015-07-31;null;
2015-08-31;null;
2015-09-30;1.505;
2015-10-31;1.813978;
2015-11-30;1.465417;
2015-12-31;1.676344;
2016-01-31;1.588306;
2016-02-29;1.417098;
2016-03-31;1.423253;
2016-04-30;1.308611;
2016-05-31;1.177554;
2016-06-30;1.201389;
2016-07-31;1.479032;
2016-08-31;1.624462;
2016-09-30;1.605556;
2016-10-31;1.674194;
2016-11-30;1.617361;
2016-12-31;1.566398;
2017-01-31;1.437903;
2017-02-28;1.774702;
2017-03-31;1.057527;
2017-04-30;.988333;
2017-05-31;null;
2017-06-30;1.276511;
2017-07-31;1.855645;
2017-08-31;1.66465;
2017-09-30;2.167778;
2017-10-31;1.978226;
2017-11-30;1.945417;
2017-12-31;1.612097;
2018-01-31;1.59086;
2018-02-28;1.332716;
2018-03-31;1.406452;
2018-04-30;1.183195;
2018-05-31;1.320027;
2018-06-30;1.357222;
2018-07-31;1.375;
2018-08-31;1.581586;
2018-09-30;1.632778;
2018-10-31;1.612634;
2018-11-30;1.973333;
2018-12-31;1.66707;
2019-01-31;1.753629;
2019-02-28;1.679762;
2019-03-31;1.383602;
2019-04-30;1.250278;
2019-05-31;1.20578;
2019-06-30;1.503333;
2019-07-31;1.593011;
2019-08-31;1.764651;
2019-09-30;null;
2019-10-31;null;
2019-11-30;1.885694;
2019-12-31;1.740188;
2020-01-31;1.502554;
2020-02-29;1.713218;
2020-03-31;1.489247;
2020-04-30;1.2525;
2020-05-31;1.33414;
2020-06-30;1.236957;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;1.037548;
2021-07-31;1.084478;
2021-08-31;1.584033;
2021-09-30;1.517311;
2021-10-31;1.551756;
2021-11-30;1.342462;
2021-12-31;1.389017;
2022-01-31;1.526768;
2022-02-28;1.086555;
2022-03-31;1.271237;
2022-04-30;1.116528;
2022-05-31;1.161694;
2022-06-30;.948056;
2022-07-31;1.326747;
2022-08-31;1.548521;
2022-09-30;1.586806;
2022-10-31;1.586559;
2022-11-30;1.512222;
2022-12-31;1.585081;

