Nome: ITAPIRA
Codigo Estacao: A739
Latitude: -22.415
Longitude: -46.80527777
Altitude: 634.89
Situacao: Operante
Data Inicial: 2007-11-04
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;1.215316;
2008-03-31;1.093934;
2008-04-30;1.065972;
2008-05-31;1.041702;
2008-06-30;1.157198;
2008-07-31;1.177285;
2008-08-31;1.256586;
2008-09-30;1.510139;
2008-10-31;1.620565;
2008-11-30;1.667083;
2008-12-31;1.481183;
2009-01-31;1.495161;
2009-02-28;1.137545;
2009-03-31;.970699;
2009-04-30;1.048889;
2009-05-31;1.147849;
2009-06-30;1.075278;
2009-07-31;1.236279;
2009-08-31;1.444355;
2009-09-30;1.346944;
2009-10-31;null;
2009-11-30;null;
2009-12-31;1.420161;
2010-01-31;1.255;
2010-02-28;1.365179;
2010-03-31;1.224762;
2010-04-30;1.332639;
2010-05-31;1.200134;
2010-06-30;1.310139;
2010-07-31;1.489785;
2010-08-31;1.339173;
2010-09-30;1.604167;
2010-10-31;1.596102;
2010-11-30;1.634167;
2010-12-31;1.521371;
2011-01-31;1.266532;
2011-02-28;1.088244;
2011-03-31;1.060468;
2011-04-30;.867083;
2011-05-31;.837634;
2011-06-30;.986944;
2011-07-31;.99422;
2011-08-31;1.196774;
2011-09-30;1.555;
2011-10-31;1.735484;
2011-11-30;1.504861;
2011-12-31;1.156855;
2012-01-31;.900672;
2012-02-29;.816092;
2012-03-31;.741532;
2012-04-30;.692083;
2012-05-31;.652688;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;1.101528;
2012-10-31;1.210753;
2012-11-30;1.078472;
2012-12-31;.852419;
2013-01-31;.959543;
2013-02-28;.837649;
2013-03-31;.857833;
2013-04-30;.659583;
2013-05-31;.62621;
2013-06-30;.591389;
2013-07-31;.731229;
2013-08-31;1.115188;
2013-09-30;1.090833;
2013-10-31;1.506452;
2013-11-30;1.320833;
2013-12-31;1.118683;
2014-01-31;.921371;
2014-02-28;.886012;
2014-03-31;1.036694;
2014-04-30;.870972;
2014-05-31;1.120699;
2014-06-30;1.019167;
2014-07-31;.867608;
2014-08-31;1.127016;
2014-09-30;1.433333;
2014-10-31;1.563979;
2014-11-30;1.378472;
2014-12-31;1.194489;
2015-01-31;1.060531;
2015-02-28;.859226;
2015-03-31;.637231;
2015-04-30;.596389;
2015-05-31;.695699;
2015-06-30;.819861;
2015-07-31;.737072;
2015-08-31;null;
2015-09-30;1.186111;
2015-10-31;1.329167;
2015-11-30;1.035833;
2015-12-31;.998118;
2016-01-31;1.165323;
2016-02-29;.849713;
2016-03-31;.75578;
2016-04-30;.709583;
2016-05-31;.774193;
2016-06-30;.677778;
2016-07-31;.818414;
2016-08-31;1.016398;
2016-09-30;.942083;
2016-10-31;1.278536;
2016-11-30;1.254583;
2016-12-31;1.122177;
2017-01-31;.91828;
2017-02-28;1.179762;
2017-03-31;.991129;
2017-04-30;1.036667;
2017-05-31;.610215;
2017-06-30;.742083;
2017-07-31;1.057124;
2017-08-31;1.044489;
2017-09-30;1.359583;
2017-10-31;1.24422;
2017-11-30;1.188889;
2017-12-31;.917473;
2018-01-31;.842608;
2018-02-28;.875893;
2018-03-31;.697715;
2018-04-30;.640972;
2018-05-31;.62043;
2018-06-30;.671528;
2018-07-31;.76371;
2018-08-31;.819489;
2018-09-30;.956944;
2018-10-31;1.159677;
2018-11-30;1.110278;
2018-12-31;.887366;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;.519306;
2019-05-31;.498522;
2019-06-30;.610833;
2019-07-31;.738844;
2019-08-31;.996505;
2019-09-30;1.052222;
2019-10-31;1.038978;
2019-11-30;1.087222;
2019-12-31;.686022;
2020-01-31;.582124;
2020-02-29;.430316;
2020-03-31;.560349;
2020-04-30;.431944;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;.935694;
2022-05-31;.882392;
2022-06-30;.782083;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

