Nome: SAO LUIZ DO PARAITINGA
Codigo Estacao: A740
Latitude: -23.22833332
Longitude: -45.41694443
Altitude: 862.3
Situacao: Operante
Data Inicial: 2007-10-31
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-10-31;null;
2007-11-30;null;
2007-12-31;1.772581;
2008-01-31;1.956048;
2008-02-29;1.679224;
2008-03-31;1.626151;
2008-04-30;1.314698;
2008-05-31;1.390212;
2008-06-30;1.40585;
2008-07-31;1.313844;
2008-08-31;1.546909;
2008-09-30;1.841443;
2008-10-31;1.885484;
2008-11-30;2.043889;
2008-12-31;1.644542;
2009-01-31;1.742957;
2009-02-28;1.609731;
2009-03-31;1.504435;
2009-04-30;1.307639;
2009-05-31;1.22621;
2009-06-30;1.246667;
2009-07-31;1.38099;
2009-08-31;1.54422;
2009-09-30;1.86625;
2009-10-31;1.679741;
2009-11-30;1.741945;
2009-12-31;1.667204;
2010-01-31;1.403418;
2010-02-28;1.329911;
2010-03-31;1.379704;
2010-04-30;1.092778;
2010-05-31;.986087;
2010-06-30;1.020809;
2010-07-31;1.229167;
2010-08-31;1.193268;
2010-09-30;1.586932;
2010-10-31;1.662231;
2010-11-30;1.663321;
2010-12-31;1.443548;
2011-01-31;1.285484;
2011-02-28;1.285022;
2011-03-31;1.44664;
2011-04-30;1.156111;
2011-05-31;.930242;
2011-06-30;.946667;
2011-07-31;.903629;
2011-08-31;1.433333;
2011-09-30;1.561944;
2011-10-31;1.744086;
2011-11-30;1.533194;
2011-12-31;1.486694;
2012-01-31;1.311775;
2012-02-29;1.257615;
2012-03-31;1.271237;
2012-04-30;1.048569;
2012-05-31;.993145;
2012-06-30;.932778;
2012-07-31;1.080879;
2012-08-31;1.0261;
2012-09-30;1.616806;
2012-10-31;1.688687;
2012-11-30;null;
2012-12-31;null;
2013-01-31;1.710081;
2013-02-28;1.555655;
2013-03-31;1.607417;
2013-04-30;1.196944;
2013-05-31;1.172984;
2013-06-30;1.211818;
2013-07-31;1.343952;
2013-08-31;1.475941;
2013-09-30;1.612222;
2013-10-31;1.713306;
2013-11-30;1.567778;
2013-12-31;1.733737;
2014-01-31;1.50377;
2014-02-28;1.479762;
2014-03-31;1.461425;
2014-04-30;1.221806;
2014-05-31;1.116129;
2014-06-30;.976528;
2014-07-31;1.21371;
2014-08-31;1.192204;
2014-09-30;1.501528;
2014-10-31;1.784812;
2014-11-30;1.626944;
2014-12-31;1.428495;
2015-01-31;1.35516;
2015-02-28;1.345671;
2015-03-31;1.182527;
2015-04-30;1.150278;
2015-05-31;.991532;
2015-06-30;1.143611;
2015-07-31;.904167;
2015-08-31;1.063441;
2015-09-30;1.383194;
2015-10-31;1.519355;
2015-11-30;1.394306;
2015-12-31;1.40793;
2016-01-31;1.542204;
2016-02-29;1.250718;
2016-03-31;1.202285;
2016-04-30;.973472;
2016-05-31;.962231;
2016-06-30;.865972;
2016-07-31;.944892;
2016-08-31;1.084005;
2016-09-30;1.432222;
2016-10-31;1.877285;
2016-11-30;1.672778;
2016-12-31;1.834677;
2017-01-31;1.373253;
2017-02-28;1.560714;
2017-03-31;1.558333;
2017-04-30;1.367778;
2017-05-31;1.138306;
2017-06-30;1.287222;
2017-07-31;1.139516;
2017-08-31;1.447715;
2017-09-30;1.436944;
2017-10-31;1.876478;
2017-11-30;1.928056;
2017-12-31;1.790457;
2018-01-31;1.621371;
2018-02-28;1.54122;
2018-03-31;1.332527;
2018-04-30;1.305278;
2018-05-31;1.359409;
2018-06-30;1.17125;
2018-07-31;1.178091;
2018-08-31;1.387903;
2018-09-30;1.691528;
2018-10-31;1.566398;
2018-11-30;2.010833;
2018-12-31;1.627823;
2019-01-31;1.586828;
2019-02-28;1.493899;
2019-03-31;1.468683;
2019-04-30;1.163889;
2019-05-31;1.111425;
2019-06-30;1.014583;
2019-07-31;1.141398;
2019-08-31;1.333737;
2019-09-30;1.577361;
2019-10-31;1.639247;
2019-11-30;1.85625;
2019-12-31;1.623656;
2020-01-31;1.572581;
2020-02-29;1.522701;
2020-03-31;1.377151;
2020-04-30;1.164722;
2020-05-31;1.199328;
2020-06-30;1.174583;
2020-07-31;1.301075;
2020-08-31;1.367339;
2020-09-30;1.55125;
2020-10-31;1.747715;
2020-11-30;1.604028;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;1.489651;
2022-04-30;.306944;
2022-05-31;.318145;
2022-06-30;.126667;
2022-07-31;.304308;
2022-08-31;1.684714;
2022-09-30;1.787633;
2022-10-31;1.687905;
2022-11-30;1.653293;
2022-12-31;1.647153;

