Nome: BARRA BONITA
Codigo Estacao: A741
Latitude: -22.4711111
Longitude: -48.5575
Altitude: 533.68
Situacao: Operante
Data Inicial: 2008-04-23
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;
2008-05-31;2.254956;
2008-06-30;2.231682;
2008-07-31;2.119624;
2008-08-31;2.79664;
2008-09-30;3.579861;
2008-10-31;null;
2008-11-30;3.614;
2008-12-31;3.244086;
2009-01-31;2.893548;
2009-02-28;2.171772;
2009-03-31;2.293817;
2009-04-30;2.672361;
2009-05-31;2.343683;
2009-06-30;2.283194;
2009-07-31;2.360215;
2009-08-31;2.826075;
2009-09-30;2.731806;
2009-10-31;3.433046;
2009-11-30;2.562083;
2009-12-31;2.911962;
2010-01-31;2.183248;
2010-02-28;2.21131;
2010-03-31;2.599334;
2010-04-30;2.853194;
2010-05-31;2.534005;
2010-06-30;2.524306;
2010-07-31;2.820833;
2010-08-31;3.177227;
2010-09-30;3.133472;
2010-10-31;3.54328;
2010-11-30;2.825972;
2010-12-31;2.884543;
2011-01-31;2.109408;
2011-02-28;1.900744;
2011-03-31;3.049904;
2011-04-30;2.147222;
2011-05-31;2.628091;
2011-06-30;2.163333;
2011-07-31;2.21371;
2011-08-31;3.062634;
2011-09-30;3.714167;
2011-10-31;3.135724;
2011-11-30;3.287778;
2011-12-31;2.651478;
2012-01-31;2.14879;
2012-02-29;1.556152;
2012-03-31;2.228532;
2012-04-30;2.22;
2012-05-31;2.372849;
2012-06-30;1.904354;
2012-07-31;2.015188;
2012-08-31;2.703814;
2012-09-30;3.101389;
2012-10-31;2.910683;
2012-11-30;3.466896;
2012-12-31;2.185472;
2013-01-31;3.059005;
2013-02-28;1.984291;
2013-03-31;2.596889;
2013-04-30;2.39067;
2013-05-31;2.007381;
2013-06-30;1.959326;
2013-07-31;2.305902;
2013-08-31;2.493414;
2013-09-30;2.769444;
2013-10-31;3.242935;
2013-11-30;3.362669;
2013-12-31;2.991532;
2014-01-31;1.876479;
2014-02-28;2.012649;
2014-03-31;2.157451;
2014-04-30;2.580139;
2014-05-31;2.107124;
2014-06-30;2.0375;
2014-07-31;2.363172;
2014-08-31;2.583737;
2014-09-30;2.869583;
2014-10-31;3.369355;
2014-11-30;3.054306;
2014-12-31;2.539651;
2015-01-31;2.160215;
2015-02-28;1.850595;
2015-03-31;1.930511;
2015-04-30;2.697639;
2015-05-31;null;
2015-06-30;2.240833;
2015-07-31;1.877419;
2015-08-31;2.16371;
2015-09-30;2.463141;
2015-10-31;3.099328;
2015-11-30;2.35433;
2015-12-31;2.068952;
2016-01-31;2.991935;
2016-02-29;1.756178;
2016-03-31;2.27621;
2016-04-30;1.745278;
2016-05-31;2.332661;
2016-06-30;2.016528;
2016-07-31;1.986559;
2016-08-31;2.566532;
2016-09-30;3.055139;
2016-10-31;3.137775;
2016-11-30;2.551806;
2016-12-31;1.760081;
2017-01-31;1.186693;
2017-02-28;1.152679;
2017-03-31;2.500941;
2017-04-30;2.379306;
2017-05-31;1.319758;
2017-06-30;.910972;
2017-07-31;1.197429;
2017-08-31;1.897581;
2017-09-30;.596806;
2017-10-31;0;
2017-11-30;0;
2017-12-31;0;
2018-01-31;0;
2018-02-28;0;
2018-03-31;0;
2018-04-30;0;
2018-05-31;0;
2018-06-30;0;
2018-07-31;0;
2018-08-31;null;
2018-09-30;1.659201;
2018-10-31;3.144758;
2018-11-30;3.378056;
2018-12-31;2.3;
2019-01-31;1.971774;
2019-02-28;2.154911;
2019-03-31;2.340188;
2019-04-30;1.834167;
2019-05-31;1.491263;
2019-06-30;1.025851;
2019-07-31;.968952;
2019-08-31;2.986021;
2019-09-30;3.018611;
2019-10-31;2.433602;
2019-11-30;2.643056;
2019-12-31;2.489785;
2020-01-31;1.562366;
2020-02-29;1.525862;
2020-03-31;2.232796;
2020-04-30;2.692083;
2020-05-31;1.64493;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;1.938979;
2022-06-30;2.015;
2022-07-31;1.880447;
2022-08-31;2.925269;
2022-09-30;3.285694;
2022-10-31;2.553981;
2022-11-30;null;
2022-12-31;null;

