Nome: CASSILANDIA
Codigo Estacao: A742
Latitude: -19.12249999
Longitude: -51.72083332
Altitude: 494.72
Situacao: Pane
Data Inicial: 2008-03-07
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;
2008-04-30;1.066188;
2008-05-31;.910339;
2008-06-30;1.092248;
2008-07-31;1.119679;
2008-08-31;1.414886;
2008-09-30;1.438238;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;1.119052;
2009-05-31;1.292731;
2009-06-30;null;
2009-07-31;1.259338;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;.004722;
2010-08-31;0;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;0;
2011-05-31;0;
2011-06-30;0;
2011-07-31;0;
2011-08-31;0;
2011-09-30;.308333;
2011-10-31;1.745161;
2011-11-30;1.543056;
2011-12-31;1.423118;
2012-01-31;1.525134;
2012-02-29;1.504598;
2012-03-31;1.285618;
2012-04-30;1.12125;
2012-05-31;1.00994;
2012-06-30;1.201806;
2012-07-31;1.145161;
2012-08-31;1.360887;
2012-09-30;1.47;
2012-10-31;1.575538;
2012-11-30;1.495417;
2012-12-31;1.422177;
2013-01-31;1.45793;
2013-02-28;1.343304;
2013-03-31;1.245583;
2013-04-30;.940972;
2013-05-31;.92379;
2013-06-30;.835657;
2013-07-31;.885081;
2013-08-31;1.022581;
2013-09-30;1.367639;
2013-10-31;1.312231;
2013-11-30;1.213611;
2013-12-31;1.200806;
2014-01-31;1.120699;
2014-02-28;1.315476;
2014-03-31;.978226;
2014-04-30;.833333;
2014-05-31;.587231;
2014-06-30;.683611;
2014-07-31;.75914;
2014-08-31;1.092204;
2014-09-30;1.37;
2014-10-31;1.465457;
2014-11-30;1.0575;
2014-12-31;1.133064;
2015-01-31;1.195027;
2015-02-28;1.287202;
2015-03-31;.954436;
2015-04-30;.835187;
2015-05-31;.819892;
2015-06-30;1.015417;
2015-07-31;.908871;
2015-08-31;1.224462;
2015-09-30;1.306806;
2015-10-31;1.354973;
2015-11-30;1.094444;
2015-12-31;1.049462;
2016-01-31;1.165726;
2016-02-29;1.011638;
2016-03-31;1.040457;
2016-04-30;.492917;
2016-05-31;.236425;
2016-06-30;.044583;
2016-07-31;.326747;
2016-08-31;.473195;
2016-09-30;1.40878;
2016-10-31;null;
2016-11-30;1.715694;
2016-12-31;1.904301;
2017-01-31;1.586156;
2017-02-28;1.651786;
2017-03-31;1.343373;
2017-04-30;1.120593;
2017-05-31;1.212011;
2017-06-30;1.342738;
2017-07-31;1.679128;
2017-08-31;1.534179;
2017-09-30;1.544971;
2017-10-31;1.624569;
2017-11-30;1.519831;
2017-12-31;1.639779;
2018-01-31;1.543046;
2018-02-28;1.521726;
2018-03-31;1.497446;
2018-04-30;1.282942;
2018-05-31;1.404659;
2018-06-30;null;
2018-07-31;.229208;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;1.721944;
2018-12-31;1.524328;
2019-01-31;1.619758;
2019-02-28;1.527362;
2019-03-31;1.260753;
2019-04-30;1.063611;
2019-05-31;1.200403;
2019-06-30;1.439583;
2019-07-31;1.43629;
2019-08-31;1.63629;
2019-09-30;1.721691;
2019-10-31;1.702129;
2019-11-30;1.696875;
2019-12-31;1.556183;
2020-01-31;1.535553;
2020-02-29;1.453779;
2020-03-31;1.404783;
2020-04-30;1.269444;
2020-05-31;1.328226;
2020-06-30;1.473333;
2020-07-31;1.513038;
2020-08-31;1.670565;
2020-09-30;null;
2020-10-31;1.780208;
2020-11-30;null;
2020-12-31;1.294142;
2021-01-31;1.149611;
2021-02-28;.991518;
2021-03-31;1.023767;
2021-04-30;.819946;
2021-05-31;.778226;
2021-06-30;.825139;
2021-07-31;1.001613;
2021-08-31;1.063441;
2021-09-30;1.238181;
2021-10-31;.885121;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;1.632108;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

