Nome: BRAGANCA PAULISTA
Codigo Estacao: A744
Latitude: -22.95194444
Longitude: -46.53055554
Altitude: 891
Situacao: Operante
Data Inicial: 2017-12-19
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-12-31;null;
2018-01-31;1.801537;
2018-02-28;2.098958;
2018-03-31;1.380168;
2018-04-30;1.574167;
2018-05-31;1.608699;
2018-06-30;1.374977;
2018-07-31;1.235215;
2018-08-31;2.070564;
2018-09-30;2.086793;
2018-10-31;2.223118;
2018-11-30;2.106876;
2018-12-31;1.654926;
2019-01-31;1.365726;
2019-02-28;1.637513;
2019-03-31;1.542608;
2019-04-30;1.41;
2019-05-31;null;
2019-06-30;1.204861;
2019-07-31;1.379032;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;2.143895;
2019-12-31;1.788178;
2020-01-31;1.81586;
2020-02-29;1.766211;
2020-03-31;1.903056;
2020-04-30;1.929306;
2020-05-31;1.693683;
2020-06-30;1.383194;
2020-07-31;1.699059;
2020-08-31;1.82379;
2020-09-30;1.925447;
2020-10-31;2.029278;
2020-11-30;2.154722;
2020-12-31;1.741667;
2021-01-31;1.525134;
2021-02-28;1.667262;
2021-03-31;1.302285;
2021-04-30;1.928611;
2021-05-31;1.542608;
2021-06-30;1.373611;
2021-07-31;1.700269;
2021-08-31;1.863306;
2021-09-30;2.054028;
2021-10-31;2.275269;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;1.456007;
2022-04-30;1.909444;
2022-05-31;1.847446;
2022-06-30;1.481498;
2022-07-31;1.533748;
2022-08-31;2.182431;
2022-09-30;2.409511;
2022-10-31;1.937319;
2022-11-30;2.218751;
2022-12-31;1.625929;

