Nome: JUTI
Codigo Estacao: A749
Latitude: -22.85722222
Longitude: -54.60555555
Altitude: 375.18
Situacao: Pane
Data Inicial: 2008-06-15
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;null;
2008-07-31;1.893011;
2008-08-31;1.945565;
2008-09-30;2.024861;
2008-10-31;1.920968;
2008-11-30;.606667;
2008-12-31;.022177;
2009-01-31;0;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;.505139;
2009-11-30;2.186111;
2009-12-31;1.661828;
2010-01-31;1.755792;
2010-02-28;1.940476;
2010-03-31;1.635887;
2010-04-30;1.607361;
2010-05-31;1.634543;
2010-06-30;1.769861;
2010-07-31;2.193817;
2010-08-31;2.0582;
2010-09-30;2.130833;
2010-10-31;1.886559;
2010-11-30;1.795556;
2010-12-31;1.823253;
2011-01-31;1.310887;
2011-02-28;1.49375;
2011-03-31;1.797615;
2011-04-30;1.402361;
2011-05-31;1.275941;
2011-06-30;1.790833;
2011-07-31;1.848253;
2011-08-31;2.300134;
2011-09-30;1.929306;
2011-10-31;2.076478;
2011-11-30;2.014583;
2011-12-31;1.538979;
2012-01-31;1.598253;
2012-02-29;1.195115;
2012-03-31;.936156;
2012-04-30;.907361;
2012-05-31;1.064247;
2012-06-30;1.195139;
2012-07-31;1.192742;
2012-08-31;2.190783;
2012-09-30;1.591389;
2012-10-31;1.746102;
2012-11-30;1.344306;
2012-12-31;1.66828;
2013-01-31;1.352823;
2013-02-28;1.506845;
2013-03-31;1.162903;
2013-04-30;1.07625;
2013-05-31;1.240054;
2013-06-30;1.015556;
2013-07-31;1.463575;
2013-08-31;1.939247;
2013-09-30;2.067639;
2013-10-31;1.58535;
2013-11-30;1.814306;
2013-12-31;1.380645;
2014-01-31;1.386425;
2014-02-28;1.486012;
2014-03-31;1.176478;
2014-04-30;1.277639;
2014-05-31;1.010081;
2014-06-30;1.363472;
2014-07-31;1.33172;
2014-08-31;.854973;
2014-09-30;.949306;
2014-10-31;.826075;
2014-11-30;.359306;
2014-12-31;.507661;
2015-01-31;.491263;
2015-02-28;.401339;
2015-03-31;.631054;
2015-04-30;.390858;
2015-05-31;.29543;
2015-06-30;.281667;
2015-07-31;.718683;
2015-08-31;1.080108;
2015-09-30;.934818;
2015-10-31;1.866166;
2015-11-30;1.669028;
2015-12-31;1.850403;
2016-01-31;1.567473;
2016-02-29;1.537356;
2016-03-31;1.361694;
2016-04-30;1.656389;
2016-05-31;1.301478;
2016-06-30;1.26125;
2016-07-31;1.883468;
2016-08-31;1.932527;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;1.916129;
2017-01-31;1.675672;
2017-02-28;1.575893;
2017-03-31;1.342876;
2017-04-30;1.465556;
2017-05-31;1.357393;
2017-06-30;1.762778;
2017-07-31;1.681586;
2017-08-31;2.029704;
2017-09-30;1.577778;
2017-10-31;1.793011;
2017-11-30;1.349306;
2017-12-31;1.117742;
2018-01-31;1.365054;
2018-02-28;1.260119;
2018-03-31;1.017473;
2018-04-30;1.270417;
2018-05-31;1.53172;
2018-06-30;1.131111;
2018-07-31;1.357258;
2018-08-31;1.719624;
2018-09-30;1.664444;
2018-10-31;1.89207;
2018-11-30;2.159583;
2018-12-31;1.56586;
2019-01-31;1.647043;
2019-02-28;1.364583;
2019-03-31;1.394758;
2019-04-30;1.144583;
2019-05-31;1.666263;
2019-06-30;1.885972;
2019-07-31;1.753763;
2019-08-31;2.170564;
2019-09-30;2.046806;
2019-10-31;1.963844;
2019-11-30;2.051528;
2019-12-31;1.512366;
2020-01-31;1.559409;
2020-02-29;1.495115;
2020-03-31;1.640188;
2020-04-30;1.395555;
2020-05-31;1.541801;
2020-06-30;2.038472;
2020-07-31;1.882392;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

