Nome: SIDROLANDIA
Codigo Estacao: A754
Latitude: -20.98166666
Longitude: -54.97194443
Altitude: 471.43
Situacao: Operante
Data Inicial: 2008-09-28
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;
2008-10-31;2.370773;
2008-11-30;2.043675;
2008-12-31;2.007766;
2009-01-31;2.152823;
2009-02-28;1.916017;
2009-03-31;1.647849;
2009-04-30;1.677778;
2009-05-31;1.957393;
2009-06-30;2.097639;
2009-07-31;2.245699;
2009-08-31;2.500672;
2009-09-30;2.805972;
2009-10-31;2.282902;
2009-11-30;2.624583;
2009-12-31;2.115457;
2010-01-31;2.174817;
2010-02-28;2.196131;
2010-03-31;1.964785;
2010-04-30;1.970139;
2010-05-31;1.973253;
2010-06-30;2.047778;
2010-07-31;2.527554;
2010-08-31;2.55457;
2010-09-30;2.692083;
2010-10-31;2.45;
2010-11-30;2.330417;
2010-12-31;2.238038;
2011-01-31;1.849462;
2011-02-28;1.954574;
2011-03-31;1.895704;
2011-04-30;1.800278;
2011-05-31;1.847984;
2011-06-30;2.174167;
2011-07-31;2.325941;
2011-08-31;2.818145;
2011-09-30;2.682361;
2011-10-31;2.582527;
2011-11-30;2.350417;
2011-12-31;2.089516;
2012-01-31;2.174328;
2012-02-29;1.908908;
2012-03-31;1.836425;
2012-04-30;1.969306;
2012-05-31;2.011156;
2012-06-30;2.315694;
2012-07-31;2.17836;
2012-08-31;2.864823;
2012-09-30;2.744028;
2012-10-31;2.460349;
2012-11-30;2.07785;
2012-12-31;2.459005;
2013-01-31;2.165995;
2013-02-28;2.266667;
2013-03-31;2.160349;
2013-04-30;1.971944;
2013-05-31;2.249328;
2013-06-30;1.760417;
2013-07-31;2.406048;
2013-08-31;2.66586;
2013-09-30;2.734861;
2013-10-31;2.35211;
2013-11-30;2.163454;
2013-12-31;1.937598;
2014-01-31;2.036793;
2014-02-28;2.138691;
2014-03-31;1.98172;
2014-04-30;2.127083;
2014-05-31;2.189919;
2014-06-30;2.395833;
2014-07-31;2.265457;
2014-08-31;2.312097;
2014-09-30;2.539444;
2014-10-31;2.366532;
2014-11-30;2.086389;
2014-12-31;2.169489;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;2.327016;
2016-08-31;2.379436;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;2.215629;
2017-01-31;1.813949;
2017-02-28;1.821085;
2017-03-31;1.894513;
2017-04-30;2.136111;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;2.42391;
2017-11-30;2.15059;
2017-12-31;1.76669;
2018-01-31;1.964686;
2018-02-28;1.945238;
2018-03-31;1.727957;
2018-04-30;1.704583;
2018-05-31;1.818601;
2018-06-30;2.060876;
2018-07-31;1.932503;
2018-08-31;2.311009;
2018-09-30;2.027816;
2018-10-31;2.123697;
2018-11-30;2.079614;
2018-12-31;1.865281;
2019-01-31;1.806387;
2019-02-28;1.85119;
2019-03-31;1.717677;
2019-04-30;1.548889;
2019-05-31;null;
2019-06-30;2.034052;
2019-07-31;2.124731;
2019-08-31;2.544624;
2019-09-30;2.435632;
2019-10-31;2.105014;
2019-11-30;1.829583;
2019-12-31;1.651309;
2020-01-31;1.690971;
2020-02-29;1.682184;
2020-03-31;1.714516;
2020-04-30;1.86;
2020-05-31;1.781048;
2020-06-30;1.96;
2020-07-31;2.06707;
2020-08-31;2.416129;
2020-09-30;1.836667;
2020-10-31;1.955242;
2020-11-30;1.9;
2020-12-31;1.946394;
2021-01-31;1.737083;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;2.177083;
2021-11-30;null;
2021-12-31;null;
2022-01-31;1.640208;
2022-02-28;null;
2022-03-31;1.708376;
2022-04-30;1.901605;
2022-05-31;1.785905;
2022-06-30;2.061727;
2022-07-31;2.445348;
2022-08-31;2.501405;
2022-09-30;null;
2022-10-31;2.316052;
2022-11-30;2.686389;
2022-12-31;1.903495;

