Nome: BARUERI
Codigo Estacao: A755
Latitude: -23.52388888
Longitude: -46.86944443
Altitude: 776.5
Situacao: Operante
Data Inicial: 2011-03-28
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-03-31;null;
2011-04-30;1.713056;
2011-05-31;1.811156;
2011-06-30;1.635972;
2011-07-31;1.529167;
2011-08-31;2.002822;
2011-09-30;2.239583;
2011-10-31;2.15;
2011-11-30;2.179167;
2011-12-31;1.994355;
2012-01-31;1.830107;
2012-02-29;1.63478;
2012-03-31;1.773667;
2012-04-30;1.747639;
2012-05-31;1.733333;
2012-06-30;1.563641;
2012-07-31;1.668683;
2012-08-31;1.773425;
2012-09-30;2.138333;
2012-10-31;1.977016;
2012-11-30;2.122083;
2012-12-31;1.812903;
2013-01-31;1.910349;
2013-02-28;1.743155;
2013-03-31;1.98475;
2013-04-30;1.757361;
2013-05-31;1.64207;
2013-06-30;1.488611;
2013-07-31;1.758561;
2013-08-31;1.885349;
2013-09-30;1.918472;
2013-10-31;2.069489;
2013-11-30;2.065139;
2013-12-31;2.20457;
2014-01-31;1.814113;
2014-02-28;1.819048;
2014-03-31;1.820968;
2014-04-30;1.849861;
2014-05-31;1.674462;
2014-06-30;1.612083;
2014-07-31;1.773118;
2014-08-31;1.82379;
2014-09-30;2.038472;
2014-10-31;2.237097;
2014-11-30;2.013056;
2014-12-31;1.934005;
2015-01-31;1.867695;
2015-02-28;1.76994;
2015-03-31;1.570833;
2015-04-30;1.915694;
2015-05-31;1.651747;
2015-06-30;1.660833;
2015-07-31;1.521102;
2015-08-31;1.55215;
2015-09-30;1.798889;
2015-10-31;2.030108;
2015-11-30;1.759583;
2015-12-31;1.849194;
2016-01-31;1.981183;
2016-02-29;1.678736;
2016-03-31;1.704973;
2016-04-30;1.545278;
2016-05-31;null;
2016-06-30;null;
2016-07-31;1.629839;
2016-08-31;1.722043;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;1.725202;
2018-11-30;1.794028;
2018-12-31;1.536828;
2019-01-31;1.310484;
2019-02-28;1.306548;
2019-03-31;1.392204;
2019-04-30;1.186944;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;1.694861;
2019-09-30;1.5675;
2019-10-31;1.575269;
2019-11-30;1.55625;
2019-12-31;1.420027;
2020-01-31;1.24543;
2020-02-29;.980603;
2020-03-31;1.520968;
2020-04-30;1.320833;
2020-05-31;1.482392;
2020-06-30;1.244444;
2020-07-31;1.10336;
2020-08-31;1.141935;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;0;
2021-06-30;0;
2021-07-31;.08827;
2021-08-31;.842229;
2021-09-30;1.232545;
2021-10-31;1.290176;
2021-11-30;1.129243;
2021-12-31;1.414296;
2022-01-31;1.381432;
2022-02-28;1.447768;
2022-03-31;1.398656;
2022-04-30;1.310139;
2022-05-31;1.318011;
2022-06-30;1.143889;
2022-07-31;1.173548;
2022-08-31;null;
2022-09-30;null;
2022-10-31;1.591299;
2022-11-30;1.762965;
2022-12-31;1.494063;

