Nome: AGUA CLARA
Codigo Estacao: A756
Latitude: -20.44444444
Longitude: -52.87583332
Altitude: 323.63
Situacao: Operante
Data Inicial: 2010-08-13
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-08-31;null;
2010-09-30;1.958923;
2010-10-31;1.78869;
2010-11-30;1.586944;
2010-12-31;1.664919;
2011-01-31;1.556855;
2011-02-28;1.403966;
2011-03-31;1.63181;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;1.664583;
2011-12-31;1.525672;
2012-01-31;1.548925;
2012-02-29;1.393103;
2012-03-31;1.255242;
2012-04-30;1.290972;
2012-05-31;1.188575;
2012-06-30;1.190833;
2012-07-31;1.076075;
2012-08-31;1.878111;
2012-09-30;1.587917;
2012-10-31;1.460618;
2012-11-30;1.500556;
2012-12-31;1.567742;
2013-01-31;1.497043;
2013-02-28;1.515625;
2013-03-31;1.324806;
2013-04-30;1.158611;
2013-05-31;1.110887;
2013-06-30;1.016843;
2013-07-31;1.256498;
2013-08-31;1.598656;
2013-09-30;1.720694;
2013-10-31;1.439651;
2013-11-30;1.541944;
2013-12-31;1.403898;
2014-01-31;1.401344;
2014-02-28;1.541369;
2014-03-31;1.299731;
2014-04-30;1.235833;
2014-05-31;1.119489;
2014-06-30;1.175;
2014-07-31;1.218952;
2014-08-31;1.214113;
2014-09-30;1.534167;
2014-10-31;1.459274;
2014-11-30;1.318889;
2014-12-31;1.499731;
2015-01-31;1.383211;
2015-02-28;1.333185;
2015-03-31;1.150134;
2015-04-30;1.052361;
2015-05-31;1.108737;
2015-06-30;1.105417;
2015-07-31;1.328495;
2015-08-31;1.297581;
2015-09-30;1.141806;
2015-10-31;1.259946;
2015-11-30;1.265;
2015-12-31;1.357392;
2016-01-31;1.398118;
2016-02-29;1.248994;
2016-03-31;1.131317;
2016-04-30;1.056667;
2016-05-31;1.06586;
2016-06-30;.929722;
2016-07-31;1.002016;
2016-08-31;1.179301;
2016-09-30;1.114167;
2016-10-31;1.435671;
2016-11-30;1.475556;
2016-12-31;1.420699;
2017-01-31;1.125269;
2017-02-28;1.228423;
2017-03-31;1.1125;
2017-04-30;1.170556;
2017-05-31;.949597;
2017-06-30;1.211153;
2017-07-31;1.429695;
2017-08-31;1.210157;
2017-09-30;1.323849;
2017-10-31;1.534041;
2017-11-30;1.36;
2017-12-31;1.284812;
2018-01-31;null;
2018-02-28;null;
2018-03-31;1.209005;
2018-04-30;1.054028;
2018-05-31;1.104301;
2018-06-30;.8925;
2018-07-31;.878898;
2018-08-31;1.124597;
2018-09-30;1.215278;
2018-10-31;1.186156;
2018-11-30;1.432778;
2018-12-31;1.206855;
2019-01-31;1.180779;
2019-02-28;1.106845;
2019-03-31;1.089651;
2019-04-30;.811528;
2019-05-31;1.019758;
2019-06-30;1.018333;
2019-07-31;1.047715;
2019-08-31;1.473557;
2019-09-30;1.607778;
2019-10-31;1.430376;
2019-11-30;1.497361;
2019-12-31;1.246237;
2020-01-31;1.299597;
2020-02-29;1.150718;
2020-03-31;1.088844;
2020-04-30;.989583;
2020-05-31;.853629;
2020-06-30;1.139722;
2020-07-31;1.191263;
2020-08-31;1.484409;
2020-09-30;1.397639;
2020-10-31;1.544355;
2020-11-30;1.470139;
2020-12-31;1.553091;
2021-01-31;1.309274;
2021-02-28;1.269345;
2021-03-31;1.153629;
2021-04-30;1.167917;
2021-05-31;1.01129;
2021-06-30;1.14875;
2021-07-31;1.067204;
2021-08-31;1.338575;
2021-09-30;1.327917;
2021-10-31;1.51371;
2021-11-30;1.461528;
2021-12-31;1.29328;
2022-01-31;1.357661;
2022-02-28;1.064732;
2022-03-31;1.131452;
2022-04-30;1.021944;
2022-05-31;1.14879;
2022-06-30;.970556;
2022-07-31;1.10121;
2022-08-31;1.436559;
2022-09-30;1.569722;
2022-10-31;1.394489;
2022-11-30;1.511667;
2022-12-31;1.325672;

