Nome: BATAGUASSU
Codigo Estacao: A759
Latitude: -21.75
Longitude: -52.47138888
Altitude: 392.13
Situacao: Operante
Data Inicial: 2013-03-20
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2013-03-31;null;
2013-04-30;null;
2013-05-31;3.169302;
2013-06-30;3.037239;
2013-07-31;3.421371;
2013-08-31;3.952016;
2013-09-30;4.093195;
2013-10-31;3.604354;
2013-11-30;3.704698;
2013-12-31;3.041258;
2014-01-31;2.777949;
2014-02-28;3.450506;
2014-03-31;2.952563;
2014-04-30;3.172506;
2014-05-31;3.189674;
2014-06-30;3.308333;
2014-07-31;3.62836;
2014-08-31;3.728103;
2014-09-30;4.110624;
2014-10-31;3.8041;
2014-11-30;3.100132;
2014-12-31;3.204127;
2015-01-31;2.866908;
2015-02-28;2.55137;
2015-03-31;2.635525;
2015-04-30;2.906443;
2015-05-31;3.144489;
2015-06-30;3.412754;
2015-07-31;3.52;
2015-08-31;3.81707;
2015-09-30;3.295592;
2015-10-31;3.315902;
2015-11-30;2.956227;
2015-12-31;null;
2016-01-31;null;
2016-02-29;2.453264;
2016-03-31;2.863465;
2016-04-30;2.988255;
2016-05-31;3.211803;
2016-06-30;2.967065;
2016-07-31;3.234946;
2016-08-31;3.551636;
2016-09-30;3.388561;
2016-10-31;3.593628;
2016-11-30;3.26661;
2016-12-31;3.148839;
2017-01-31;2.510232;
2017-02-28;2.612749;
2017-03-31;2.544892;
2017-04-30;3.129444;
2017-05-31;3.193145;
2017-06-30;3.2925;
2017-07-31;3.905645;
2017-08-31;3.969969;
2017-09-30;3.856987;
2017-10-31;3.643062;
2017-11-30;3.279089;
2017-12-31;2.709334;
2018-01-31;2.891887;
2018-02-28;2.9375;
2018-03-31;2.408392;
2018-04-30;3.091667;
2018-05-31;3.249866;
2018-06-30;2.879167;
2018-07-31;3.168683;
2018-08-31;3.615054;
2018-09-30;3.611111;
2018-10-31;3.290434;
2018-11-30;3.606571;
2018-12-31;2.771406;
2019-01-31;2.672494;
2019-02-28;2.649471;
2019-03-31;null;
2019-04-30;null;
2019-05-31;2.791801;
2019-06-30;3.105833;
2019-07-31;3.216532;
2019-08-31;3.848387;
2019-09-30;3.546944;
2019-10-31;3.274597;
2019-11-30;3.138398;
2019-12-31;2.66946;
2020-01-31;2.696102;
2020-02-29;2.452064;
2020-03-31;2.69016;
2020-04-30;2.584583;
2020-05-31;2.640591;
2020-06-30;2.953333;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;3.821119;
2022-09-30;3.881667;
2022-10-31;3.222312;
2022-11-30;3.655894;
2022-12-31;2.856183;

