Nome: SONORA
Codigo Estacao: A761
Latitude: -17.63527777
Longitude: -54.76055555
Altitude: 495.25
Situacao: Operante
Data Inicial: 2012-11-29
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-11-30;null;
2012-12-31;3.351186;
2013-01-31;3.023451;
2013-02-28;3.0875;
2013-03-31;2.8979;
2013-04-30;3.042841;
2013-05-31;3.010618;
2013-06-30;3.045126;
2013-07-31;3.88871;
2013-08-31;4.370161;
2013-09-30;4.39375;
2013-10-31;3.643414;
2013-11-30;3.348195;
2013-12-31;3.16586;
2014-01-31;2.945296;
2014-02-28;2.853869;
2014-03-31;3.076747;
2014-04-30;3.014444;
2014-05-31;3.254167;
2014-06-30;3.420833;
2014-07-31;3.290323;
2014-08-31;3.742608;
2014-09-30;4.038472;
2014-10-31;3.526747;
2014-11-30;3.295833;
2014-12-31;3.095699;
2015-01-31;2.79328;
2015-02-28;2.921429;
2015-03-31;2.67836;
2015-04-30;2.612361;
2015-05-31;2.976075;
2015-06-30;3.1725;
2015-07-31;3.398118;
2015-08-31;4.005376;
2015-09-30;null;
2015-10-31;3.356452;
2015-11-30;3.584167;
2015-12-31;3.547178;
2016-01-31;3.456522;
2016-02-29;2.826868;
2016-03-31;2.9072;
2016-04-30;2.858279;
2016-05-31;3.22891;
2016-06-30;3.195924;
2016-07-31;3.499462;
2016-08-31;3.654704;
2016-09-30;3.758611;
2016-10-31;3.598007;
2016-11-30;3.534722;
2016-12-31;3.316398;
2017-01-31;2.917473;
2017-02-28;2.704464;
2017-03-31;2.472715;
2017-04-30;2.924722;
2017-05-31;2.718548;
2017-06-30;3.182083;
2017-07-31;3.675481;
2017-08-31;3.594292;
2017-09-30;3.391379;
2017-10-31;null;
2017-11-30;3.165139;
2017-12-31;null;
2018-01-31;2.952554;
2018-02-28;2.770536;
2018-03-31;2.517742;
2018-04-30;2.598889;
2018-05-31;2.874866;
2018-06-30;2.991389;
2018-07-31;2.942742;
2018-08-31;3.645565;
2018-09-30;3.436389;
2018-10-31;null;
2018-11-30;null;
2018-12-31;3.238441;
2019-01-31;3.13871;
2019-02-28;2.88631;
2019-03-31;2.98078;
2019-04-30;2.417083;
2019-05-31;2.844892;
2019-06-30;3.280823;
2019-07-31;3.301882;
2019-08-31;3.740323;
2019-09-30;3.46;
2019-10-31;3.907661;
2019-11-30;3.450694;
2019-12-31;2.9;
2020-01-31;2.846909;
2020-02-29;2.724425;
2020-03-31;2.790457;
2020-04-30;2.969444;
2020-05-31;3.06465;
2020-06-30;3.112083;
2020-07-31;3.487366;
2020-08-31;4.18414;
2020-09-30;3.676389;
2020-10-31;3.55793;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;2.911389;
2022-05-31;3.150672;
2022-06-30;2.948611;
2022-07-31;3.498253;
2022-08-31;4.101747;
2022-09-30;4.132222;
2022-10-31;3.729032;
2022-11-30;3.943194;
2022-12-31;3.076882;

