Nome: MARILIA
Codigo Estacao: A763
Latitude: -22.235222
Longitude: -49.965111
Altitude: 660
Situacao: Operante
Data Inicial: 2017-05-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;null;
2017-06-30;1.909306;
2017-07-31;2.248387;
2017-08-31;2.265179;
2017-09-30;2.300555;
2017-10-31;2.234005;
2017-11-30;2.086806;
2017-12-31;1.791532;
2018-01-31;1.81129;
2018-02-28;1.916369;
2018-03-31;1.636559;
2018-04-30;1.7075;
2018-05-31;1.745027;
2018-06-30;1.747778;
2018-07-31;1.796774;
2018-08-31;null;
2018-09-30;null;
2018-10-31;2.037231;
2018-11-30;2.318611;
2018-12-31;1.764919;
2019-01-31;1.682796;
2019-02-28;1.8785;
2019-03-31;null;
2019-04-30;1.459722;
2019-05-31;1.590188;
2019-06-30;1.762917;
2019-07-31;1.932639;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;2.123056;
2019-12-31;1.763038;
2020-01-31;1.71129;
2020-02-29;1.791523;
2020-03-31;1.855645;
2020-04-30;1.62625;
2020-05-31;1.604704;
2020-06-30;1.880417;
2020-07-31;1.894489;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;1.585556;
2021-07-31;1.836425;
2021-08-31;2.148925;
2021-09-30;2.046944;
2021-10-31;2.048118;
2021-11-30;1.973889;
2021-12-31;1.912769;
2022-01-31;1.721102;
2022-02-28;1.597024;
2022-03-31;1.607796;
2022-04-30;1.735694;
2022-05-31;1.720027;
2022-06-30;1.621111;
2022-07-31;1.871371;
2022-08-31;2.213575;
2022-09-30;2.386111;
2022-10-31;1.985081;
2022-11-30;2.142222;
2022-12-31;1.932661;

