Nome: BERTIOGA
Codigo Estacao: A765
Latitude: -23.84472221
Longitude: -46.14333333
Altitude: 5
Situacao: Operante
Data Inicial: 2017-01-31
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-01-31;null;
2017-02-28;1.433025;
2017-03-31;1.392742;
2017-04-30;1.304861;
2017-05-31;1.153629;
2017-06-30;1.35529;
2017-07-31;1.243011;
2017-08-31;1.473118;
2017-09-30;1.505695;
2017-10-31;1.641801;
2017-11-30;1.590139;
2017-12-31;1.546774;
2018-01-31;1.528226;
2018-02-28;1.453274;
2018-03-31;1.35672;
2018-04-30;1.280694;
2018-05-31;1.249328;
2018-06-30;1.197917;
2018-07-31;1.285484;
2018-08-31;1.233468;
2018-09-30;1.467222;
2018-10-31;1.404973;
2018-11-30;1.630694;
2018-12-31;1.5125;
2019-01-31;1.510484;
2019-02-28;1.371131;
2019-03-31;1.336693;
2019-04-30;1.247917;
2019-05-31;1.207124;
2019-06-30;1.071806;
2019-07-31;1.309812;
2019-08-31;1.400567;
2019-09-30;1.420833;
2019-10-31;1.460618;
2019-11-30;1.372066;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;1.3125;
2022-05-31;1.494489;
2022-06-30;1.193194;
2022-07-31;1.275444;
2022-08-31;1.54664;
2022-09-30;1.347222;
2022-10-31;1.403495;
2022-11-30;1.44;
2022-12-31;1.370296;

