Nome: TUPA
Codigo Estacao: A768
Latitude: -21.927251
Longitude: -50.490251
Altitude: 498
Situacao: Operante
Data Inicial: 2017-05-11
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;null;
2017-06-30;null;
2017-07-31;3.505271;
2017-08-31;3.201171;
2017-09-30;3.269906;
2017-10-31;3.250355;
2017-11-30;3.138083;
2017-12-31;2.734327;
2018-01-31;2.677145;
2018-02-28;2.747852;
2018-03-31;2.376026;
2018-04-30;2.775797;
2018-05-31;2.842464;
2018-06-30;2.495289;
2018-07-31;null;
2018-08-31;3.092672;
2018-09-30;3.006703;
2018-10-31;2.936895;
2018-11-30;3.535438;
2018-12-31;2.590484;
2019-01-31;2.52669;
2019-02-28;null;
2019-03-31;null;
2019-04-30;2.195181;
2019-05-31;2.370699;
2019-06-30;2.684722;
2019-07-31;2.894758;
2019-08-31;3.314306;
2019-09-30;null;
2019-10-31;3.164816;
2019-11-30;3.216785;
2019-12-31;null;
2020-01-31;2.456364;
2020-02-29;null;
2020-03-31;2.855572;
2020-04-30;null;
2020-05-31;null;
2020-06-30;2.486806;
2020-07-31;2.536021;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;2.831389;
2021-05-31;2.491667;
2021-06-30;2.612083;
2021-07-31;2.952449;
2021-08-31;3.182661;
2021-09-30;3.029179;
2021-10-31;3.168248;
2021-11-30;3.112849;
2021-12-31;2.90126;
2022-01-31;2.630079;
2022-02-28;2.393218;
2022-03-31;2.487631;
2022-04-30;2.616431;
2022-05-31;2.594489;
2022-06-30;2.44151;
2022-07-31;2.662377;
2022-08-31;3.202273;
2022-09-30;null;
2022-10-31;null;
2022-11-30;3.219124;
2022-12-31;2.833009;

