Nome: CACHOEIRA PAULISTA
Codigo Estacao: A769
Latitude: -22.68888888
Longitude: -45.00555555
Altitude: 586
Situacao: Operante
Data Inicial: 2017-10-19
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;null;
2017-11-30;2.086263;
2017-12-31;1.620998;
2018-01-31;1.336764;
2018-02-28;1.127232;
2018-03-31;1.253495;
2018-04-30;1.109583;
2018-05-31;1.178959;
2018-06-30;1.078364;
2018-07-31;1.03629;
2018-08-31;1.380511;
2018-09-30;1.647639;
2018-10-31;1.643548;
2018-11-30;2.023472;
2018-12-31;1.37836;
2019-01-31;1.230108;
2019-02-28;1.355357;
2019-03-31;1.003091;
2019-04-30;1.019028;
2019-05-31;.877285;
2019-06-30;.984444;
2019-07-31;1.209946;
2019-08-31;1.505275;
2019-09-30;1.676945;
2019-10-31;1.716398;
2019-11-30;2.012639;
2019-12-31;1.567339;
2020-01-31;1.392339;
2020-02-29;1.337356;
2020-03-31;1.187366;
2020-04-30;1.1075;
2020-05-31;1.201613;
2020-06-30;1.330417;
2020-07-31;1.49207;
2020-08-31;1.474194;
2020-09-30;1.610556;
2020-10-31;2.129145;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;.910484;
2022-04-30;.944028;
2022-05-31;.885753;
2022-06-30;.823333;
2022-07-31;.957473;
2022-08-31;1.471323;
2022-09-30;1.378333;
2022-10-31;1.497913;
2022-11-30;1.205356;
2022-12-31;1.314824;

