Nome: SANTO AUGUSTO
Codigo Estacao: A805
Latitude: -27.85444444
Longitude: -53.7911111
Altitude: 489.67
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;3.449615;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;3.772618;
2005-07-31;3.780156;
2005-08-31;4.334289;
2005-09-30;3.957252;
2005-10-31;3.532343;
2005-11-30;3.694122;
2005-12-31;3.456317;
2006-01-31;2.877285;
2006-02-28;3.127836;
2006-03-31;3.021774;
2006-04-30;2.963519;
2006-05-31;null;
2006-06-30;3.83319;
2006-07-31;3.554436;
2006-08-31;3.800941;
2006-09-30;3.741816;
2006-10-31;3.744489;
2006-11-30;3.857766;
2006-12-31;3.254238;
2007-01-31;2.98172;
2007-02-28;3.328571;
2007-03-31;2.737512;
2007-04-30;2.959354;
2007-05-31;3.30824;
2007-06-30;3.208116;
2007-07-31;3.007225;
2007-08-31;null;
2007-09-30;4.33224;
2007-10-31;3.942695;
2007-11-30;3.494506;
2007-12-31;3.173656;
2008-01-31;3.048387;
2008-02-29;2.936351;
2008-03-31;3.142473;
2008-04-30;2.777639;
2008-05-31;2.858122;
2008-06-30;2.863835;
2008-07-31;3.311694;
2008-08-31;3.422849;
2008-09-30;3.653056;
2008-10-31;3.747849;
2008-11-30;3.44276;
2008-12-31;3.091263;
2009-01-31;2.972259;
2009-02-28;2.920089;
2009-03-31;2.779704;
2009-04-30;2.944722;
2009-05-31;2.947581;
2009-06-30;3.050556;
2009-07-31;2.731586;
2009-08-31;3.645699;
2009-09-30;3.397083;
2009-10-31;3.340334;
2009-11-30;3.60875;
2009-12-31;3.124328;
2010-01-31;2.957649;
2010-02-28;3.111756;
2010-03-31;2.854973;
2010-04-30;3.059722;
2010-05-31;3.095699;
2010-06-30;3.466389;
2010-07-31;3.739516;
2010-08-31;3.747192;
2010-09-30;3.625;
2010-10-31;3.274731;
2010-11-30;2.997222;
2010-12-31;3.28414;
2011-01-31;2.345968;
2011-02-28;2.686539;
2011-03-31;3.238908;
2011-04-30;2.806389;
2011-05-31;3.05578;
2011-06-30;3.244722;
2011-07-31;3.214113;
2011-08-31;null;
2011-09-30;3.589583;
2011-10-31;3.489247;
2011-11-30;null;
2011-12-31;null;
2012-01-31;3.234677;
2012-02-29;2.268982;
2012-03-31;1.955242;
2012-04-30;2.157778;
2012-05-31;2.008199;
2012-06-30;2.189028;
2012-07-31;2.469489;
2012-08-31;2.998387;
2012-09-30;2.853194;
2012-10-31;2.85914;
2012-11-30;2.608333;
2012-12-31;2.666263;
2013-01-31;2.52957;
2013-02-28;2.262202;
2013-03-31;2.419889;
2013-04-30;2.06375;
2013-05-31;2.0625;
2013-06-30;2.070669;
2013-07-31;2.238996;
2013-08-31;2.788844;
2013-09-30;2.588611;
2013-10-31;2.432392;
2013-11-30;3.06875;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;2.196111;
2014-05-31;1.90793;
2014-06-30;2.569722;
2014-07-31;2.465995;
2014-08-31;2.437903;
2014-09-30;2.716528;
2014-10-31;2.697177;
2014-11-30;2.491528;
2014-12-31;2.478898;
2015-01-31;2.264271;
2015-02-28;1.916071;
2015-03-31;1.95672;
2015-04-30;1.895694;
2015-05-31;2.15336;
2015-06-30;2.339028;
2015-07-31;2.289382;
2015-08-31;2.728763;
2015-09-30;2.651667;
2015-10-31;2.811962;
2015-11-30;2.585833;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;2.501259;
2016-08-31;2.362553;
2016-09-30;2.384977;
2016-10-31;2.46166;
2016-11-30;2.409333;
2016-12-31;2.344512;
2017-01-31;2.177972;
