Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2004-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;1.995372;
2006-05-31;null;
2006-06-30;2.252874;
2006-07-31;1.90793;
2006-08-31;2.281173;
2006-09-30;2.772348;
2006-10-31;2.528364;
2006-11-30;2.494728;
2006-12-31;2.658537;
2007-01-31;2.409787;
2007-02-28;2.463141;
2007-03-31;1.899194;
2007-04-30;2.031069;
2007-05-31;null;
2007-06-30;null;
2007-07-31;2.351192;
2007-08-31;2.472066;
2007-09-30;2.405405;
2007-10-31;2.567532;
2007-11-30;2.873827;
2007-12-31;2.166263;
2008-01-31;2.657486;
2008-02-29;2.356465;
2008-03-31;2.317422;
2008-04-30;null;
2008-05-31;1.908382;
2008-06-30;1.861704;
2008-07-31;1.738297;
2008-08-31;2.121781;
2008-09-30;2.471435;
2008-10-31;null;
2008-11-30;2.63158;
2008-12-31;2.232102;
2009-01-31;null;
2009-02-28;null;
2009-03-31;1.894431;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;2.180107;
2010-11-30;2.272083;
2010-12-31;2.114516;
2011-01-31;1.610484;
2011-02-28;1.893601;
2011-03-31;2.19506;
2011-04-30;1.741944;
2011-05-31;1.727519;
2011-06-30;1.685556;
2011-07-31;1.630913;
2011-08-31;2.439137;
2011-09-30;2.194949;
2011-10-31;2.428898;
2011-11-30;2.282361;
2011-12-31;2.195565;
2012-01-31;2.117456;
2012-02-29;1.788506;
2012-03-31;2.02517;
2012-04-30;1.90125;
2012-05-31;1.75121;
2012-06-30;null;
2012-07-31;2.018966;
2012-08-31;1.82875;
2012-09-30;2.282083;
2012-10-31;2.188725;
2012-11-30;2.307361;
2012-12-31;2.18414;
2013-01-31;2.338038;
2013-02-28;2.079762;
2013-03-31;2.164917;
2013-04-30;1.462083;
2013-05-31;1.438942;
2013-06-30;1.282894;
2013-07-31;1.415071;
2013-08-31;1.873556;
2013-09-30;1.557174;
2013-10-31;2.154348;
2013-11-30;2.224028;
2013-12-31;1.965457;
2014-01-31;1.680107;
2014-02-28;1.759524;
2014-03-31;1.686156;
2014-04-30;1.530737;
2014-05-31;1.472581;
2014-06-30;1.685035;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;1.792754;
2014-11-30;2.017639;
2014-12-31;2.116398;
2015-01-31;1.944086;
2015-02-28;1.662946;
2015-03-31;1.512231;
2015-04-30;1.535;
2015-05-31;1.567025;
2015-06-30;1.706013;
2015-07-31;1.721879;
2015-08-31;1.741795;
2015-09-30;1.880073;
2015-10-31;2.158468;
2015-11-30;2.149583;
2015-12-31;2.115457;
2016-01-31;2.207124;
2016-02-29;2.00546;
2016-03-31;2.073387;
2016-04-30;1.705985;
2016-05-31;1.823813;
2016-06-30;null;
2016-07-31;1.976324;
2016-08-31;1.852353;
2016-09-30;2.186566;
2016-10-31;2.36001;
2016-11-30;2.239861;
2016-12-31;2.115591;
2017-01-31;2.00457;
2017-02-28;1.805804;
2017-03-31;1.96707;
2017-04-30;2.036455;
2017-05-31;1.70762;
2017-06-30;1.962835;
2017-07-31;1.548426;
2017-08-31;2.120809;
2017-09-30;2.067222;
2017-10-31;2.420395;
2017-11-30;2.2625;
2017-12-31;2.115457;
2018-01-31;2.327419;
2018-02-28;2.035119;
2018-03-31;1.699194;
2018-04-30;1.49375;
2018-05-31;1.694232;
2018-06-30;1.568809;
2018-07-31;1.629917;
2018-08-31;1.805049;
2018-09-30;1.816278;
2018-10-31;1.918952;
2018-11-30;2.134523;
2018-12-31;2.108333;
2019-01-31;1.833199;
2019-02-28;1.863988;
2019-03-31;1.752554;
2019-04-30;1.327639;
2019-05-31;1.35265;
2019-06-30;1.260404;
2019-07-31;1.673539;
2019-08-31;1.854733;
2019-09-30;1.999775;
2019-10-31;2.087097;
2019-11-30;2.042639;
2019-12-31;1.773387;
2020-01-31;1.761559;
2020-02-29;1.535489;
2020-03-31;1.775327;
2020-04-30;1.766663;
2020-05-31;1.815241;
2020-06-30;1.792398;
2020-07-31;1.912241;
2020-08-31;1.469865;
2020-09-30;2.104372;
2020-10-31;2.126747;
2020-11-30;2.088972;
2020-12-31;2.103898;
2021-01-31;1.996371;
2021-02-28;1.819345;
2021-03-31;1.662903;
2021-04-30;1.652361;
2021-05-31;1.675545;
2021-06-30;1.464517;
2021-07-31;null;
2021-08-31;1.676;
2021-09-30;1.925556;
2021-10-31;1.934064;
2021-11-30;2.183472;
2021-12-31;2.083468;
2022-01-31;1.395833;
2022-02-28;1.482887;
2022-03-31;1.466667;
2022-04-30;1.247803;
2022-05-31;1.261508;
2022-06-30;1.396968;
2022-07-31;1.524657;
2022-08-31;1.746443;
2022-09-30;2.197988;
2022-10-31;2.09208;
2022-11-30;2.191989;
