Nome: TORRES
Codigo Estacao: A808
Latitude: -29.35027777
Longitude: -49.73333333
Altitude: 8.44
Situacao: Operante
Data Inicial: 2006-05-31
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-05-31;null;
2006-06-30;2.796726;
2006-07-31;2.521102;
2006-08-31;3.086129;
2006-09-30;3.183826;
2006-10-31;3.525;
2006-11-30;3.679233;
2006-12-31;3.233139;
2007-01-31;3.154704;
2007-02-28;2.95242;
2007-03-31;2.635653;
2007-04-30;2.767525;
2007-05-31;2.942659;
2007-06-30;2.422503;
2007-07-31;2.545406;
2007-08-31;null;
2007-09-30;3.068467;
2007-10-31;3.381755;
2007-11-30;3.249118;
2007-12-31;3.179704;
2008-01-31;3.276478;
2008-02-29;2.804885;
2008-03-31;2.416945;
2008-04-30;2.516852;
2008-05-31;2.605091;
2008-06-30;2.304505;
2008-07-31;2.329225;
2008-08-31;2.925964;
2008-09-30;3.438195;
2008-10-31;3.549328;
2008-11-30;3.58782;
2008-12-31;3.101075;
2009-01-31;2.948802;
2009-02-28;2.393452;
2009-03-31;2.768683;
2009-04-30;2.696806;
2009-05-31;2.478226;
2009-06-30;2.499583;
2009-07-31;2.418145;
2009-08-31;2.772043;
2009-09-30;3.279457;
2009-10-31;3.230872;
2009-11-30;3.016583;
2009-12-31;3.409946;
2010-01-31;2.592265;
2010-02-28;2.766667;
2010-03-31;2.887231;
2010-04-30;2.983333;
2010-05-31;3.136694;
2010-06-30;2.754305;
2010-07-31;2.762903;
2010-08-31;3.049427;
2010-09-30;3.246944;
2010-10-31;3.034543;
2010-11-30;3.47375;
2010-12-31;3.250538;
2011-01-31;2.343145;
2011-02-28;2.661756;
2011-03-31;2.794664;
2011-04-30;2.331872;
2011-05-31;2.62957;
2011-06-30;2.622772;
2011-07-31;2.62621;
2011-08-31;3.1875;
2011-09-30;3.280278;
2011-10-31;3.501075;
2011-11-30;3.486111;
2011-12-31;2.998101;
2012-01-31;2.891801;
2012-02-29;null;
2012-03-31;null;
2012-04-30;2.805833;
2012-05-31;2.434005;
2012-06-30;2.205694;
2012-07-31;2.915457;
2012-08-31;3.164017;
2012-09-30;3.52;
2012-10-31;3.290726;
2012-11-30;3.193472;
2012-12-31;3.04664;
2013-01-31;3.426882;
2013-02-28;2.742708;
2013-03-31;2.792111;
2013-04-30;2.786667;
2013-05-31;2.335057;
2013-06-30;2.248952;
2013-07-31;2.390457;
2013-08-31;3.114113;
2013-09-30;2.914861;
2013-10-31;3.494892;
2013-11-30;3.879167;
2013-12-31;2.899059;
2014-01-31;2.716532;
2014-02-28;3.219048;
2014-03-31;2.52621;
2014-04-30;2.8375;
2014-05-31;2.417608;
2014-06-30;2.300556;
2014-07-31;2.514651;
2014-08-31;2.675269;
2014-09-30;3.147283;
2014-10-31;3.611156;
2014-11-30;3.197222;
2014-12-31;3.20121;
2015-01-31;2.711156;
2015-02-28;2.625744;
2015-03-31;2.81586;
2015-04-30;2.621528;
2015-05-31;null;
2015-06-30;null;
2015-07-31;2.418414;
2015-08-31;2.931978;
2015-09-30;2.847639;
2015-10-31;3.31707;
2015-11-30;3.176806;
2015-12-31;3.244489;
2016-01-31;2.747446;
2016-02-29;2.365948;
2016-03-31;2.675;
2016-04-30;2.547778;
2016-05-31;2.214651;
2016-06-30;2.048775;
2016-07-31;2.448185;
2016-08-31;2.511469;
2016-09-30;null;
2016-10-31;3.499597;
2016-11-30;3.696316;
2016-12-31;3.361711;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;2.776853;
2017-06-30;2.460476;
2017-07-31;null;
2017-08-31;3.351391;
2017-09-30;3.255882;
2017-10-31;3.355447;
2017-11-30;3.468792;
2017-12-31;3.388762;
2018-01-31;2.623042;
2018-02-28;2.642411;
2018-03-31;2.639884;
2018-04-30;2.361818;
2018-05-31;2.371102;
2018-06-30;2.285972;
2018-07-31;2.526695;
2018-08-31;2.515995;
2018-09-30;2.707222;
2018-10-31;3.444898;
2018-11-30;3.620296;
2018-12-31;3.274807;
2019-01-31;2.653495;
2019-02-28;2.63576;
2019-03-31;2.745407;
2019-04-30;2.446739;
2019-05-31;2.481621;
2019-06-30;2.097808;
2019-07-31;2.494063;
2019-08-31;3.029436;
2019-09-30;2.952611;
2019-10-31;3.277603;
2019-11-30;3.447573;
2019-12-31;3.365457;
2020-01-31;3.062903;
2020-02-29;3.277819;
2020-03-31;3.134821;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;2.701999;
2020-09-30;2.807071;
2020-10-31;3.52642;
2020-11-30;2.970694;
2020-12-31;3.124731;
2021-01-31;2.676251;
2021-02-28;2.652679;
2021-03-31;2.550672;
2021-04-30;2.818496;
2021-05-31;2.371903;
2021-06-30;2.250676;
2021-07-31;2.389838;
2021-08-31;2.630195;
2021-09-30;3.177917;
2021-10-31;3.600806;
2021-11-30;3.114167;
2021-12-31;3.091129;
2022-01-31;2.486694;
2022-02-28;2.519882;
2022-03-31;2.441371;
2022-04-30;2.504254;
2022-05-31;2.523142;
2022-06-30;2.205072;
2022-07-31;2.328536;
2022-08-31;2.731639;
2022-09-30;3.007814;
2022-10-31;2.72522;
2022-11-30;null;
2022-12-31;2.831907;

