Nome: URUGUAIANA
Codigo Estacao: A809
Latitude: -29.83987
Longitude: -57.081899
Altitude: 74.29
Situacao: Operante
Data Inicial: 2006-09-27
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;null;
2006-10-31;3.977554;
2006-11-30;4.080719;
2006-12-31;3.324406;
2007-01-31;3.235349;
2007-02-28;3.443155;
2007-03-31;3.221149;
2007-04-30;3.00375;
2007-05-31;2.484677;
2007-06-30;2.154403;
2007-07-31;2.753818;
2007-08-31;3.511157;
2007-09-30;4.357051;
2007-10-31;4.24622;
2007-11-30;3.013673;
2007-12-31;2.894489;
2008-01-31;3.751338;
2008-02-29;2.795977;
2008-03-31;2.813306;
2008-04-30;2.170139;
2008-05-31;2.701944;
2008-06-30;2.523222;
2008-07-31;3.719828;
2008-08-31;3.436141;
2008-09-30;3.68006;
2008-10-31;3.843314;
2008-11-30;2.665719;
2008-12-31;2.400538;
2009-01-31;2.968122;
2009-02-28;2.652381;
2009-03-31;2.107124;
2009-04-30;2.100139;
2009-05-31;2.691532;
2009-06-30;2.561944;
2009-07-31;2.557661;
2009-08-31;3.934677;
2009-09-30;2.683333;
2009-10-31;2.315517;
2009-11-30;2.151667;
2009-12-31;1.111962;
2010-01-31;.709005;
2010-02-28;1.165476;
2010-03-31;1.14664;
2010-04-30;1.6125;
2010-05-31;1.683468;
2010-06-30;2.122778;
2010-07-31;2.246505;
2010-08-31;2.623182;
2010-09-30;2.469444;
2010-10-31;2.566398;
2010-11-30;2.030417;
2010-12-31;2.418011;
2011-01-31;1.563979;
2011-02-28;1.860863;
2011-03-31;1.988691;
2011-04-30;1.304444;
2011-05-31;1.993145;
2011-06-30;1.965694;
2011-07-31;2.138038;
2011-08-31;2.812366;
2011-09-30;3.125;
2011-10-31;1.669893;
2011-11-30;2.504861;
2011-12-31;3.118157;
2012-01-31;3.188844;
2012-02-29;3.205172;
2012-03-31;2.700152;
2012-04-30;2.443611;
2012-05-31;2.931317;
2012-06-30;2.638611;
2012-07-31;2.76129;
2012-08-31;3.855472;
2012-09-30;null;
2012-10-31;null;
2012-11-30;3.425833;
2012-12-31;3.748118;
2013-01-31;3.165054;
2013-02-28;3.20372;
2013-03-31;3.060278;
2013-04-30;2.568056;
2013-05-31;2.653495;
2013-06-30;2.330164;
2013-07-31;3.143011;
2013-08-31;3.444489;
2013-09-30;3.741667;
2013-10-31;3.753898;
2013-11-30;3.850694;
2013-12-31;2.947043;
2014-01-31;3.167608;
2014-02-28;3.589435;
2014-03-31;2.620968;
2014-04-30;3.196111;
2014-05-31;2.72202;
2014-06-30;3.158056;
2014-07-31;3.162097;
2014-08-31;3.300941;
2014-09-30;3.969167;
2014-10-31;4.098656;
2014-11-30;3.341111;
2014-12-31;3.219355;
2015-01-31;2.798907;
2015-02-28;2.669792;
2015-03-31;2.340323;
2015-04-30;2.615694;
2015-05-31;2.719758;
2015-06-30;2.578889;
2015-07-31;2.561828;
2015-08-31;2.836693;
2015-09-30;2.415694;
2015-10-31;2.606855;
2015-11-30;2.95375;
2015-12-31;1.936021;
2016-01-31;1.52043;
2016-02-29;1.121983;
2016-03-31;1.499731;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;3.297755;
2016-09-30;3.267361;
2016-10-31;null;
2016-11-30;3.284487;
2016-12-31;3.313172;
2017-01-31;3.199462;
2017-02-28;2.387511;
2017-03-31;3.221774;
2017-04-30;3.212222;
2017-05-31;3.287647;
2017-06-30;3.347;
2017-07-31;3.664919;
2017-08-31;3.972155;
2017-09-30;3.630146;
2017-10-31;4.014735;
2017-11-30;3.345669;
2017-12-31;3.356388;
2018-01-31;3.2375;
2018-02-28;3.16369;
2018-03-31;2.870039;
2018-04-30;3.127729;
2018-05-31;3.302264;
2018-06-30;null;
2018-07-31;2.932124;
2018-08-31;3.595565;
2018-09-30;3.836051;
2018-10-31;4.028177;
2018-11-30;3.805896;
2018-12-31;3.210367;
2019-01-31;3.389323;
2019-02-28;2.898784;
2019-03-31;2.852285;
2019-04-30;2.551528;
2019-05-31;2.973656;
2019-06-30;3.139861;
2019-07-31;null;
2019-08-31;null;
2019-09-30;3.640865;
2019-10-31;4.166994;
2019-11-30;3.678472;
2019-12-31;2.759677;
2020-01-31;3.233602;
2020-02-29;2.918965;
2020-03-31;2.750376;
2020-04-30;2.863194;
2020-05-31;2.978091;
2020-06-30;3.528889;
2020-07-31;3.184274;
2020-08-31;3.713306;
2020-09-30;3.389722;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;3.241049;
2021-02-28;2.462202;
2021-03-31;2.622201;
2021-04-30;3.207778;
2021-05-31;2.479753;
2021-06-30;2.857361;
2021-07-31;3.011559;
2021-08-31;3.28871;
2021-09-30;3.740139;
2021-10-31;3.305108;
2021-11-30;3.410827;
2021-12-31;3.547935;
2022-01-31;3.775818;
2022-02-28;3.123505;
2022-03-31;3.0991;
2022-04-30;3.087361;
2022-05-31;2.609274;
2022-06-30;2.470549;
2022-07-31;3.595748;
2022-08-31;3.562179;
2022-09-30;3.392011;
2022-10-31;3.604655;
2022-11-30;3.699406;
2022-12-31;3.24544;

