Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Operante
Data Inicial: 2006-11-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;null;
2006-12-31;1.41885;
2007-01-31;1.704395;
2007-02-28;1.773945;
2007-03-31;1.290685;
2007-04-30;1.259861;
2007-05-31;1.600783;
2007-06-30;1.221279;
2007-07-31;1.330106;
2007-08-31;1.848393;
2007-09-30;1.861321;
2007-10-31;1.8411;
2007-11-30;1.880213;
2007-12-31;1.611425;
2008-01-31;1.734409;
2008-02-29;1.478448;
2008-03-31;1.874328;
2008-04-30;1.355206;
2008-05-31;1.11742;
2008-06-30;1.195481;
2008-07-31;1.252775;
2008-08-31;1.601252;
2008-09-30;1.792507;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;1.823668;
2009-02-28;1.505804;
2009-03-31;1.452957;
2009-04-30;1.626528;
2009-05-31;1.464516;
2009-06-30;1.314306;
2009-07-31;1.435185;
2009-08-31;null;
2009-09-30;1.84847;
2009-10-31;2.005316;
2009-11-30;1.759861;
2009-12-31;1.947446;
2010-01-31;1.78404;
2010-02-28;1.980655;
2010-03-31;1.673118;
2010-04-30;1.998167;
2010-05-31;1.4765;
2010-06-30;null;
2010-07-31;1.564921;
2010-08-31;1.458749;
2010-09-30;null;
2010-10-31;1.600149;
2010-11-30;1.612222;
2010-12-31;1.733602;
2011-01-31;.986694;
2011-02-28;1.635268;
2011-03-31;1.618301;
2011-04-30;1.38625;
2011-05-31;1.661962;
2011-06-30;1.246552;
2011-07-31;1.624866;
2011-08-31;1.686828;
2011-09-30;1.149583;
2011-10-31;1.494758;
2011-11-30;1.1075;
2011-12-31;1.533199;
2012-01-31;1.605511;
2012-02-29;1.534483;
2012-03-31;1.058602;
2012-04-30;1.17875;
2012-05-31;1.170044;
2012-06-30;1.251667;
2012-07-31;1.501075;
2012-08-31;1.760538;
2012-09-30;2.039444;
2012-10-31;2.052688;
2012-11-30;1.983195;
2012-12-31;1.899328;
2013-01-31;1.804839;
2013-02-28;1.625298;
2013-03-31;1.801611;
2013-04-30;1.214861;
2013-05-31;1.088654;
2013-06-30;.69897;
2013-07-31;1.314247;
2013-08-31;1.636782;
2013-09-30;1.565833;
2013-10-31;2.106609;
2013-11-30;2.503195;
2013-12-31;null;
2014-01-31;null;
2014-02-28;1.923512;
2014-03-31;1.41922;
2014-04-30;1.608195;
2014-05-31;1.266744;
2014-06-30;null;
2014-07-31;1.63293;
2014-08-31;1.581855;
2014-09-30;1.985833;
2014-10-31;1.970699;
2014-11-30;1.762083;
2014-12-31;1.903091;
2015-01-31;1.645401;
2015-02-28;1.518601;
2015-03-31;1.352419;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;1.855242;
2016-02-29;1.583764;
2016-03-31;1.67291;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;1.723667;
2016-08-31;1.804032;
2016-09-30;1.876528;
2016-10-31;2.156317;
2016-11-30;1.90875;
2016-12-31;1.79328;
2017-01-31;1.686559;
2017-02-28;1.539881;
2017-03-31;1.590457;
2017-04-30;1.783056;
2017-05-31;1.733602;
2017-06-30;1.628194;
2017-07-31;1.705108;
2017-08-31;1.959274;
2017-09-30;1.692639;
2017-10-31;1.922715;
2017-11-30;1.819167;
2017-12-31;1.751344;
2018-01-31;1.784005;
2018-02-28;1.650298;
2018-03-31;1.458737;
2018-04-30;1.357222;
2018-05-31;1.504704;
2018-06-30;1.603472;
2018-07-31;1.561021;
2018-08-31;1.701227;
2018-09-30;1.68125;
2018-10-31;1.958468;
2018-11-30;1.858611;
2018-12-31;1.793145;
2019-01-31;1.717187;
2019-02-28;1.837157;
2019-03-31;1.67366;
2019-04-30;null;
2019-05-31;1.63293;
2019-06-30;1.67125;
2019-07-31;1.583199;
2019-08-31;1.969489;
2019-09-30;2.018611;
2019-10-31;2.158064;
2019-11-30;2.083472;
2019-12-31;1.817876;
2020-01-31;1.953763;
2020-02-29;1.826043;
2020-03-31;1.561425;
2020-04-30;null;
2020-05-31;null;
2020-06-30;2.02069;
2020-07-31;1.697446;
2020-08-31;1.948253;
2020-09-30;2.094445;
2020-10-31;null;
2020-11-30;null;
2020-12-31;1.936425;
2021-01-31;2.078538;
2021-02-28;1.660417;
2021-03-31;1.575134;
2021-04-30;1.688333;
2021-05-31;1.67957;
2021-06-30;1.700417;
2021-07-31;1.518414;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;2.299558;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;1.644902;
2022-06-30;1.633714;
2022-07-31;1.834555;
2022-08-31;2.007043;
2022-09-30;2.193148;
2022-10-31;2.123364;
2022-11-30;2.238013;
2022-12-31;1.837023;

