Nome: URUSSANGA
Codigo Estacao: A814
Latitude: -28.53249999
Longitude: -49.31527777
Altitude: 40.56
Situacao: Operante
Data Inicial: 2008-05-28
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;null;
2008-06-30;.828842;
2008-07-31;.788502;
2008-08-31;.934496;
2008-09-30;1.098013;
2008-10-31;1.168441;
2008-11-30;1.028333;
2008-12-31;1.0625;
2009-01-31;.875024;
2009-02-28;.785268;
2009-03-31;.670939;
2009-04-30;.651389;
2009-05-31;.607258;
2009-06-30;.639444;
2009-07-31;.588172;
2009-08-31;.899328;
2009-09-30;.867778;
2009-10-31;.907728;
2009-11-30;.7525;
2009-12-31;.808199;
2010-01-31;.589593;
2010-02-28;.691369;
2010-03-31;.601479;
2010-04-30;.649444;
2010-05-31;.512097;
2010-06-30;.47375;
2010-07-31;.659543;
2010-08-31;.682948;
2010-09-30;.953611;
2010-10-31;.760887;
2010-11-30;.8325;
2010-12-31;.692742;
2011-01-31;.459615;
2011-02-28;null;
2011-03-31;.919084;
2011-04-30;.828333;
2011-05-31;.772043;
2011-06-30;.852158;
2011-07-31;null;
2011-08-31;1.101389;
2011-09-30;1.165833;
2011-10-31;1.177016;
2011-11-30;1.0725;
2011-12-31;1.020027;
2012-01-31;.911425;
2012-02-29;.844828;
2012-03-31;.809409;
2012-04-30;.72625;
2012-05-31;.672177;
2012-06-30;.627222;
2012-07-31;.811693;
2012-08-31;1.247177;
2012-09-30;1.200556;
2012-10-31;1.090054;
2012-11-30;1.111944;
2012-12-31;1.022581;
2013-01-31;1.012903;
2013-02-28;.743006;
2013-03-31;.744861;
2013-04-30;.740417;
2013-05-31;.652688;
2013-06-30;.535859;
2013-07-31;.726075;
2013-08-31;.958064;
2013-09-30;.98125;
2013-10-31;1.083602;
2013-11-30;1.3075;
2013-12-31;.924194;
2014-01-31;.764785;
2014-02-28;.875744;
2014-03-31;.577688;
2014-04-30;.602917;
2014-05-31;.46586;
2014-06-30;.514722;
2014-07-31;.516129;
2014-08-31;.743414;
2014-09-30;.839306;
2014-10-31;.968683;
2014-11-30;.898333;
2014-12-31;.728898;
2015-01-31;.66835;
2015-02-28;.578274;
2015-03-31;.570238;
2015-04-30;.396481;
2015-05-31;.481449;
2015-06-30;.587044;
2015-07-31;.728623;
2015-08-31;.983046;
2015-09-30;1.008056;
2015-10-31;.992438;
2015-11-30;.867778;
2015-12-31;.905242;
2016-01-31;.890323;
2016-02-29;.776868;
2016-03-31;.788441;
2016-04-30;.059722;
2016-05-31;.01922;
2016-06-30;.026944;
2016-07-31;.01371;
2016-08-31;.007407;
2016-09-30;.625511;
2016-10-31;.736207;
2016-11-30;.359583;
2016-12-31;.219489;
2017-01-31;.135215;
2017-02-28;.068006;
2017-03-31;.059812;
2017-04-30;.085139;
2017-05-31;.095833;
2017-06-30;.081111;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;1.139651;
2018-01-31;1.110081;
2018-02-28;1.074405;
2018-03-31;.938307;
2018-04-30;1.005972;
2018-05-31;.956317;
2018-06-30;1.035972;
2018-07-31;null;
2018-08-31;null;
2018-09-30;1.098056;
2018-10-31;1.243952;
2018-11-30;1.401389;
2018-12-31;1.29751;
2019-01-31;1.127917;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;1.367014;
2019-11-30;1.368209;
2019-12-31;1.295923;
2020-01-31;null;
2020-02-29;null;
2020-03-31;1.033871;
2020-04-30;1.064583;
2020-05-31;1.077151;
2020-06-30;.982083;
2020-07-31;1.119941;
2020-08-31;1.167742;
2020-09-30;1.17625;
2020-10-31;1.360215;
2020-11-30;1.16744;
2020-12-31;1.132527;
2021-01-31;1.166935;
2021-02-28;1.120536;
2021-03-31;.95121;
2021-04-30;1.033333;
2021-05-31;.966129;
2021-06-30;.962361;
2021-07-31;1.078763;
2021-08-31;1.126293;
2021-09-30;null;
2021-10-31;1.306111;
2021-11-30;1.215694;
2021-12-31;1.178226;
2022-01-31;1.139352;
2022-02-28;1.080655;
2022-03-31;1.028763;
2022-04-30;.946667;
2022-05-31;.968817;
2022-06-30;.961111;
2022-07-31;null;
2022-08-31;1.19537;
2022-09-30;null;
2022-10-31;1.070278;
2022-11-30;1.231944;
2022-12-31;1.175806;

