Nome: NOVO HORIZONTE
Codigo Estacao: A816
Latitude: -26.40638888
Longitude: -52.85027777
Altitude: 943.57
Situacao: Operante
Data Inicial: 2008-09-19
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;
2008-10-31;null;
2008-11-30;3.257941;
2008-12-31;3.431452;
2009-01-31;3.632264;
2009-02-28;3.321429;
2009-03-31;3.003763;
2009-04-30;2.981389;
2009-05-31;3.791263;
2009-06-30;3.876945;
2009-07-31;3.431721;
2009-08-31;4.02164;
2009-09-30;3.856944;
2009-10-31;3.45431;
2009-11-30;4.304583;
2009-12-31;3.43293;
2010-01-31;3.892224;
2010-02-28;4.174851;
2010-03-31;3.147446;
2010-04-30;3.308333;
2010-05-31;3.593414;
2010-06-30;4.227917;
2010-07-31;4.010753;
2010-08-31;4.26721;
2010-09-30;3.901528;
2010-10-31;3.152419;
2010-11-30;3.28875;
2010-12-31;3.301344;
2011-01-31;2.917742;
2011-02-28;3.337053;
2011-03-31;3.31779;
2011-04-30;2.964722;
2011-05-31;2.073253;
2011-06-30;2.613056;
2011-07-31;2.768414;
2011-08-31;3.747984;
2011-09-30;2.201944;
2011-10-31;1.919086;
2011-11-30;1.182778;
2011-12-31;1.310349;
2012-01-31;1.507626;
2012-02-29;2.342816;
2012-03-31;1.25;
2012-04-30;1.748333;
2012-05-31;2.891129;
2012-06-30;2.992778;
2012-07-31;3.359409;
2012-08-31;3.554224;
2012-09-30;3.718195;
2012-10-31;3.723118;
2012-11-30;2.611806;
2012-12-31;3.670968;
2013-01-31;3.048118;
2013-02-28;3.504911;
2013-03-31;3.009889;
2013-04-30;2.695417;
2013-05-31;3.191228;
2013-06-30;2.73654;
2013-07-31;3.261021;
2013-08-31;3.576479;
2013-09-30;3.173056;
2013-10-31;2.980826;
2013-11-30;3.482909;
2013-12-31;2.811044;
2014-01-31;3.390246;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;4.006317;
2014-08-31;4.338575;
2014-09-30;4.342083;
2014-10-31;3.744758;
2014-11-30;3.341944;
2014-12-31;3.745027;
2015-01-31;3.69251;
2015-02-28;3.361905;
2015-03-31;2.954301;
2015-04-30;2.871528;
2015-05-31;3.164651;
2015-06-30;4.40822;
2015-07-31;4.165534;
2015-08-31;4.442456;
2015-09-30;4.233842;
2015-10-31;3.685149;
2015-11-30;3.35645;
2015-12-31;4.069141;
2016-01-31;3.106806;
2016-02-29;null;
2016-03-31;null;
2016-04-30;3.586111;
2016-05-31;2.663844;
2016-06-30;2.701111;
2016-07-31;3.790323;
2016-08-31;4.025;
2016-09-30;3.061389;
2016-10-31;3.695617;
2016-11-30;3.2375;
2016-12-31;3.668683;
2017-01-31;3.337231;
2017-02-28;3.463542;
2017-03-31;2.919489;
2017-04-30;3.309583;
2017-05-31;3.35336;
2017-06-30;3.875139;
2017-07-31;3.795833;
2017-08-31;3.631989;
2017-09-30;3.380695;
2017-10-31;3.753629;
2017-11-30;3.303333;
2017-12-31;3.084946;
2018-01-31;3.558333;
2018-02-28;3.167857;
2018-03-31;3.018011;
2018-04-30;2.617597;
2018-05-31;3.31586;
2018-06-30;3.885833;
2018-07-31;3.902016;
2018-08-31;3.405914;
2018-09-30;3.455556;
2018-10-31;3.422984;
2018-11-30;3.35875;
2018-12-31;3.456048;
2019-01-31;3.741689;
2019-02-28;3.169271;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;3.849444;
2019-07-31;3.865457;
2019-08-31;3.790054;
2019-09-30;3.609305;
2019-10-31;3.398253;
2019-11-30;2.928056;
2019-12-31;3.11129;
2020-01-31;2.865805;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;2.802917;
2020-12-31;2.929459;
2021-01-31;3.118227;
2021-02-28;2.546988;
2021-03-31;2.820161;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;2.862903;
2022-11-30;2.705556;
2022-12-31;2.544489;

