Nome: INDAIAL
Codigo Estacao: A817
Latitude: -26.91361111
Longitude: -49.26805554
Altitude: 72.24
Situacao: Operante
Data Inicial: 2006-07-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;1.136782;
2006-08-31;1.243661;
2006-09-30;1.354457;
2006-10-31;.992608;
2006-11-30;1.024437;
2006-12-31;1.073174;
2007-01-31;.952963;
2007-02-28;.991951;
2007-03-31;.870039;
2007-04-30;.815278;
2007-05-31;1.225791;
2007-06-30;1.127083;
2007-07-31;1.337937;
2007-08-31;1.112126;
2007-09-30;1.100431;
2007-10-31;.977314;
2007-11-30;1.167006;
2007-12-31;1.160618;
2008-01-31;.977957;
2008-02-29;1.060632;
2008-03-31;.99543;
2008-04-30;.984669;
2008-05-31;1.295277;
2008-06-30;1.135427;
2008-07-31;.910887;
2008-08-31;.915323;
2008-09-30;1.305833;
2008-10-31;1.104704;
2008-11-30;.984318;
2008-12-31;1.319489;
2009-01-31;1.1136;
2009-02-28;.979613;
2009-03-31;1.078763;
2009-04-30;.937917;
2009-05-31;.957527;
2009-06-30;1.089306;
2009-07-31;.688172;
2009-08-31;1.090995;
2009-09-30;.954861;
2009-10-31;.861782;
2009-11-30;.720417;
2009-12-31;.874328;
2010-01-31;.826051;
2010-02-28;.814137;
2010-03-31;.754704;
2010-04-30;.578611;
2010-05-31;.766129;
2010-06-30;.646667;
2010-07-31;.93965;
2010-08-31;1.088428;
2010-09-30;1.212639;
2010-10-31;1.278495;
2010-11-30;1.282361;
2010-12-31;1.102554;
2011-01-31;1.052688;
2011-02-28;.813542;
2011-03-31;.861809;
2011-04-30;1.021389;
2011-05-31;.990188;
2011-06-30;1.243333;
2011-07-31;.885484;
2011-08-31;1.231855;
2011-09-30;1.080972;
2011-10-31;1.179321;
2011-11-30;1.156731;
2011-12-31;1.19879;
2012-01-31;1.013306;
2012-02-29;1.104167;
2012-03-31;1.168367;
2012-04-30;.988472;
2012-05-31;.956855;
2012-06-30;1.044861;
2012-07-31;1.13629;
2012-08-31;.951478;
2012-09-30;1.264028;
2012-10-31;1.061962;
2012-11-30;1.364028;
2012-12-31;1.222849;
2013-01-31;1.281586;
2013-02-28;1.097768;
2013-03-31;.91975;
2013-04-30;1.060278;
2013-05-31;1.041532;
2013-06-30;1.08724;
2013-07-31;1.078734;
2013-08-31;1.023387;
2013-09-30;1.103889;
2013-10-31;1.165323;
2013-11-30;1.091806;
2013-12-31;1.182527;
2014-01-31;.963575;
2014-02-28;.942411;
2014-03-31;.756317;
2014-04-30;.677222;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;.975538;
2014-09-30;.975139;
2014-10-31;1.022849;
2014-11-30;.911528;
2014-12-31;.760349;
2015-01-31;1.096137;
2015-02-28;.566369;
2015-03-31;.296774;
2015-04-30;.000139;
2015-05-31;.007527;
2015-06-30;.003333;
2015-07-31;.568352;
2015-08-31;.456476;
2015-09-30;.61302;
2015-10-31;1.008194;
2015-11-30;1.102778;
2015-12-31;1.156471;
2016-01-31;1.079167;
2016-02-29;.948563;
2016-03-31;1.072984;
2016-04-30;1.083333;
2016-05-31;null;
2016-06-30;null;
2016-07-31;1.324937;
2016-08-31;1.149118;
2016-09-30;1.384064;
2016-10-31;1.187205;
2016-11-30;1.167222;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;.97676;
2017-04-30;.962729;
2017-05-31;.856739;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;.877222;
2017-10-31;1.178495;
2017-11-30;1.229306;
2017-12-31;1.006855;
2018-01-31;.960753;
2018-02-28;.761607;
2018-03-31;.685484;
2018-04-30;.745139;
2018-05-31;.921505;
2018-06-30;1.169595;
2018-07-31;1.100672;
2018-08-31;1.335;
2018-09-30;.811389;
2018-10-31;null;
2018-11-30;.940517;
2018-12-31;1.062097;
2019-01-31;1.077957;
2019-02-28;.887946;
2019-03-31;.640374;
2019-04-30;.616369;
2019-05-31;.568414;
2019-06-30;.667361;
2019-07-31;1.177419;
2019-08-31;1.018548;
2019-09-30;.851528;
2019-10-31;.928629;
2019-11-30;.893889;
2019-12-31;.970685;
2020-01-31;.909039;
2020-02-29;.809887;
2020-03-31;.712769;
2020-04-30;.914861;
2020-05-31;1.088172;
2020-06-30;.805;
2020-07-31;1.077285;
2020-08-31;.94664;
2020-09-30;.997083;
2020-10-31;.965188;
2020-11-30;1.156944;
2020-12-31;1.216532;
2021-01-31;.85457;
2021-02-28;1.065774;
2021-03-31;.833468;
2021-04-30;.959167;
2021-05-31;1.106567;
2021-06-30;1.079444;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;1.1575;
2022-12-31;.864247;

