Nome: IVAI
Codigo Estacao: A818
Latitude: -25.01083333
Longitude: -50.85388888
Altitude: 803.58
Situacao: Pane
Data Inicial: 2006-07-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;null;
2006-08-31;1.915242;
2006-09-30;2.23471;
2006-10-31;1.874597;
2006-11-30;1.90625;
2006-12-31;1.875134;
2007-01-31;1.68078;
2007-02-28;1.697839;
2007-03-31;1.511512;
2007-04-30;1.607554;
2007-05-31;1.633396;
2007-06-30;1.729867;
2007-07-31;1.905818;
2007-08-31;1.900191;
2007-09-30;2.079583;
2007-10-31;2.139206;
2007-11-30;2.025494;
2007-12-31;1.76129;
2008-01-31;1.943414;
2008-02-29;1.634052;
2008-03-31;1.740457;
2008-04-30;1.608472;
2008-05-31;1.774849;
2008-06-30;1.518627;
2008-07-31;1.693145;
2008-08-31;1.919704;
2008-09-30;2.115139;
2008-10-31;1.978091;
2008-11-30;2.026479;
2008-12-31;2.012231;
2009-01-31;2.024456;
2009-02-28;1.635119;
2009-03-31;1.571102;
2009-04-30;1.579305;
2009-05-31;1.520296;
2009-06-30;1.362917;
2009-07-31;1.384677;
2009-08-31;1.814651;
2009-09-30;1.765972;
2009-10-31;1.804167;
2009-11-30;1.714722;
2009-12-31;1.676479;
2010-01-31;1.680156;
2010-02-28;1.655952;
2010-03-31;1.637097;
2010-04-30;1.758056;
2010-05-31;1.606048;
2010-06-30;1.729722;
2010-07-31;1.732661;
2010-08-31;1.972588;
2010-09-30;1.795;
2010-10-31;1.853495;
2010-11-30;1.782917;
2010-12-31;1.780645;
2011-01-31;1.34664;
2011-02-28;1.511161;
2011-03-31;2.057668;
2011-04-30;1.419722;
2011-05-31;1.621371;
2011-06-30;1.498889;
2011-07-31;1.478629;
2011-08-31;1.920699;
2011-09-30;1.983611;
2011-10-31;1.857527;
2011-11-30;1.877361;
2011-12-31;1.699866;
2012-01-31;1.620699;
2012-02-29;1.278879;
2012-03-31;1.471102;
2012-04-30;1.300833;
2012-05-31;1.46828;
2012-06-30;1.188056;
2012-07-31;1.527419;
2012-08-31;1.749167;
2012-09-30;1.854445;
2012-10-31;1.643414;
2012-11-30;1.670556;
2012-12-31;1.43293;
2013-01-31;1.750672;
2013-02-28;1.298363;
2013-03-31;1.444389;
2013-04-30;1.499722;
2013-05-31;1.331048;
2013-06-30;1.170442;
2013-07-31;1.661378;
2013-08-31;2.015726;
2013-09-30;1.759028;
2013-10-31;1.88078;
2013-11-30;2.15125;
2013-12-31;1.79619;
2014-01-31;1.507392;
2014-02-28;1.855855;
2014-03-31;1.621909;
2014-04-30;1.589384;
2014-05-31;1.471102;
2014-06-30;1.591111;
2014-07-31;1.611693;
2014-08-31;1.664382;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;1.796909;
2015-01-31;1.630148;
2015-02-28;1.445238;
2015-03-31;1.457124;
2015-04-30;1.422917;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;1.205747;
2015-09-30;1.054779;
2015-10-31;1.480499;
2015-11-30;1.614306;
2015-12-31;1.308065;
2016-01-31;1.412816;
2016-02-29;.862644;
2016-03-31;.779167;
2016-04-30;.306785;
2016-05-31;.363139;
2016-06-30;.173947;
2016-07-31;.253489;
2016-08-31;.32327;
2016-09-30;.164964;
2016-10-31;.138701;
2016-11-30;1.561427;
2016-12-31;1.690539;
2017-01-31;1.485753;
2017-02-28;1.45997;
2017-03-31;1.499194;
2017-04-30;1.547876;
2017-05-31;1.288166;
2017-06-30;1.594322;
2017-07-31;1.814772;
2017-08-31;1.839591;
2017-09-30;1.921376;
2017-10-31;null;
2017-11-30;1.796589;
2017-12-31;1.499158;
2018-01-31;1.610484;
2018-02-28;1.755506;
2018-03-31;1.244144;
2018-04-30;1.429229;
2018-05-31;1.505727;
2018-06-30;null;
2018-07-31;1.567617;
2018-08-31;1.750568;
2018-09-30;1.767507;
2018-10-31;1.660238;
2018-11-30;1.981726;
2018-12-31;1.555422;
2019-01-31;1.456452;
2019-02-28;1.551339;
2019-03-31;1.495296;
2019-04-30;1.219397;
2019-05-31;1.355541;
2019-06-30;1.378402;
2019-07-31;1.611428;
2019-08-31;1.787616;
2019-09-30;1.789992;
2019-10-31;1.694724;
2019-11-30;1.589814;
2019-12-31;1.508778;
2020-01-31;1.654789;
2020-02-29;1.654589;
2020-03-31;1.613085;
2020-04-30;1.541245;
2020-05-31;1.625299;
2020-06-30;1.722033;
2020-07-31;1.655609;
2020-08-31;1.75004;
2020-09-30;1.834861;
2020-10-31;1.915995;
2020-11-30;1.735163;
2020-12-31;1.548925;
2021-01-31;1.546237;
2021-02-28;1.664448;
2021-03-31;1.476034;
2021-04-30;1.596184;
2021-05-31;1.605743;
2021-06-30;1.455648;
2021-07-31;1.516955;
2021-08-31;1.785051;
2021-09-30;1.876304;
2021-10-31;1.744503;
2021-11-30;1.873949;
2021-12-31;1.821546;
2022-01-31;1.498925;
2022-02-28;1.356696;
2022-03-31;1.474597;
2022-04-30;1.555628;
2022-05-31;1.295896;
2022-06-30;1.170453;
2022-07-31;1.1359;
2022-08-31;1.501159;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;

