Nome: CASTRO
Codigo Estacao: A819
Latitude: -24.78694444
Longitude: -49.99916666
Altitude: 993.6
Situacao: Fechada
Data Inicial: 2006-07-08
Data Final: 2022-04-28
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;null;
2006-08-31;1.505161;
2006-09-30;2.023485;
2006-10-31;1.9375;
2006-11-30;1.945217;
2006-12-31;1.951033;
2007-01-31;1.872688;
2007-02-28;1.729361;
2007-03-31;1.179057;
2007-04-30;1.425112;
2007-05-31;1.634897;
2007-06-30;1.461769;
2007-07-31;1.678661;
2007-08-31;1.657745;
2007-09-30;1.700287;
2007-10-31;2.082851;
2007-11-30;2.200481;
2007-12-31;1.623656;
2008-01-31;2.147581;
2008-02-29;1.837069;
2008-03-31;1.7625;
2008-04-30;1.509217;
2008-05-31;1.600013;
2008-06-30;1.430216;
2008-07-31;1.287366;
2008-08-31;1.690684;
2008-09-30;2.140833;
2008-10-31;2.10793;
2008-11-30;2.28282;
2008-12-31;1.940457;
2009-01-31;2.155797;
2009-02-28;1.71131;
2009-03-31;1.182392;
2009-04-30;1.007222;
2009-05-31;1.315995;
2009-06-30;1.11875;
2009-07-31;1.171121;
2009-08-31;1.335005;
2009-09-30;1.637361;
2009-10-31;1.556897;
2009-11-30;1.584028;
2009-12-31;1.390323;
2010-01-31;1.306029;
2010-02-28;1.157292;
2010-03-31;1.06828;
2010-04-30;.985972;
2010-05-31;1.019489;
2010-06-30;1.004306;
2010-07-31;.957693;
2010-08-31;1.029224;
2010-09-30;1.576389;
2010-10-31;1.786022;
2010-11-30;1.850139;
2010-12-31;1.872849;
2011-01-31;1.435484;
2011-02-28;1.654167;
2011-03-31;2.173247;
2011-04-30;1.459167;
2011-05-31;1.457258;
2011-06-30;1.333333;
2011-07-31;1.343548;
2011-08-31;2.035887;
2011-09-30;1.929306;
2011-10-31;2.08414;
2011-11-30;1.941528;
2011-12-31;1.894086;
2012-01-31;1.811425;
2012-02-29;1.448132;
2012-03-31;1.665188;
2012-04-30;1.423333;
2012-05-31;1.635753;
2012-06-30;1.343333;
2012-07-31;1.315591;
2012-08-31;1.227419;
2012-09-30;1.679583;
2012-10-31;1.733309;
2012-11-30;1.758744;
2012-12-31;null;
2013-01-31;1.885466;
2013-02-28;null;
2013-03-31;1.758;
2013-04-30;1.402222;
2013-05-31;.953091;
2013-06-30;.842946;
2013-07-31;1.15637;
2013-08-31;1.364651;
2013-09-30;1.311667;
2013-10-31;1.501344;
2013-11-30;1.629028;
2013-12-31;1.455107;
2014-01-31;1.030376;
2014-02-28;1.095089;
2014-03-31;1.04422;
2014-04-30;.912651;
2014-05-31;.870699;
2014-06-30;1.148472;
2014-07-31;1.062231;
2014-08-31;1.116129;
2014-09-30;1.277222;
2014-10-31;1.512687;
2014-11-30;1.388195;
2014-12-31;1.453226;
2015-01-31;1.294624;
2015-02-28;1.015923;
2015-03-31;.882392;
2015-04-30;1.071667;
2015-05-31;1.103495;
2015-06-30;1.206389;
2015-07-31;1.047984;
2015-08-31;.91129;
2015-09-30;1.200074;
2015-10-31;1.513139;
2015-11-30;1.294205;
2015-12-31;1.279673;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;.879306;
2016-05-31;1.101344;
2016-06-30;.802222;
2016-07-31;1.074059;
2016-08-31;1.050403;
2016-09-30;1.341806;
2016-10-31;1.683602;
2016-11-30;1.814722;
2016-12-31;1.852823;
2017-01-31;1.730376;
2017-02-28;1.488244;
2017-03-31;1.770699;
2017-04-30;1.758472;
2017-05-31;1.403898;
2017-06-30;1.540833;
2017-07-31;1.369483;
2017-08-31;1.759946;
2017-09-30;1.503056;
2017-10-31;2.026397;
2017-11-30;1.825833;
2017-12-31;1.6625;
2018-01-31;1.843145;
2018-02-28;1.671344;
2018-03-31;1.325;
2018-04-30;1.286667;
2018-05-31;1.40315;
2018-06-30;1.289444;
2018-07-31;1.122043;
2018-08-31;1.595565;
2018-09-30;1.704028;
2018-10-31;1.740995;
2018-11-30;2.111322;
2018-12-31;1.494624;
2019-01-31;1.446909;
2019-02-28;1.544831;
2019-03-31;1.591801;
2019-04-30;1.139614;
2019-05-31;1.318548;
2019-06-30;1.084444;
2019-07-31;1.385309;
2019-08-31;1.670915;
2019-09-30;1.749583;
2019-10-31;1.748165;
2019-11-30;2.012639;
2019-12-31;1.626221;
2020-01-31;1.759274;
2020-02-29;1.668966;
2020-03-31;1.584677;
2020-04-30;1.387222;
2020-05-31;1.449462;
2020-06-30;1.726111;
2020-07-31;1.542339;
2020-08-31;1.372849;
2020-09-30;1.821582;
2020-10-31;1.934678;
2020-11-30;1.689444;
2020-12-31;1.756586;
2021-01-31;1.842458;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;

