Nome: BAGE
Codigo Estacao: A827
Latitude: -31.34777777
Longitude: -54.01333333
Altitude: 226.19
Situacao: Operante
Data Inicial: 2007-01-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-01-31;3.322685;
2007-02-28;3.528966;
2007-03-31;3.534262;
2007-04-30;3.006624;
2007-05-31;2.745336;
2007-06-30;2.896443;
2007-07-31;3.655127;
2007-08-31;4.405908;
2007-09-30;4.166582;
2007-10-31;3.983047;
2007-11-30;3.226474;
2007-12-31;3.492742;
2008-01-31;4.134677;
2008-02-29;3.475052;
2008-03-31;3.172446;
2008-04-30;2.478124;
2008-05-31;2.923889;
2008-06-30;3.210471;
2008-07-31;3.245006;
2008-08-31;3.424328;
2008-09-30;3.774861;
2008-10-31;3.940995;
2008-11-30;4.145586;
2008-12-31;3.609005;
2009-01-31;3.861892;
2009-02-28;3.283929;
2009-03-31;3.243414;
2009-04-30;2.547083;
2009-05-31;2.981586;
2009-06-30;3.215139;
2009-07-31;3.148118;
2009-08-31;3.955108;
2009-09-30;3.999444;
2009-10-31;3.912644;
2009-11-30;3.886944;
2009-12-31;3.673925;
2010-01-31;3.366679;
2010-02-28;3.66756;
2010-03-31;3.136425;
2010-04-30;3.156389;
2010-05-31;3.359543;
2010-06-30;3.712917;
2010-07-31;4.042339;
2010-08-31;3.693617;
2010-09-30;3.986111;
2010-10-31;2.899328;
2010-11-30;3.384444;
2010-12-31;3.756452;
2011-01-31;3.288038;
2011-02-28;3.41875;
2011-03-31;3.358887;
2011-04-30;2.590417;
2011-05-31;2.769624;
2011-06-30;3.169445;
2011-07-31;3.472623;
2011-08-31;4.118841;
2011-09-30;3.696389;
2011-10-31;3.36707;
2011-11-30;3.8625;
2011-12-31;3.692093;
2012-01-31;4.233065;
2012-02-29;3.343966;
2012-03-31;2.825;
2012-04-30;2.548611;
2012-05-31;3.021774;
2012-06-30;3.239028;
2012-07-31;3.125269;
2012-08-31;4.211156;
2012-09-30;4.286944;
2012-10-31;4.030511;
2012-11-30;3.534861;
2012-12-31;3.362769;
2013-01-31;3.124462;
2013-02-28;3.169196;
2013-03-31;2.7825;
2013-04-30;2.6175;
2013-05-31;2.327285;
2013-06-30;2.206124;
2013-07-31;2.933737;
2013-08-31;2.764382;
2013-09-30;2.695972;
2013-10-31;1.953763;
2013-11-30;2.452361;
2013-12-31;1.4875;
2014-01-31;1.706855;
2014-02-28;1.853125;
2014-03-31;1.058737;
2014-04-30;1.341389;
2014-05-31;.744342;
2014-06-30;null;
2014-07-31;null;
2014-08-31;3.475403;
2014-09-30;3.790833;
2014-10-31;3.893548;
2014-11-30;3.563611;
2014-12-31;3.41129;
2015-01-31;3.127069;
2015-02-28;3.024405;
2015-03-31;2.900538;
2015-04-30;2.859306;
2015-05-31;2.983472;
2015-06-30;3.033969;
2015-07-31;2.961353;
2015-08-31;4.090992;
2015-09-30;3.554598;
2015-10-31;4.194355;
2015-11-30;3.691806;
2015-12-31;3.371774;
2016-01-31;3.363306;
2016-02-29;3.010057;
2016-03-31;3.159677;
2016-04-30;3.509356;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;3.407124;
2016-09-30;3.796528;
2016-10-31;4.009812;
2016-11-30;3.389306;
2016-12-31;3.73078;
2017-01-31;3.386559;
2017-02-28;2.935268;
2017-03-31;null;
2017-04-30;3.531667;
2017-05-31;3.378898;
2017-06-30;null;
2017-07-31;4.080914;
2017-08-31;3.919822;
2017-09-30;4.055972;
2017-10-31;4.068905;
2017-11-30;3.584861;
2017-12-31;3.940995;
2018-01-31;3.868011;
2018-02-28;3.514881;
2018-03-31;3.095161;
2018-04-30;3.199583;
2018-05-31;3.334677;
2018-06-30;2.929341;
2018-07-31;null;
2018-08-31;null;
2018-09-30;4.225803;
2018-10-31;2.754147;
2018-11-30;3.596806;
2018-12-31;3.46371;
2019-01-31;3.761156;
2019-02-28;3.16994;
2019-03-31;3.288172;
2019-04-30;3.255556;
2019-05-31;3.126344;
2019-06-30;3.89569;
2019-07-31;3.694212;
2019-08-31;null;
2019-09-30;3.569765;
2019-10-31;4.392473;
2019-11-30;3.701111;
2019-12-31;3.372446;
2020-01-31;3.591129;
2020-02-29;3.42069;
2020-03-31;3.489113;
2020-04-30;3.340695;
2020-05-31;3.300269;
2020-06-30;3.772664;
2020-07-31;3.868484;
2020-08-31;3.575188;
2020-09-30;3.764448;
2020-10-31;4.10793;
2020-11-30;3.972639;
2020-12-31;3.814458;
2021-01-31;3.703629;
2021-02-28;2.808185;
2021-03-31;2.870565;
2021-04-30;3.211015;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;4.035;
2021-10-31;3.442473;
2021-11-30;3.916528;
2021-12-31;4.017473;
2022-01-31;3.869893;
2022-02-28;3.294048;
2022-03-31;3.473118;
2022-04-30;3.035139;
2022-05-31;null;
2022-06-30;2.778687;
2022-07-31;3.505743;
2022-08-31;3.624573;
2022-09-30;null;
2022-10-31;3.98629;
2022-11-30;3.800278;
2022-12-31;3.764396;

