Nome: ERECHIM
Codigo Estacao: A828
Latitude: -27.65777777
Longitude: -52.30583333
Altitude: 777.08
Situacao: Pane
Data Inicial: 2006-11-24
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;null;
2006-12-31;2.204747;
2007-01-31;1.961559;
2007-02-28;2.061581;
2007-03-31;1.854885;
2007-04-30;2.008931;
2007-05-31;2.062593;
2007-06-30;2.462963;
2007-07-31;2.326281;
2007-08-31;2.706529;
2007-09-30;2.494907;
2007-10-31;2.547538;
2007-11-30;2.16422;
2007-12-31;2.098925;
2008-01-31;2.172581;
2008-02-29;2.141379;
2008-03-31;1.877554;
2008-04-30;1.839547;
2008-05-31;1.995681;
2008-06-30;null;
2008-07-31;2.384368;
2008-08-31;2.434557;
2008-09-30;2.439418;
2008-10-31;2.336838;
2008-11-30;2.285151;
2008-12-31;2.212917;
2009-01-31;2.216839;
2009-02-28;1.990373;
2009-03-31;1.821371;
2009-04-30;1.939081;
2009-05-31;2.026075;
2009-06-30;2.049009;
2009-07-31;null;
2009-08-31;2.404617;
2009-09-30;2.385183;
2009-10-31;2.157471;
2009-11-30;2.384028;
2009-12-31;2.023656;
2010-01-31;2.003617;
2010-02-28;2.121131;
2010-03-31;1.727285;
2010-04-30;2.091389;
2010-05-31;1.904301;
2010-06-30;2.384444;
2010-07-31;2.529704;
2010-08-31;2.51885;
2010-09-30;2.410417;
2010-10-31;2.108333;
2010-11-30;2.074028;
2010-12-31;2.253763;
2011-01-31;1.730511;
2011-02-28;1.883631;
2011-03-31;2.056309;
2011-04-30;1.919583;
2011-05-31;2.048656;
2011-06-30;2.280833;
2011-07-31;2.270833;
2011-08-31;2.827957;
2011-09-30;2.390139;
2011-10-31;2.367742;
2011-11-30;2.229583;
2011-12-31;2.152016;
2012-01-31;2.06129;
2012-02-29;2.091236;
2012-03-31;1.879704;
2012-04-30;1.85;
2012-05-31;2.057661;
2012-06-30;2.034722;
2012-07-31;2.356586;
2012-08-31;2.512116;
2012-09-30;2.473056;
2012-10-31;2.486559;
2012-11-30;2.132778;
2012-12-31;2.439919;
2013-01-31;2.127285;
2013-02-28;1.974256;
2013-03-31;1.976083;
2013-04-30;1.881111;
2013-05-31;2.025806;
2013-06-30;1.887134;
2013-07-31;2.021909;
2013-08-31;2.185618;
2013-09-30;2.059028;
2013-10-31;1.98078;
2013-11-30;2.464861;
2013-12-31;1.843683;
2014-01-31;1.976882;
2014-02-28;2.115327;
2014-03-31;1.856183;
2014-04-30;1.803771;
2014-05-31;null;
2014-06-30;null;
2014-07-31;2.052823;
2014-08-31;2.174866;
2014-09-30;2.344167;
2014-10-31;2.137903;
2014-11-30;1.624167;
2014-12-31;1.868952;
2015-01-31;1.903222;
2015-02-28;1.741815;
2015-03-31;1.626479;
2015-04-30;1.721418;
2015-05-31;1.787863;
2015-06-30;2.21834;
2015-07-31;null;
2015-08-31;2.317608;
2015-09-30;2.040833;
2015-10-31;2.111693;
2015-11-30;1.901944;
2015-12-31;1.774059;
2016-01-31;1.858468;
2016-02-29;1.550144;
2016-03-31;1.699866;
2016-04-30;1.929583;
2016-05-31;null;
2016-06-30;null;
2016-07-31;2.154348;
2016-08-31;1.91035;
2016-09-30;2.035;
2016-10-31;2.226917;
2016-11-30;1.961528;
2016-12-31;1.64672;
2017-01-31;1.594971;
2017-02-28;1.646577;
2017-03-31;1.566532;
2017-04-30;1.639722;
2017-05-31;1.455208;
2017-06-30;1.3809;
2017-07-31;1.323132;
2017-08-31;1.913406;
2017-09-30;1.604028;
2017-10-31;1.594893;
2017-11-30;1.498194;
2017-12-31;1.338978;
2018-01-31;.890137;
2018-02-28;null;
2018-03-31;.690509;
2018-04-30;null;
2018-05-31;0;
2018-06-30;0;
2018-07-31;0;
2018-08-31;0;
2018-09-30;0;
2018-10-31;0;
2018-11-30;0;
2018-12-31;0;
2019-01-31;0;
2019-02-28;0;
2019-03-31;0;
2019-04-30;0;
2019-05-31;0;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;1.281667;
2019-10-31;2.298253;
2019-11-30;2.298056;
2019-12-31;1.953226;
2020-01-31;1.888844;
2020-02-29;1.917816;
2020-03-31;1.774597;
2020-04-30;1.778333;
2020-05-31;1.885117;
2020-06-30;2.3125;
2020-07-31;2.296102;
2020-08-31;2.219624;
2020-09-30;2.282917;
2020-10-31;2.281989;
2020-11-30;2.184444;
2020-12-31;2.071102;
2021-01-31;1.989516;
2021-02-28;1.770833;
2021-03-31;1.762634;
2021-04-30;1.673194;
2021-05-31;1.675;
2021-06-30;1.777361;
2021-07-31;1.718683;
2021-08-31;1.741886;
2021-09-30;null;
2021-10-31;null;
2021-11-30;1.704306;
2021-12-31;1.727554;
2022-01-31;1.747257;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;1.49325;
2022-07-31;2.112516;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;1.742478;
2022-12-31;null;

