Nome: SAO GABRIEL
Codigo Estacao: A832
Latitude: -30.34138888
Longitude: -54.31083333
Altitude: 114.89
Situacao: Operante
Data Inicial: 2007-07-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;1.982415;
2007-12-31;2.161828;
2008-01-31;3.059812;
2008-02-29;2.174253;
2008-03-31;2.01648;
2008-04-30;1.071389;
2008-05-31;1.443768;
2008-06-30;1.689347;
2008-07-31;2.032392;
2008-08-31;2.003226;
2008-09-30;2.353333;
2008-10-31;2.65;
2008-11-30;2.931389;
2008-12-31;2.232393;
2009-01-31;2.535618;
2009-02-28;2.099405;
2009-03-31;1.801479;
2009-04-30;1.220139;
2009-05-31;1.624328;
2009-06-30;1.717083;
2009-07-31;1.657124;
2009-08-31;2.200806;
2009-09-30;2.389444;
2009-10-31;2.570833;
2009-11-30;2.548472;
2009-12-31;2.244489;
2010-01-31;2.053226;
2010-02-28;2.022768;
2010-03-31;1.608199;
2010-04-30;1.610417;
2010-05-31;1.77379;
2010-06-30;1.940833;
2010-07-31;2.239382;
2010-08-31;2.173925;
2010-09-30;2.722083;
2010-10-31;1.889247;
2010-11-30;1.717917;
2010-12-31;2.822043;
2011-01-31;2.244489;
2011-02-28;2.320833;
2011-03-31;2.572295;
2011-04-30;1.544306;
2011-05-31;1.833065;
2011-06-30;1.706389;
2011-07-31;1.825538;
2011-08-31;2.808333;
2011-09-30;2.401806;
2011-10-31;2.027419;
2011-11-30;2.690972;
2011-12-31;2.205242;
2012-01-31;2.693683;
2012-02-29;null;
2012-03-31;null;
2012-04-30;1.301528;
2012-05-31;1.594758;
2012-06-30;1.423339;
2012-07-31;1.430645;
2012-08-31;2.246322;
2012-09-30;2.548194;
2012-10-31;2.541129;
2012-11-30;2.326111;
2012-12-31;1.950801;
2013-01-31;2.180914;
2013-02-28;1.997917;
2013-03-31;1.967972;
2013-04-30;1.692222;
2013-05-31;1.391784;
2013-06-30;1.407326;
2013-07-31;1.490188;
2013-08-31;1.56922;
2013-09-30;2.011944;
2013-10-31;2.105511;
2013-11-30;2.527361;
2013-12-31;2.050672;
2014-01-31;1.801478;
2014-02-28;1.971875;
2014-03-31;1.395564;
2014-04-30;1.874722;
2014-05-31;1.371909;
2014-06-30;2.087222;
2014-07-31;.502244;
2014-08-31;.201613;
2014-09-30;.631528;
2014-10-31;.760618;
2014-11-30;.439028;
2014-12-31;.385887;
2015-01-31;.342876;
2015-02-28;2.028766;
2015-03-31;2.1;
2015-04-30;1.809583;
2015-05-31;2.006317;
2015-06-30;1.759524;
2015-07-31;1.847666;
2015-08-31;2.366936;
2015-09-30;2.05775;
2015-10-31;2.952554;
2015-11-30;2.836389;
2015-12-31;2.46371;
2016-01-31;2.412097;
2016-02-29;1.241236;
2016-03-31;1.648656;
2016-04-30;1.726111;
2016-05-31;1.176576;
2016-06-30;1.117198;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;2.829745;
2016-11-30;2.572917;
2016-12-31;2.534677;
2017-01-31;2.505108;
2017-02-28;1.871726;
2017-03-31;2.596774;
2017-04-30;2.595694;
2017-05-31;2.43871;
2017-06-30;2.285972;
2017-07-31;2.266263;
2017-08-31;2.82043;
2017-09-30;2.781528;
2017-10-31;2.82164;
2017-11-30;2.408194;
2017-12-31;2.413038;
2018-01-31;2.483737;
2018-02-28;2.170238;
2018-03-31;2.028629;
2018-04-30;1.966806;
2018-05-31;2.235618;
2018-06-30;1.799861;
2018-07-31;2.469489;
2018-08-31;2.55;
2018-09-30;2.902917;
2018-10-31;2.788441;
2018-11-30;2.909028;
2018-12-31;2.359946;
2019-01-31;2.460887;
2019-02-28;2.290923;
2019-03-31;2.135349;
2019-04-30;1.818889;
2019-05-31;1.998118;
2019-06-30;1.961111;
2019-07-31;1.855376;
2019-08-31;2.336962;
2019-09-30;2.442361;
2019-10-31;2.839785;
2019-11-30;2.745972;
2019-12-31;2.29785;
2020-01-31;2.613575;
2020-02-29;2.530316;
2020-03-31;2.332258;
2020-04-30;2.334028;
2020-05-31;1.776344;
2020-06-30;2.329306;
2020-07-31;2.166936;
2020-08-31;2.361559;
2020-09-30;2.551389;
2020-10-31;2.861022;
2020-11-30;2.779167;
2020-12-31;2.539516;
2021-01-31;2.474462;
2021-02-28;1.908482;
2021-03-31;1.887097;
2021-04-30;2.459583;
2021-05-31;1.708737;
2021-06-30;1.981528;
2021-07-31;1.745833;
2021-08-31;2.359543;
2021-09-30;2.755588;
2021-10-31;2.428017;
2021-11-30;2.560139;
2021-12-31;2.768414;
2022-01-31;2.685849;
2022-02-28;2.226191;
2022-03-31;2.258602;
2022-04-30;2.063889;
2022-05-31;1.698253;
2022-06-30;1.652639;
2022-07-31;2.368952;
2022-08-31;2.273667;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;2.416398;

