Nome: SANTIAGO
Codigo Estacao: A833
Latitude: -29.191599
Longitude: -54.885653
Altitude: 390.03
Situacao: Operante
Data Inicial: 2009-02-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-02-28;null;
2009-03-31;null;
2009-04-30;2.983889;
2009-05-31;3.117339;
2009-06-30;3.174167;
2009-07-31;2.981989;
2009-08-31;3.97957;
2009-09-30;3.834861;
2009-10-31;3.792385;
2009-11-30;3.678333;
2009-12-31;3.345699;
2010-01-31;3.052786;
2010-02-28;3.405952;
2010-03-31;2.893952;
2010-04-30;3.034028;
2010-05-31;2.967742;
2010-06-30;3.283194;
2010-07-31;3.350269;
2010-08-31;3.570876;
2010-09-30;3.404444;
2010-10-31;3.084946;
2010-11-30;2.944583;
2010-12-31;3.207392;
2011-01-31;2.602285;
2011-02-28;2.895536;
2011-03-31;2.960578;
2011-04-30;null;
2011-05-31;2.912019;
2011-06-30;3.153889;
2011-07-31;2.797192;
2011-08-31;3.623477;
2011-09-30;3.391111;
2011-10-31;3.038575;
2011-11-30;3.017222;
2011-12-31;2.923253;
2012-01-31;3.026344;
2012-02-29;2.886063;
2012-03-31;2.545161;
2012-04-30;2.419028;
2012-05-31;2.527419;
2012-06-30;2.723472;
2012-07-31;3.023656;
2012-08-31;3.666321;
2012-09-30;3.383472;
2012-10-31;3.29422;
2012-11-30;2.834444;
2012-12-31;3.074059;
2013-01-31;2.633602;
2013-02-28;2.480804;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;2.652244;
2013-08-31;2.989516;
2013-09-30;2.85;
2013-10-31;2.717742;
2013-11-30;3.02875;
2013-12-31;2.253898;
2014-01-31;2.569624;
2014-02-28;2.727827;
2014-03-31;2.134812;
2014-04-30;1.677778;
2014-05-31;1.493952;
2014-06-30;2.095278;
2014-07-31;2.740457;
2014-08-31;2.836425;
2014-09-30;null;
2014-10-31;null;
2014-11-30;2.460139;
2014-12-31;2.596237;
2015-01-31;2.370062;
2015-02-28;2.010268;
2015-03-31;2.051747;
2015-04-30;1.772778;
2015-05-31;2.205242;
2015-06-30;2.619306;
2015-07-31;null;
2015-08-31;3.073077;
2015-09-30;null;
2015-10-31;null;
2015-11-30;2.39625;
2015-12-31;2.365311;
2016-01-31;2.089382;
2016-02-29;1.990086;
2016-03-31;2.01129;
2016-04-30;1.877083;
2016-05-31;1.303226;
2016-06-30;1.015972;
2016-07-31;1.663307;
2016-08-31;1.608871;
2016-09-30;1.664861;
2016-10-31;1.582918;
2016-11-30;1.436667;
2016-12-31;1.674866;
2017-01-31;1.532527;
2017-02-28;1.483929;
2017-03-31;1.911962;
2017-04-30;2.175;
2017-05-31;null;
2017-06-30;null;
2017-07-31;2.761694;
2017-08-31;2.357124;
2017-09-30;1.63375;
2017-10-31;2.047446;
2017-11-30;2.07224;
2017-12-31;1.932661;
2018-01-31;2.076427;
2018-02-28;1.747917;
2018-03-31;1.766806;
2018-04-30;1.774583;
2018-05-31;1.972446;
2018-06-30;2.095972;
2018-07-31;null;
2018-08-31;null;
2018-09-30;2.030972;
2018-10-31;1.156855;
2018-11-30;null;
2018-12-31;null;
2019-01-31;2.316264;
2019-02-28;1.835417;
2019-03-31;1.816532;
2019-04-30;null;
2019-05-31;null;
2019-06-30;2.72128;
2019-07-31;2.073253;
2019-08-31;2.344489;
2019-09-30;2.112222;
2019-10-31;2.374597;
2019-11-30;1.967778;
2019-12-31;1.946541;
2020-01-31;1.966801;
2020-02-29;1.968822;
2020-03-31;1.74086;
2020-04-30;1.892482;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;2.426963;
2020-09-30;2.058132;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;2.126344;
2021-02-28;1.636161;
2021-03-31;1.620027;
2021-04-30;1.809722;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;1.776868;
2021-11-30;null;
2021-12-31;1.910288;
2022-01-31;2.372195;
2022-02-28;2.016186;
2022-03-31;2.153557;
2022-04-30;1.833994;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;2.000222;
2022-09-30;1.942526;
2022-10-31;2.017552;
2022-11-30;1.857642;
2022-12-31;1.762252;

