Nome: TRAMANDAI
Codigo Estacao: A834
Latitude: -30.01027777
Longitude: -50.13583333
Altitude: 4.56
Situacao: Operante
Data Inicial: 2008-03-08
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;4.445833;
2008-04-30;3.687917;
2008-05-31;4.387252;
2008-06-30;3.906727;
2008-07-31;3.880914;
2008-08-31;4.767169;
2008-09-30;5.439469;
2008-10-31;6.13414;
2008-11-30;6.687222;
2008-12-31;4.880376;
2009-01-31;4.862395;
2009-02-28;4.341816;
2009-03-31;5.066532;
2009-04-30;4.318333;
2009-05-31;3.923118;
2009-06-30;3.998194;
2009-07-31;3.888038;
2009-08-31;4.314463;
2009-09-30;4.746502;
2009-10-31;5.198286;
2009-11-30;4.930374;
2009-12-31;5.254435;
2010-01-31;4.68805;
2010-02-28;4.236161;
2010-03-31;4.974462;
2010-04-30;4.1025;
2010-05-31;4.403091;
2010-06-30;4.475278;
2010-07-31;4.467742;
2010-08-31;4.276063;
2010-09-30;5.387778;
2010-10-31;4.437769;
2010-11-30;5.045695;
2010-12-31;5.479167;
2011-01-31;3.97715;
2011-02-28;4.254762;
2011-03-31;4.894121;
2011-04-30;3.296806;
2011-05-31;3.751817;
2011-06-30;3.765972;
2011-07-31;4.070115;
2011-08-31;5.002917;
2011-09-30;5.360906;
2011-10-31;5.283639;
2011-11-30;6.166452;
2011-12-31;5.378331;
2012-01-31;5.182392;
2012-02-29;3.754848;
2012-03-31;4.074077;
2012-04-30;4.178804;
2012-05-31;3.663926;
2012-06-30;3.124028;
2012-07-31;3.463017;
2012-08-31;5.154641;
2012-09-30;5.67931;
2012-10-31;5.439167;
2012-11-30;5.58058;
2012-12-31;5.003138;
2013-01-31;5.156335;
2013-02-28;4.345089;
2013-03-31;4.648864;
2013-04-30;4.129173;
2013-05-31;3.043233;
2013-06-30;3.013686;
2013-07-31;2.85994;
2013-08-31;3.736483;
2013-09-30;3.742639;
2013-10-31;5.026613;
2013-11-30;5.859167;
2013-12-31;4.810852;
2014-01-31;3.811828;
2014-02-28;4.878571;
2014-03-31;4.180242;
2014-04-30;4.597397;
2014-05-31;3.06707;
2014-06-30;3.472361;
2014-07-31;4.08203;
2014-08-31;3.762851;
2014-09-30;5.05849;
2014-10-31;5.465399;
2014-11-30;4.685423;
2014-12-31;4.579032;
2015-01-31;4.064247;
2015-02-28;4.499405;
2015-03-31;4.210011;
2015-04-30;4.033056;
2015-05-31;4.266211;
2015-06-30;2.738889;
2015-07-31;2.928764;
2015-08-31;4.650672;
2015-09-30;4.078889;
2015-10-31;5.050111;
2015-11-30;5.29729;
2015-12-31;null;
2016-01-31;4.606452;
2016-02-29;3.637588;
2016-03-31;4.335759;
2016-04-30;2.67847;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;5.758252;
2016-11-30;4.834444;
2016-12-31;5.049205;
2017-01-31;4.403261;
2017-02-28;3.74582;
2017-03-31;4.971833;
2017-04-30;4.543581;
2017-05-31;4.374959;
2017-06-30;3.242832;
2017-07-31;3.515054;
2017-08-31;4.732287;
2017-09-30;5.204644;
2017-10-31;5.028091;
2017-11-30;5.077766;
2017-12-31;5.412997;
2018-01-31;null;
2018-02-28;null;
2018-03-31;3.640199;
2018-04-30;3.607168;
2018-05-31;3.843513;
2018-06-30;2.966806;
2018-07-31;3.411425;
2018-08-31;3.889516;
2018-09-30;4.763605;
2018-10-31;5.33629;
2018-11-30;5.398708;
2018-12-31;3.099328;
2019-01-31;2.386016;
2019-02-28;1.759013;
2019-03-31;2.605873;
2019-04-30;1.428889;
2019-05-31;2.21586;
2019-06-30;.905996;
2019-07-31;1.337851;
2019-08-31;1.459274;
2019-09-30;2.373056;
2019-10-31;2.78172;
2019-11-30;4.343827;
2019-12-31;5.044355;
2020-01-31;5.032527;
2020-02-29;4.766379;
2020-03-31;4.346505;
2020-04-30;2.922778;
2020-05-31;1.372043;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;4.62621;

