Nome: SOLEDADE
Codigo Estacao: A837
Latitude: -28.859211
Longitude: -52.542387
Altitude: 660.44
Situacao: Operante
Data Inicial: 2008-02-29
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;null;
2008-03-31;4.144499;
2008-04-30;3.308472;
2008-05-31;3.907808;
2008-06-30;3.882313;
2008-07-31;4.116885;
2008-08-31;4.696505;
2008-09-30;5.053865;
2008-10-31;4.868952;
2008-11-30;4.989028;
2008-12-31;4.282661;
2009-01-31;4.559894;
2009-02-28;4.010565;
2009-03-31;3.63359;
2009-04-30;3.721111;
2009-05-31;3.844892;
2009-06-30;4.182222;
2009-07-31;3.836886;
2009-08-31;4.624731;
2009-09-30;4.938194;
2009-10-31;4.550843;
2009-11-30;4.680556;
2009-12-31;4.141801;
2010-01-31;3.542991;
2010-02-28;3.884673;
2010-03-31;3.494092;
2010-04-30;4.171667;
2010-05-31;3.964516;
2010-06-30;4.345972;
2010-07-31;4.884812;
2010-08-31;5.029021;
2010-09-30;4.634722;
2010-10-31;3.966801;
2010-11-30;4.109167;
2010-12-31;4.46922;
2011-01-31;3.49328;
2011-02-28;3.919494;
2011-03-31;4.191153;
2011-04-30;3.647778;
2011-05-31;4.141544;
2011-06-30;4.114167;
2011-07-31;4.312716;
2011-08-31;5.536962;
2011-09-30;4.623333;
2011-10-31;4.465369;
2011-11-30;4.652778;
2011-12-31;4.494893;
2012-01-31;4.345565;
2012-02-29;null;
2012-03-31;null;
2012-04-30;3.699891;
2012-05-31;3.902016;
2012-06-30;3.692111;
2012-07-31;4.451075;
2012-08-31;5.708683;
2012-09-30;5.197917;
2012-10-31;4.448387;
2012-11-30;4.647222;
2012-12-31;4.390995;
2013-01-31;3.489247;
2013-02-28;2.143006;
2013-03-31;2.559398;
2013-04-30;1.696111;
2013-05-31;1.823925;
2013-06-30;2.099728;
2013-07-31;2.655242;
2013-08-31;4.214779;
2013-09-30;3.400278;
2013-10-31;3.442608;
2013-11-30;4.442639;
2013-12-31;3.00793;
2014-01-31;2.822581;
2014-02-28;3.046726;
2014-03-31;2.66707;
2014-04-30;3.511806;
2014-05-31;1.955242;
2014-06-30;3.34875;
2014-07-31;3.4625;
2014-08-31;2.965029;
2014-09-30;3.894583;
2014-10-31;3.394624;
2014-11-30;3.102361;
2014-12-31;2.886425;
2015-01-31;null;
2015-02-28;null;
2015-03-31;3.974866;
2015-04-30;3.854861;
2015-05-31;4.246237;
2015-06-30;4.031111;
2015-07-31;4.250269;
2015-08-31;5.01828;
2015-09-30;4.467198;
2015-10-31;4.955511;
2015-11-30;4.775278;
2015-12-31;4.260618;
2016-01-31;4.184812;
2016-02-29;3.527586;
2016-03-31;3.997849;
2016-04-30;4.157083;
2016-05-31;3.891935;
2016-06-30;3.27551;
2016-07-31;4.418081;
2016-08-31;4.112231;
2016-09-30;4.341528;
2016-10-31;4.762366;
2016-11-30;4.201465;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;4.366389;
2017-05-31;4.687634;
2017-06-30;4.653472;
2017-07-31;4.530108;
2017-08-31;4.831989;
2017-09-30;4.922778;
2017-10-31;4.759812;
2017-11-30;null;
2017-12-31;4.420968;
2018-01-31;4.209409;
2018-02-28;3.701191;
2018-03-31;3.647849;
2018-04-30;3.733611;
2018-05-31;4.016398;
2018-06-30;3.944028;
2018-07-31;4.665054;
2018-08-31;4.465726;
2018-09-30;4.491111;
2018-10-31;4.974597;
2018-11-30;4.740278;
2018-12-31;4.184409;
2019-01-31;4.277957;
2019-02-28;3.976637;
2019-03-31;4.133871;
2019-04-30;3.684722;
2019-05-31;4.207258;
2019-06-30;4.452222;
2019-07-31;3.907392;
2019-08-31;4.827735;
2019-09-30;4.813611;
2019-10-31;4.966801;
2019-11-30;4.874306;
2019-12-31;4.310887;
2020-01-31;4.213306;
2020-02-29;4.18204;
2020-03-31;4.047715;
2020-04-30;4.19;
2020-05-31;4.203495;
2020-06-30;5.04625;
2020-07-31;null;
2020-08-31;4.160558;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;3.575321;
2021-03-31;3.324059;
2021-04-30;4.339167;
2021-05-31;3.841936;
2021-06-30;4.288611;
2021-07-31;3.896237;
2021-08-31;4.536962;
2021-09-30;4.641667;
2021-10-31;4.243817;
2021-11-30;4.649167;
2021-12-31;4.178898;
2022-01-31;4.244489;
2022-02-28;2.16875;
2022-03-31;2.644624;
2022-04-30;2.671111;
2022-05-31;2.634812;
2022-06-30;2.667639;
2022-07-31;3.821774;
2022-08-31;3.255511;
2022-09-30;2.916111;
2022-10-31;3.026075;
2022-11-30;3.899028;
2022-12-31;3.050134;

