Nome: CAMAQUA
Codigo Estacao: A838
Latitude: -30.807953
Longitude: -51.83424
Altitude: 92.3
Situacao: Operante
Data Inicial: 2006-12-11
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;null;
2007-01-31;1.748387;
2007-02-28;1.702769;
2007-03-31;1.58511;
2007-04-30;1.335408;
2007-05-31;1.242298;
2007-06-30;1.296003;
2007-07-31;1.675625;
2007-08-31;1.95273;
2007-09-30;1.68871;
2007-10-31;1.904296;
2007-11-30;1.820722;
2007-12-31;1.91828;
2008-01-31;2.044355;
2008-02-29;1.66342;
2008-03-31;1.491053;
2008-04-30;1.326944;
2008-05-31;1.487416;
2008-06-30;1.365114;
2008-07-31;1.180959;
2008-08-31;1.439826;
2008-09-30;1.990519;
2008-10-31;1.936828;
2008-11-30;2.213611;
2008-12-31;1.856586;
2009-01-31;1.765995;
2009-02-28;1.422173;
2009-03-31;1.456048;
2009-04-30;1.267917;
2009-05-31;1.147312;
2009-06-30;1.196667;
2009-07-31;1.115995;
2009-08-31;1.368548;
2009-09-30;1.850972;
2009-10-31;1.583727;
2009-11-30;1.510278;
2009-12-31;1.616935;
2010-01-31;1.361386;
2010-02-28;1.317113;
2010-03-31;1.314247;
2010-04-30;1.107639;
2010-05-31;1.433199;
2010-06-30;1.044861;
2010-07-31;.969028;
2010-08-31;.956048;
2010-09-30;1.533477;
2010-10-31;1.433468;
2010-11-30;1.680167;
2010-12-31;1.702285;
2011-01-31;1.138719;
2011-02-28;null;
2011-03-31;null;
2011-04-30;.988889;
2011-05-31;1.068414;
2011-06-30;1.197977;
2011-07-31;1.174719;
2011-08-31;1.836962;
2011-09-30;1.574722;
2011-10-31;1.683529;
2011-11-30;1.757083;
2011-12-31;1.735753;
2012-01-31;1.764183;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;.99422;
2012-06-30;.974167;
2012-07-31;1.274866;
2012-08-31;1.358391;
2012-09-30;1.75375;
2012-10-31;1.713575;
2012-11-30;1.687083;
2012-12-31;1.576075;
2013-01-31;1.561425;
2013-02-28;1.4625;
2013-03-31;1.367472;
2013-04-30;1.227083;
2013-05-31;.996909;
2013-06-30;.941465;
2013-07-31;.619892;
2013-08-31;1.148656;
2013-09-30;1.394722;
2013-10-31;1.347446;
2013-11-30;1.337452;
2013-12-31;1.091532;
2014-01-31;.87957;
2014-02-28;1.000298;
2014-03-31;.654973;
2014-04-30;.74;
2014-05-31;.418983;
2014-06-30;null;
2014-07-31;null;
2014-08-31;.704769;
2014-09-30;1.060972;
2014-10-31;.972177;
2014-11-30;.9725;
2014-12-31;.854167;
2015-01-31;.731048;
2015-02-28;.699256;
2015-03-31;.714247;
2015-04-30;.631667;
2015-05-31;.572302;
2015-06-30;.349757;
2015-07-31;.46901;
2015-08-31;.619109;
2015-09-30;.772842;
2015-10-31;1.079016;
2015-11-30;.943611;
2015-12-31;.763441;
2016-01-31;.822715;
2016-02-29;.697414;
2016-03-31;.76922;
2016-04-30;.526013;
2016-05-31;.398043;
2016-06-30;.300999;
2016-07-31;.482754;
2016-08-31;.483897;
2016-09-30;.91443;
2016-10-31;.847043;
2016-11-30;.704306;
2016-12-31;.741667;
2017-01-31;.486425;
2017-02-28;.336458;
2017-03-31;.398118;
2017-04-30;.419306;
2017-05-31;.315252;
2017-06-30;.362709;
2017-07-31;.237358;
2017-08-31;.421022;
2017-09-30;null;
2017-10-31;null;
2017-11-30;.53375;
2017-12-31;.521371;
2018-01-31;.502957;
2018-02-28;.376495;
2018-03-31;.308053;
2018-04-30;.101944;
2018-05-31;.11705;
2018-06-30;.150168;
2018-07-31;.222739;
2018-08-31;.307615;
2018-09-30;.316419;
2018-10-31;.309292;
2018-11-30;.294583;
2018-12-31;.285753;
2019-01-31;.265457;
2019-02-28;.102976;
2019-03-31;.153898;
2019-04-30;.089167;
2019-05-31;.118548;
2019-06-30;.070167;
2019-07-31;.092608;
2019-08-31;.709985;
2019-09-30;1.30528;
2019-10-31;null;
2019-11-30;null;
2019-12-31;1.370027;
2020-01-31;1.276882;
2020-02-29;1.350431;
2020-03-31;1.061676;
2020-04-30;1.178128;
2020-05-31;.858363;
2020-06-30;.840545;
2020-07-31;.94493;
2020-08-31;.89339;
2020-09-30;1.369201;
2020-10-31;1.597832;
2020-11-30;1.428611;
2020-12-31;1.401882;
2021-01-31;1.373253;
2021-02-28;1.139881;
2021-03-31;1.108468;
2021-04-30;1.034722;
2021-05-31;1.060484;
2021-06-30;1.088792;
2021-07-31;.845048;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;1.203833;
2022-01-31;1.085753;
2022-02-28;.612351;
2022-03-31;.551882;
2022-04-30;.401375;
2022-05-31;.436179;
2022-06-30;null;
2022-07-31;.368525;
2022-08-31;.554947;
2022-09-30;.743052;
2022-10-31;.802935;
2022-11-30;.846193;
2022-12-31;.876279;

