Nome: PASSO FUNDO
Codigo Estacao: A839
Latitude: -28.226805
Longitude: -52.403582
Altitude: 680.67
Situacao: Operante
Data Inicial: 2006-11-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;null;
2006-12-31;3.625067;
2007-01-31;3.296933;
2007-02-28;3.635229;
2007-03-31;2.94186;
2007-04-30;3.153056;
2007-05-31;3.471961;
2007-06-30;3.627385;
2007-07-31;3.670646;
2007-08-31;4.525047;
2007-09-30;4.087191;
2007-10-31;4.262155;
2007-11-30;3.571754;
2007-12-31;3.540323;
2008-01-31;3.843011;
2008-02-29;3.287988;
2008-03-31;3.510279;
2008-04-30;2.91125;
2008-05-31;3.336288;
2008-06-30;3.402796;
2008-07-31;3.505511;
2008-08-31;3.644478;
2008-09-30;4.037651;
2008-10-31;3.950149;
2008-11-30;4.167639;
2008-12-31;3.690457;
2009-01-31;3.766211;
2009-02-28;3.28378;
2009-03-31;2.980242;
2009-04-30;3.094305;
2009-05-31;3.251882;
2009-06-30;3.370833;
2009-07-31;3.04207;
2009-08-31;3.726882;
2009-09-30;3.804583;
2009-10-31;3.534795;
2009-11-30;3.759583;
2009-12-31;3.374597;
2010-01-31;3.106586;
2010-02-28;3.16756;
2010-03-31;2.484274;
2010-04-30;2.879444;
2010-05-31;2.43172;
2010-06-30;3.235695;
2010-07-31;3.51035;
2010-08-31;3.849246;
2010-09-30;3.874445;
2010-10-31;3.165726;
2010-11-30;3.162917;
2010-12-31;3.564113;
2011-01-31;2.810215;
2011-02-28;2.969792;
2011-03-31;3.541978;
2011-04-30;2.815278;
2011-05-31;3.207702;
2011-06-30;3.075833;
2011-07-31;3.111659;
2011-08-31;4.220699;
2011-09-30;3.719444;
2011-10-31;3.506586;
2011-11-30;3.602222;
2011-12-31;3.233737;
2012-01-31;3.147446;
2012-02-29;2.992672;
2012-03-31;2.556048;
2012-04-30;2.595278;
2012-05-31;2.990726;
2012-06-30;2.415713;
2012-07-31;1.192876;
2012-08-31;2.570789;
2012-09-30;2.927917;
2012-10-31;2.778226;
2012-11-30;2.947094;
2012-12-31;3.708065;
2013-01-31;3.542204;
2013-02-28;3.088542;
2013-03-31;3.323028;
2013-04-30;2.918472;
2013-05-31;3.033468;
2013-06-30;2.984306;
2013-07-31;3.304967;
2013-08-31;3.700941;
2013-09-30;3.56125;
2013-10-31;3.49422;
2013-11-30;4.343889;
2013-12-31;3.580107;
2014-01-31;3.31371;
2014-02-28;3.476637;
2014-03-31;3.234409;
2014-04-30;3.541184;
2014-05-31;2.765188;
2014-06-30;3.719444;
2014-07-31;3.65336;
2014-08-31;3.482796;
2014-09-30;4.102083;
2014-10-31;3.940323;
2014-11-30;3.631389;
2014-12-31;3.628091;
2015-01-31;3.060349;
2015-02-28;3.040476;
2015-03-31;2.328763;
2015-04-30;1.858889;
2015-05-31;2.1;
2015-06-30;2.62375;
2015-07-31;2.73293;
2015-08-31;3.767251;
2015-09-30;3.268056;
2015-10-31;3.790054;
2015-11-30;3.547222;
2015-12-31;3.316398;
2016-01-31;3.403091;
2016-02-29;2.829885;
2016-03-31;3.07379;
2016-04-30;3.094861;
2016-05-31;2.729932;
2016-06-30;2.681389;
2016-07-31;3.436694;
2016-08-31;3.275538;
2016-09-30;3.235556;
2016-10-31;3.732205;
2016-11-30;3.415972;
2016-12-31;3.313979;
2017-01-31;3.090054;
2017-02-28;3.051339;
2017-03-31;3.274866;
2017-04-30;3.438194;
2017-05-31;3.587946;
2017-06-30;3.437058;
2017-07-31;null;
2017-08-31;3.802554;
2017-09-30;3.757371;
2017-10-31;null;
2017-11-30;3.399028;
2017-12-31;3.388441;
2018-01-31;3.353495;
2018-02-28;3.157143;
2018-03-31;2.645833;
2018-04-30;2.833194;
2018-05-31;2.929704;
2018-06-30;2.904861;
2018-07-31;3.308199;
2018-08-31;3.428763;
2018-09-30;3.373472;
2018-10-31;3.744624;
2018-11-30;3.631389;
2018-12-31;3.119565;
2019-01-31;3.181183;
2019-02-28;2.898214;
2019-03-31;2.977151;
2019-04-30;2.523611;
2019-05-31;2.837727;
2019-06-30;3.310417;
2019-07-31;2.958468;
2019-08-31;3.766532;
2019-09-30;3.768472;
2019-10-31;3.744624;
2019-11-30;3.720833;
2019-12-31;3.177688;
2020-01-31;3.188978;
2020-02-29;3.112069;
2020-03-31;3.069086;
2020-04-30;2.953056;
2020-05-31;3.052151;
2020-06-30;null;
2020-07-31;null;
2020-08-31;3.51707;
2020-09-30;3.660417;
2020-10-31;3.639382;
2020-11-30;3.620972;
2020-12-31;3.226882;
2021-01-31;3.339247;
2021-02-28;2.755952;
2021-03-31;2.585753;
2021-04-30;3.313472;
2021-05-31;2.829435;
2021-06-30;3.147778;
2021-07-31;3.129435;
2021-08-31;3.584812;
2021-09-30;3.570977;
2021-10-31;3.375806;
2021-11-30;3.431667;
2021-12-31;3.625807;
2022-01-31;3.555296;
2022-02-28;2.843452;
2022-03-31;3.198253;
2022-04-30;3.183194;
2022-05-31;2.896909;
2022-06-30;2.897917;
2022-07-31;3.342742;
2022-08-31;3.356048;
2022-09-30;3.572778;
2022-10-31;3.219086;
2022-11-30;3.708194;
2022-12-31;3.222581;

