Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.164581
Longitude: -51.534202
Altitude: 623.27
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;null;
2006-12-31;2.878596;
2007-01-31;2.751747;
2007-02-28;null;
2007-03-31;2.333727;
2007-04-30;2.633144;
2007-05-31;2.701759;
2007-06-30;3.003372;
2007-07-31;2.834426;
2007-08-31;3.558193;
2007-09-30;3.187639;
2007-10-31;3.252513;
2007-11-30;2.706923;
2007-12-31;2.795565;
2008-01-31;3.075;
2008-02-29;2.852443;
2008-03-31;2.706586;
2008-04-30;2.388889;
2008-05-31;2.716667;
2008-06-30;2.57625;
2008-07-31;2.745968;
2008-08-31;2.911694;
2008-09-30;3.329583;
2008-10-31;2.935618;
2008-11-30;3.278152;
2008-12-31;2.776344;
2009-01-31;2.792473;
2009-02-28;2.605804;
2009-03-31;2.502285;
2009-04-30;2.382639;
2009-05-31;2.597177;
2009-06-30;2.561944;
2009-07-31;null;
2009-08-31;null;
2009-09-30;3.162739;
2009-10-31;2.812931;
2009-11-30;2.931111;
2009-12-31;2.650538;
2010-01-31;2.54361;
2010-02-28;2.755357;
2010-03-31;2.181183;
2010-04-30;2.437778;
2010-05-31;2.247581;
2010-06-30;2.814444;
2010-07-31;3.236694;
2010-08-31;3.189952;
2010-09-30;3.125503;
2010-10-31;2.424518;
2010-11-30;2.526806;
2010-12-31;2.816532;
2011-01-31;2.386962;
2011-02-28;2.376339;
2011-03-31;2.909673;
2011-04-30;2.266667;
2011-05-31;2.502554;
2011-06-30;2.669028;
2011-07-31;2.591667;
2011-08-31;3.307484;
2011-09-30;3.117083;
2011-10-31;2.842473;
2011-11-30;2.935556;
2011-12-31;2.82957;
2012-01-31;2.918683;
2012-02-29;2.608764;
2012-03-31;2.559946;
2012-04-30;2.304583;
2012-05-31;2.51828;
2012-06-30;2.342917;
2012-07-31;2.691129;
2012-08-31;3.601662;
2012-09-30;3.396111;
2012-10-31;3.150134;
2012-11-30;3.048889;
2012-12-31;2.802554;
2013-01-31;2.81129;
2013-02-28;2.54747;
2013-03-31;2.639667;
2013-04-30;2.413056;
2013-05-31;2.413575;
2013-06-30;2.470669;
2013-07-31;2.629506;
2013-08-31;3.039785;
2013-09-30;2.88;
2013-10-31;2.86371;
2013-11-30;3.446667;
2013-12-31;2.716263;
2014-01-31;2.66586;
2014-02-28;2.786161;
2014-03-31;2.58172;
2014-04-30;2.870278;
2014-05-31;2.402419;
2014-06-30;3.009273;
2014-07-31;3.185556;
2014-08-31;2.988575;
2014-09-30;3.282222;
2014-10-31;3.257504;
2014-11-30;2.862083;
2014-12-31;2.910484;
2015-01-31;2.636325;
2015-02-28;2.567113;
2015-03-31;2.579032;
2015-04-30;2.379722;
2015-05-31;2.811962;
2015-06-30;2.829379;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;2.892997;
2015-11-30;2.908922;
2015-12-31;2.811622;
2016-01-31;2.847523;
2016-02-29;2.552401;
2016-03-31;2.793353;
2016-04-30;2.773188;
2016-05-31;2.325555;
2016-06-30;2.106745;
2016-07-31;2.986638;
2016-08-31;2.854169;
2016-09-30;2.875694;
2016-10-31;3.353501;
2016-11-30;2.806359;
2016-12-31;2.851782;
2017-01-31;2.681452;
2017-02-28;2.630705;
2017-03-31;2.844624;
2017-04-30;2.947222;
2017-05-31;3.029517;
2017-06-30;3.045361;
2017-07-31;3.269861;
2017-08-31;3.276584;
2017-09-30;2.956776;
2017-10-31;3.159824;
2017-11-30;2.895228;
2017-12-31;2.838696;
2018-01-31;2.800941;
2018-02-28;2.755855;
2018-03-31;2.384714;
2018-04-30;2.493829;
2018-05-31;2.67493;
2018-06-30;2.378289;
2018-07-31;2.946237;
2018-08-31;2.891801;
2018-09-30;3.021832;
2018-10-31;3.085349;
2018-11-30;3.019028;
2018-12-31;2.637635;
2019-01-31;2.816667;
2019-02-28;2.603914;
2019-03-31;2.621237;
2019-04-30;2.260139;
2019-05-31;null;
2019-06-30;3.069397;
2019-07-31;2.791667;
2019-08-31;3.167161;
2019-09-30;2.969861;
2019-10-31;3.044355;
2019-11-30;2.851358;
2019-12-31;2.897849;
2020-01-31;2.746237;
2020-02-29;2.914368;
2020-03-31;2.881501;
2020-04-30;2.851078;
2020-05-31;2.793952;
2020-06-30;3.383194;
2020-07-31;3.020204;
2020-08-31;2.819086;
2020-09-30;2.79125;
2020-10-31;2.930779;
2020-11-30;2.867361;
2020-12-31;2.906855;
2021-01-31;2.907661;
2021-02-28;2.510565;
2021-03-31;2.227554;
2021-04-30;2.667361;
2021-05-31;2.611783;
2021-06-30;2.748302;
2021-07-31;2.908468;
2021-08-31;3.007527;
2021-09-30;2.796558;
2021-10-31;2.950403;
2021-11-30;2.864487;
2021-12-31;2.881183;
2022-01-31;3.149135;
2022-02-28;2.605286;
2022-03-31;2.697259;
2022-04-30;2.7;
2022-05-31;2.53871;
2022-06-30;2.502926;
2022-07-31;3.231358;
2022-08-31;2.965885;
2022-09-30;3.014306;
2022-10-31;2.740241;
2022-11-30;2.943313;
2022-12-31;2.719548;

