Nome: JOACABA
Codigo Estacao: A841
Latitude: -27.16916666
Longitude: -51.55888888
Altitude: 767.63
Situacao: Operante
Data Inicial: 2007-09-19
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-09-30;null;
2007-10-31;null;
2007-11-30;2.85407;
2007-12-31;2.795565;
2008-01-31;3.213038;
2008-02-29;2.786494;
2008-03-31;2.583602;
2008-04-30;2.391667;
2008-05-31;2.787005;
2008-06-30;2.87029;
2008-07-31;2.943145;
2008-08-31;3.184005;
2008-09-30;3.574306;
2008-10-31;3.17379;
2008-11-30;3.600326;
2008-12-31;3.071774;
2009-01-31;2.870547;
2009-02-28;2.571577;
2009-03-31;2.663306;
2009-04-30;2.525833;
2009-05-31;2.760618;
2009-06-30;2.778333;
2009-07-31;2.525538;
2009-08-31;3.091667;
2009-09-30;2.989052;
2009-10-31;2.956509;
2009-11-30;2.922222;
2009-12-31;2.659409;
2010-01-31;2.648167;
2010-02-28;2.688839;
2010-03-31;2.524106;
2010-04-30;2.469722;
2010-05-31;2.323253;
2010-06-30;3.049484;
2010-07-31;3.152823;
2010-08-31;3.464704;
2010-09-30;3.428889;
2010-10-31;2.806048;
2010-11-30;2.877778;
2010-12-31;2.693011;
2011-01-31;2.223925;
2011-02-28;2.188839;
2011-03-31;3.101199;
2011-04-30;2.343194;
2011-05-31;2.181048;
2011-06-30;2.763055;
2011-07-31;2.869355;
2011-08-31;3.569489;
2011-09-30;3.620417;
2011-10-31;3.067742;
2011-11-30;3.243194;
2011-12-31;3.00336;
2012-01-31;2.739247;
2012-02-29;2.59727;
2012-03-31;2.595565;
2012-04-30;2.360833;
2012-05-31;2.696774;
2012-06-30;2.478611;
2012-07-31;2.722581;
2012-08-31;3.214785;
2012-09-30;3.601389;
2012-10-31;3.269892;
2012-11-30;3.177083;
2012-12-31;2.892339;
2013-01-31;2.903226;
2013-02-28;2.400595;
2013-03-31;2.581944;
2013-04-30;2.701945;
2013-05-31;2.461828;
2013-06-30;2.240316;
2013-07-31;2.707661;
2013-08-31;3.021237;
2013-09-30;3.085;
2013-10-31;2.983871;
2013-11-30;3.686944;
2013-12-31;2.74664;
2014-01-31;2.242742;
2014-02-28;2.586161;
2014-03-31;2.168414;
2014-04-30;2.020833;
2014-05-31;1.93293;
2014-06-30;2.256667;
2014-07-31;2.640457;
2014-08-31;2.04207;
2014-09-30;1.947639;
2014-10-31;1.527419;
2014-11-30;.697778;
2014-12-31;.833199;
2015-01-31;.45959;
2015-02-28;.131399;
2015-03-31;.184543;
2015-04-30;.230695;
2015-05-31;.299194;
2015-06-30;.635694;
2015-07-31;.422312;
2015-08-31;.598522;
2015-09-30;.672778;
2015-10-31;.440188;
2015-11-30;.28625;
2015-12-31;.335349;
2016-01-31;.308333;
2016-02-29;.096264;
2016-03-31;.24125;
2016-04-30;null;
2016-05-31;null;
2016-06-30;2.384722;
2016-07-31;2.942876;
2016-08-31;2.735753;
2016-09-30;2.8775;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;2.40914;
2017-02-28;2.485863;
2017-03-31;2.675806;
2017-04-30;2.978272;
2017-05-31;2.635368;
2017-06-30;2.805891;
2017-07-31;2.996755;
2017-08-31;3.315978;
2017-09-30;3.202778;
2017-10-31;3.221537;
2017-11-30;2.881255;
2017-12-31;2.82621;
2018-01-31;2.590188;
2018-02-28;2.497173;
2018-03-31;1.99609;
2018-04-30;2.429306;
2018-05-31;2.889794;
2018-06-30;null;
2018-07-31;2.704224;
2018-08-31;2.919911;
2018-09-30;3.040165;
2018-10-31;3.028213;
2018-11-30;3.167222;
2018-12-31;2.651843;
2019-01-31;2.493011;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;2.990955;
2020-07-31;2.849631;
2020-08-31;3.102241;
2020-09-30;3.238565;
2020-10-31;3.375313;
2020-11-30;2.932656;
2020-12-31;2.83871;
2021-01-31;2.697043;
2021-02-28;2.54754;
2021-03-31;2.267241;
2021-04-30;2.548216;
2021-05-31;2.378596;
2021-06-30;null;
2021-07-31;null;
2021-08-31;3.415976;
2021-09-30;3.125422;
2021-10-31;2.924245;
2021-11-30;2.887796;
2021-12-31;3.036816;
2022-01-31;2.668011;
2022-02-28;2.549445;
2022-03-31;2.349044;
2022-04-30;2.548925;
2022-05-31;2.371904;
2022-06-30;null;
2022-07-31;3.062621;
2022-08-31;null;
2022-09-30;null;
2022-10-31;2.648609;
2022-11-30;2.89208;
2022-12-31;2.669503;

