Nome: BOM JARDIM DA SERRA - MORRO DA IGREJA
Codigo Estacao: A845
Latitude: -28.12694443
Longitude: -49.47972221
Altitude: 1790.38
Situacao: Operante
Data Inicial: 2007-06-16
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;null;
2007-07-31;8.498963;
2007-08-31;null;
2007-09-30;7.209642;
2007-10-31;6.404482;
2007-11-30;null;
2007-12-31;6.54283;
2008-01-31;5.742396;
2008-02-29;5.739006;
2008-03-31;null;
2008-04-30;null;
2008-05-31;6.404415;
2008-06-30;7.218216;
2008-07-31;7.756642;
2008-08-31;7.284138;
2008-09-30;6.896605;
2008-10-31;7.599696;
2008-11-30;5.820779;
2008-12-31;5.612231;
2009-01-31;6.905657;
2009-02-28;6.348661;
2009-03-31;5.605242;
2009-04-30;5.473194;
2009-05-31;6.418543;
2009-06-30;7.324851;
2009-07-31;7.863031;
2009-08-31;8.35216;
2009-09-30;6.959669;
2009-10-31;6.08366;
2009-11-30;7.011467;
2009-12-31;5.845864;
2010-01-31;6.509639;
2010-02-28;6.855952;
2010-03-31;6.025712;
2010-04-30;7.592778;
2010-05-31;8.026266;
2010-06-30;7.627179;
2010-07-31;8.826214;
2010-08-31;7.196564;
2010-09-30;8.192773;
2010-10-31;6.445359;
2010-11-30;6.045461;
2010-12-31;6.599597;
2011-01-31;5.086694;
2011-02-28;6.85878;
2011-03-31;5.862372;
2011-04-30;6.644722;
2011-05-31;7.547813;
2011-06-30;8.346053;
2011-07-31;8.345968;
2011-08-31;8.686962;
2011-09-30;7.521667;
2011-10-31;6.889043;
2011-11-30;5.423056;
2011-12-31;5.499731;
2012-01-31;5.716667;
2012-02-29;6.465086;
2012-03-31;5.144489;
2012-04-30;6.105194;
2012-05-31;6.259274;
2012-06-30;6.697639;
2012-07-31;9.11707;
2012-08-31;8.792492;
2012-09-30;8.035278;
2012-10-31;7.594196;
2012-11-30;5.270139;
2012-12-31;6.941129;
2013-01-31;6.538038;
2013-02-28;6.544048;
2013-03-31;6.566278;
2013-04-30;6.245336;
2013-05-31;7.623656;
2013-06-30;7.309898;
2013-07-31;7.037995;
2013-08-31;8.219518;
2013-09-30;7.486806;
2013-10-31;7.238172;
2013-11-30;7.809444;
2013-12-31;6.372581;
2014-01-31;6.494892;
2014-02-28;6.826686;
2014-03-31;7.07772;
2014-04-30;6.415374;
2014-05-31;null;
2014-06-30;null;
2014-07-31;8.216167;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;7.09318;
2015-02-28;6.495594;
2015-03-31;6.073387;
2015-04-30;6.391944;
2015-05-31;7.6145;
2015-06-30;9.340333;
2015-07-31;9.055652;
2015-08-31;9.364382;
2015-09-30;8.593103;
2015-10-31;7.859274;
2015-11-30;7.064861;
2015-12-31;7.884302;
2016-01-31;6.470089;
2016-02-29;6.040499;
2016-03-31;6.460887;
2016-04-30;6.948994;
2016-05-31;6.834274;
2016-06-30;6.591667;
2016-07-31;8.947177;
2016-08-31;7.965958;
2016-09-30;6.146667;
2016-10-31;7.536214;
2016-11-30;6.745833;
2016-12-31;7.350868;
2017-01-31;6.031989;
2017-02-28;6.756399;
2017-03-31;6.467876;
2017-04-30;7.357833;
2017-05-31;null;
2017-06-30;9.144667;
2017-07-31;9.104945;
2017-08-31;9.138896;
2017-09-30;7.019608;
2017-10-31;8.799532;
2017-11-30;7.322827;
2017-12-31;6.030484;
2018-01-31;6.796505;
2018-02-28;5.668452;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;6.580511;
2019-01-31;6.592385;
2019-02-28;6.486012;
2019-03-31;6.57621;
2019-04-30;5.833621;
2019-05-31;7.536728;
2019-06-30;7.770982;
2019-07-31;8.832408;
2019-08-31;null;
2019-09-30;8.20625;
2019-10-31;7.421102;
2019-11-30;7.127355;
2019-12-31;6.539516;
2020-01-31;6.286828;
2020-02-29;6.147989;
2020-03-31;4.961925;
2020-04-30;6.825833;
2020-05-31;8.560484;
2020-06-30;9.391518;
2020-07-31;9.720629;
2020-08-31;8.139505;
2020-09-30;8.581424;
2020-10-31;7.516532;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;5.712202;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;7.739969;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;7.853333;
2022-07-31;9.896264;
2022-08-31;7.910476;
2022-09-30;null;
2022-10-31;7.402016;
2022-11-30;7.283144;
2022-12-31;null;

