Nome: ILHA DO MEL
Codigo Estacao: A847
Latitude: -25.49444444
Longitude: -48.3261111
Altitude: 4.01
Situacao: Desativada
Data Inicial: 2007-03-22
Data Final: 2018-02-01
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-03-31;null;
2007-04-30;2.293925;
2007-05-31;2.295795;
2007-06-30;1.959647;
2007-07-31;2.120801;
2007-08-31;1.987849;
2007-09-30;2.158333;
2007-10-31;2.832063;
2007-11-30;2.878173;
2007-12-31;3.116468;
2008-01-31;3.297551;
2008-02-29;2.82773;
2008-03-31;2.661084;
2008-04-30;2.267573;
2008-05-31;2.220719;
2008-06-30;2.018066;
2008-07-31;1.983171;
2008-08-31;2.072755;
2008-09-30;2.508544;
2008-10-31;2.890882;
2008-11-30;4.464499;
2008-12-31;3.011962;
2009-01-31;3.242397;
2009-02-28;2.572917;
2009-03-31;2.579444;
2009-04-30;2.511638;
2009-05-31;2.204217;
2009-06-30;2.188904;
2009-07-31;null;
2009-08-31;1.81131;
2009-09-30;1.991954;
2009-10-31;2.21514;
2009-11-30;2.504583;
2009-12-31;.860618;
2010-01-31;.606048;
2010-02-28;1.444494;
2010-03-31;.220592;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;2.850538;
2010-11-30;3.420556;
2010-12-31;2.765457;
2011-01-31;2.961828;
2011-02-28;3.218452;
2011-03-31;null;
2011-04-30;null;
2011-05-31;2.423656;
2011-06-30;2.612778;
2011-07-31;2.190591;
2011-08-31;2.681586;
2011-09-30;2.979861;
2011-10-31;3.023925;
2011-11-30;3.234722;
2011-12-31;3.331586;
2012-01-31;3.400134;
2012-02-29;3.015517;
2012-03-31;2.991532;
2012-04-30;2.671528;
2012-05-31;2.277823;
2012-06-30;2.097639;
2012-07-31;2.382796;
2012-08-31;2.38126;
2012-09-30;3.119722;
2012-10-31;2.844758;
2012-11-30;3.359167;
2012-12-31;3.107258;
2013-01-31;2.97957;
2013-02-28;2.898065;
2013-03-31;2.726583;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;2.572177;
2013-11-30;3.250694;
2013-12-31;2.730476;
2014-01-31;2.911694;
2014-02-28;2.901786;
2014-03-31;2.431183;
2014-04-30;2.317917;
2014-05-31;2.008602;
2014-06-30;1.805417;
2014-07-31;2.005242;
2014-08-31;2.075672;
2014-09-30;2.579861;
2014-10-31;3.021909;
2014-11-30;2.788889;
2014-12-31;2.819489;
2015-01-31;2.939785;
2015-02-28;2.849554;
2015-03-31;2.48293;
2015-04-30;2.243611;
2015-05-31;1.939516;
2015-06-30;2.091806;
2015-07-31;1.959409;
2015-08-31;2.336962;
2015-09-30;2.445833;
2015-10-31;2.366935;
2015-11-30;2.280833;
2015-12-31;2.763306;
2016-01-31;2.723521;
2016-02-29;2.564511;
2016-03-31;2.181586;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;2.768145;
2017-02-28;2.608631;
2017-03-31;2.334543;
2017-04-30;null;
2017-05-31;2.583333;
2017-06-30;2.086806;
2017-07-31;2.046102;
2017-08-31;2.227285;
2017-09-30;2.645278;
2017-10-31;2.721102;
2017-11-30;2.999444;
2017-12-31;2.968683;
2018-01-31;2.763172;
2018-02-28;null;

