Nome: DIONISIO CERQUEIRA
Codigo Estacao: A848
Latitude: -26.286562
Longitude: -53.633114
Altitude: 807.54
Situacao: Operante
Data Inicial: 2008-05-30
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;null;
2008-06-30;3.700256;
2008-07-31;4.309677;
2008-08-31;4.184812;
2008-09-30;4.173573;
2008-10-31;4.119624;
2008-11-30;3.400694;
2008-12-31;3.397715;
2009-01-31;3.486191;
2009-02-28;3.213839;
2009-03-31;3.014247;
2009-04-30;2.94625;
2009-05-31;3.636022;
2009-06-30;3.845829;
2009-07-31;3.644417;
2009-08-31;4.406831;
2009-09-30;4.179444;
2009-10-31;3.675718;
2009-11-30;4.245278;
2009-12-31;3.230914;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;3.44375;
2010-05-31;3.677297;
2010-06-30;4.500278;
2010-07-31;4.782578;
2010-08-31;4.827984;
2010-09-30;4.333333;
2010-10-31;3.605645;
2010-11-30;3.22875;
2010-12-31;3.726075;
2011-01-31;2.866935;
2011-02-28;3.212403;
2011-03-31;3.918581;
2011-04-30;3.542083;
2011-05-31;3.314206;
2011-06-30;4.451042;
2011-07-31;4.22201;
2011-08-31;4.913806;
2011-09-30;4.198116;
2011-10-31;4.008737;
2011-11-30;3.70875;
2011-12-31;3.122312;
2012-01-31;3.511413;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;3.695833;
2012-08-31;4.525941;
2012-09-30;4.133333;
2012-10-31;3.652285;
2012-11-30;2.534722;
2012-12-31;2.865995;
2013-01-31;2.083602;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;3.23803;
2013-07-31;4.110835;
2013-08-31;4.422312;
2013-09-30;4.229861;
2013-10-31;3.807527;
2013-11-30;4.399444;
2013-12-31;3.304436;
2014-01-31;3.586425;
2014-02-28;3.787798;
2014-03-31;3.547177;
2014-04-30;3.678919;
2014-05-31;3.787097;
2014-06-30;4.236944;
2014-07-31;4.656183;
2014-08-31;4.372446;
2014-09-30;4.726667;
2014-10-31;4.134677;
2014-11-30;3.603611;
2014-12-31;3.843414;
2015-01-31;3.563306;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;3.795513;
2015-10-31;3.581452;
2015-11-30;3.421944;
2015-12-31;3.660081;
2016-01-31;3.258199;
2016-02-29;2.867385;
2016-03-31;2.829301;
2016-04-30;3.600139;
2016-05-31;2.699597;
2016-06-30;3.076389;
2016-07-31;3.982124;
2016-08-31;3.983199;
2016-09-30;3.013194;
2016-10-31;3.946389;
2016-11-30;3.099444;
2016-12-31;2.49879;
2017-01-31;2.879973;
2017-02-28;3.239435;
2017-03-31;3.238575;
2017-04-30;3.419028;
2017-05-31;3.77164;
2017-06-30;3.743194;
2017-07-31;3.974264;
2017-08-31;4.371278;
2017-09-30;3.4;
2017-10-31;2.685778;
2017-11-30;1.9075;
2017-12-31;1.784005;
2018-01-31;2.164785;
2018-02-28;1.722173;
2018-03-31;1.480551;
2018-04-30;null;
2018-05-31;2.367204;
2018-06-30;2.674306;
2018-07-31;2.850403;
2018-08-31;2.959274;
2018-09-30;2.930417;
2018-10-31;3.076479;
2018-11-30;3.462083;
2018-12-31;3.140188;
2019-01-31;3.441462;
2019-02-28;3.300893;
2019-03-31;3.066532;
2019-04-30;2.438056;
2019-05-31;3.281183;
2019-06-30;4.558194;
2019-07-31;4.007331;
2019-08-31;4.483468;
2019-09-30;4.120694;
2019-10-31;3.027957;
2019-11-30;1.778056;
2019-12-31;1.533468;
2020-01-31;.925134;
2020-02-29;1.669397;
2020-03-31;1.36707;
2020-04-30;1.464167;
2020-05-31;2.275269;
2020-06-30;3.764167;
2020-07-31;3.058737;
2020-08-31;3.102285;
2020-09-30;1.690833;
2020-10-31;.840054;
2020-11-30;.553056;
2020-12-31;.595161;
2021-01-31;null;
2021-02-28;null;
2021-03-31;.208871;
2021-04-30;.505278;
2021-05-31;.598387;
2021-06-30;.991271;
2021-07-31;1.228255;
2021-08-31;.62379;
2021-09-30;.91;
2021-10-31;1.934274;
2021-11-30;.049028;
2021-12-31;.554839;
2022-01-31;2.01818;
2022-02-28;2.783929;
2022-03-31;3.094086;
2022-04-30;3.235694;
2022-05-31;3.064318;
2022-06-30;null;
2022-07-31;4.593;
2022-08-31;4.061156;
2022-09-30;3.824306;
2022-10-31;3.196102;
2022-11-30;3.425278;
2022-12-31;3.01129;

