Nome: PARANAPOEMA
Codigo Estacao: A850
Latitude: -22.65833333
Longitude: -52.13444444
Altitude: 308.7
Situacao: Operante
Data Inicial: 2008-03-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;2.862202;
2008-04-30;2.128194;
2008-05-31;2.383001;
2008-06-30;2.34479;
2008-07-31;2.924644;
2008-08-31;3.287097;
2008-09-30;3.784728;
2008-10-31;3.658468;
2008-11-30;3.562083;
2008-12-31;3.391263;
2009-01-31;3.436425;
2009-02-28;2.472596;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;2.823889;
2010-05-31;2.395699;
2010-06-30;3.093611;
2010-07-31;3.334274;
2010-08-31;3.211039;
2010-09-30;3.979167;
2010-10-31;3.266801;
2010-11-30;2.835139;
2010-12-31;3.151344;
2011-01-31;2.19328;
2011-02-28;2.367411;
2011-03-31;3.998513;
2011-04-30;2.48125;
2011-05-31;2.306444;
2011-06-30;2.634722;
2011-07-31;2.618011;
2011-08-31;3.259823;
2011-09-30;3.810139;
2011-10-31;3.874193;
2011-11-30;3.788056;
2011-12-31;2.933468;
2012-01-31;3.061156;
2012-02-29;2.291667;
2012-03-31;2.484812;
2012-04-30;2.17375;
2012-05-31;3.194758;
2012-06-30;2.461389;
2012-07-31;2.071774;
2012-08-31;3.635983;
2012-09-30;3.368194;
2012-10-31;2.774597;
2012-11-30;3.149444;
2012-12-31;2.293548;
2013-01-31;3.160887;
2013-02-28;2.282887;
2013-03-31;2.428056;
2013-04-30;2.190972;
2013-05-31;2.055376;
2013-06-30;1.772323;
2013-07-31;2.252285;
2013-08-31;3.093414;
2013-09-30;3.415694;
2013-10-31;3.451075;
2013-11-30;3.991806;
2013-12-31;2.957393;
2014-01-31;2.002823;
2014-02-28;3.210863;
2014-03-31;2.380242;
2014-04-30;2.447639;
2014-05-31;2.223387;
2014-06-30;2.39125;
2014-07-31;2.941532;
2014-08-31;2.573925;
2014-09-30;3.618195;
2014-10-31;3.262231;
2014-11-30;2.95506;
2014-12-31;3.1005;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;3.001215;
2015-06-30;2.828056;
2015-07-31;2.819892;
2015-08-31;2.900134;
2015-09-30;2.422222;
2015-10-31;3.114651;
2015-11-30;2.670972;
2015-12-31;2.396237;
2016-01-31;3.277016;
2016-02-29;2.02227;
2016-03-31;2.39664;
2016-04-30;2.228195;
2016-05-31;2.36828;
2016-06-30;2.01875;
2016-07-31;2.285484;
2016-08-31;3.092147;
2016-09-30;2.605747;
2016-10-31;3.586401;
2016-11-30;3.310417;
2016-12-31;3.171102;
2017-01-31;2.38871;
2017-02-28;2.39256;
2017-03-31;2.880645;
2017-04-30;3.301667;
2017-05-31;2.924462;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;3.460556;
2017-11-30;3.396528;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;2.043817;
2018-04-30;2.647083;
2018-05-31;2.903629;
2018-06-30;2.260139;
2018-07-31;2.618683;
2018-08-31;3.15914;
2018-09-30;3.119722;
2018-10-31;3.514113;
2018-11-30;4.053056;
2018-12-31;2.527285;
2019-01-31;2.632392;
2019-02-28;2.615774;
2019-03-31;2.462097;
2019-04-30;1.944444;
2019-05-31;2.400269;
2019-06-30;2.633195;
2019-07-31;2.647177;
2019-08-31;3.532124;
2019-09-30;3.225694;
2019-10-31;3.068011;
2019-11-30;3.726667;
2019-12-31;2.832124;
2020-01-31;2.677554;
2020-02-29;2.882184;
2020-03-31;3.045833;
2020-04-30;2.569167;
2020-05-31;2.398656;
2020-06-30;2.976111;
2020-07-31;2.66129;
2020-08-31;3.580107;
2020-09-30;3.183056;
2020-10-31;3.47043;
2020-11-30;3.45324;
2020-12-31;3.00893;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;.029034;
2021-12-31;.064382;
2022-01-31;.041417;
2022-02-28;.026488;
2022-03-31;.023656;
2022-04-30;.022361;
2022-05-31;.013844;
2022-06-30;.005417;
2022-07-31;.011828;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;2.849107;

