Nome: ITAPOA
Codigo Estacao: A851
Latitude: -26.08138888
Longitude: -48.64166666
Altitude: 6.18
Situacao: Operante
Data Inicial: 2007-06-05
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;null;
2007-07-31;.896322;
2007-08-31;1.044611;
2007-09-30;1.217917;
2007-10-31;1.568671;
2007-11-30;1.4575;
2007-12-31;1.596505;
2008-01-31;1.838575;
2008-02-29;1.523218;
2008-03-31;1.328629;
2008-04-30;.987873;
2008-05-31;.865161;
2008-06-30;.874444;
2008-07-31;.820699;
2008-08-31;1.146653;
2008-09-30;1.261381;
2008-10-31;1.458602;
2008-11-30;2.188194;
2008-12-31;1.665054;
2009-01-31;1.64505;
2009-02-28;1.307292;
2009-03-31;1.198387;
2009-04-30;1.194583;
2009-05-31;.738125;
2009-06-30;.936386;
2009-07-31;null;
2009-08-31;1.030952;
2009-09-30;1.217932;
2009-10-31;1.367011;
2009-11-30;1.329167;
2009-12-31;1.621774;
2010-01-31;1.22644;
2010-02-28;1.044533;
2010-03-31;1.063205;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;.96922;
2010-08-31;1.075815;
2010-09-30;1.231111;
2010-10-31;1.538306;
2010-11-30;1.679722;
2010-12-31;1.442742;
2011-01-31;1.379973;
2011-02-28;1.50372;
2011-03-31;1.32352;
2011-04-30;.811944;
2011-05-31;.95672;
2011-06-30;.874167;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;1.685362;
2011-12-31;1.621371;
2012-01-31;1.618952;
2012-02-29;1.180603;
2012-03-31;1.279973;
2012-04-30;.656111;
2012-05-31;.159812;
2012-06-30;.199583;
2012-07-31;.350672;
2012-08-31;.30336;
2012-09-30;null;
2012-10-31;null;
2012-11-30;1.674167;
2012-12-31;1.334677;
2013-01-31;1.521505;
2013-02-28;1.315923;
2013-03-31;1.344639;
2013-04-30;1.073195;
2013-05-31;.8875;
2013-06-30;.752611;
2013-07-31;null;
2013-08-31;1.172756;
2013-09-30;null;
2013-10-31;null;
2013-11-30;1.663218;
2013-12-31;1.500941;
2014-01-31;1.312769;
2014-02-28;1.421726;
2014-03-31;1.12043;
2014-04-30;1.142361;
2014-05-31;.783737;
2014-06-30;.792083;
2014-07-31;.830645;
2014-08-31;.994624;
2014-09-30;1.407083;
2014-10-31;1.674059;
2014-11-30;1.506944;
2014-12-31;1.419355;
2015-01-31;1.454435;
2015-02-28;1.346875;
2015-03-31;1.229704;
2015-04-30;1.116806;
2015-05-31;.928091;
2015-06-30;.770115;
2015-07-31;.820855;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;1.416806;
2016-01-31;1.439516;
2016-02-29;1.252012;
2016-03-31;1.157124;
2016-04-30;1.049722;
2016-05-31;.807527;
2016-06-30;.704861;
2016-07-31;.91828;
2016-08-31;1.011559;
2016-09-30;1.386806;
2016-10-31;1.616375;
2016-11-30;1.463889;
2016-12-31;1.330376;
2017-01-31;1.47164;
2017-02-28;1.314286;
2017-03-31;1.064785;
2017-04-30;.600417;
2017-05-31;.909812;
2017-06-30;.391528;
2017-07-31;.345699;
2017-08-31;.391935;
2017-09-30;.410833;
2017-10-31;.352419;
2017-11-30;.322083;
2017-12-31;.233333;
2018-01-31;.09664;
2018-02-28;.070536;
2018-03-31;.046371;
2018-04-30;.050695;
2018-05-31;.102419;
2018-06-30;.019444;
2018-07-31;.110081;
2018-08-31;.157796;
2018-09-30;.188611;
2018-10-31;.353226;
2018-11-30;.6525;
2018-12-31;.338575;
2019-01-31;.310618;
2019-02-28;.562649;
2019-03-31;1.215726;
2019-04-30;1.085139;
2019-05-31;.477151;
2019-06-30;.407639;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;1.581389;
2019-12-31;1.508065;
2020-01-31;1.384543;
2020-02-29;1.392529;
2020-03-31;1.386022;
2020-04-30;1.248472;
2020-05-31;.965726;
2020-06-30;.504658;
2020-07-31;.67164;
2020-08-31;null;
2020-09-30;.779028;
2020-10-31;1.105511;
2020-11-30;.721944;
2020-12-31;.818817;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;0;
2021-09-30;0;
2021-10-31;null;
2021-11-30;null;
2021-12-31;1.079839;
2022-01-31;1.136694;
2022-02-28;.689881;
2022-03-31;.533468;
2022-04-30;.263056;
2022-05-31;1.16553;
2022-06-30;.817917;
2022-07-31;.854073;
2022-08-31;1.24207;
2022-09-30;1.131111;
2022-10-31;1.277823;
2022-11-30;1.626945;
2022-12-31;1.283871;

